"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","2513 S BROAD ST",0.04,0.06,0.1,0.15,0.21,0.24,0.33,0.42,0.53,0.63,0.24,0.33,0.42,0.53,0.63,"Lower Moyamensing","-75.1705137374135","39.9189851634893",c(-75.1705137374135, 39.9189851634893)
"2","2646 S 11TH ST",0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.33,0.42,0.53,0.17,0.24,0.33,0.42,0.53,"Lower Moyamensing","-75.1662226022719","39.9164920636593",c(-75.1662226022719, 39.9164920636593)
"3","2431 S 8TH ST",0.03,0.04,0.07,0.1,0.15,0.18,0.25,0.34,0.43,0.54,0.18,0.25,0.34,0.43,0.54,"Lower Moyamensing","-75.1605019259711","39.9186660594812",c(-75.1605019259711, 39.9186660594812)
"4","2225 S MILDRED ST",0.02,0.03,0.05,0.08,0.12,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Lower Moyamensing","-75.1605632345975","39.9213588913959",c(-75.1605632345975, 39.9213588913959)
"5","2346 S BEULAH ST",0.04,0.06,0.09,0.13,0.19,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Lower Moyamensing","-75.159622233336","39.9195011628275",c(-75.159622233336, 39.9195011628275)
"6","1014 RITNER ST",0.04,0.06,0.09,0.14,0.2,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Lower Moyamensing","-75.1645729128574","39.9197476918493",c(-75.1645729128574, 39.9197476918493)
"7","1241 DURFOR ST",0.03,0.04,0.06,0.1,0.15,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Lower Moyamensing","-75.1677119317785","39.9212429056556",c(-75.1677119317785, 39.9212429056556)
"8","2239 S 12TH ST",0.05,0.07,0.11,0.16,0.23,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Lower Moyamensing","-75.1663172670929","39.921506650192",c(-75.1663172670929, 39.921506650192)
"9","1238 DURFOR ST",0.04,0.06,0.1,0.14,0.21,0.15,0.21,0.28,0.37,0.48,0.15,0.21,0.28,0.37,0.48,"Lower Moyamensing","-75.1677148887636","39.921011932923",c(-75.1677148887636, 39.921011932923)
"10","2517 S CLARION ST",0.03,0.04,0.07,0.1,0.15,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Lower Moyamensing","-75.1691535887518","39.9187484874803",c(-75.1691535887518, 39.9187484874803)
"11","2343 S 11TH ST",0.04,0.06,0.09,0.14,0.2,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Lower Moyamensing","-75.1649886984286","39.9201821039169",c(-75.1649886984286, 39.9201821039169)
"12","620 RITNER ST",0.04,0.06,0.09,0.14,0.2,0.14,0.2,0.28,0.37,0.48,0.14,0.2,0.28,0.37,0.48,"Lower Moyamensing","-75.1582132924199","39.9189051479323",c(-75.1582132924199, 39.9189051479323)
"13","928 TREE ST",0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Lower Moyamensing","-75.1624970432005","39.9216292263076",c(-75.1624970432005, 39.9216292263076)
"14","2505 S SHERIDAN ST",0.03,0.04,0.06,0.1,0.14,0.22,0.3,0.39,0.49,0.6,0.22,0.3,0.39,0.49,0.6,"Lower Moyamensing","-75.1586291661343","39.9176550106127",c(-75.1586291661343, 39.9176550106127)
