address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1432 N FRANKLIN ST,0.06,0.09,0.13,0.19,0.27,0.15,0.21,0.29,0.38,0.49,0.5,0.54,0.57,0.61,0.65,Ludlow,-75.148468570361,39.9739903259668,"c(-75.148468570361, 39.9739903259668)"
1719 N FRANKLIN ST,0.04,0.06,0.08,0.13,0.19,0.15,0.21,0.28,0.38,0.48,0.33,0.36,0.4,0.43,0.47,Ludlow,-75.1472001783725,39.9783321361269,"c(-75.1472001783725, 39.9783321361269)"
628 MASTER ST,0.05,0.08,0.12,0.18,0.26,0.1,0.14,0.2,0.27,0.36,0.5,0.53,0.57,0.61,0.64,Ludlow,-75.1471514912965,39.9728346972091,"c(-75.1471514912965, 39.9728346972091)"
1317 N 7TH ST,0.06,0.08,0.13,0.19,0.27,0.13,0.19,0.26,0.35,0.45,0.36,0.4,0.43,0.47,0.51,Ludlow,-75.1475693929979,39.9721796071737,"c(-75.1475693929979, 39.9721796071737)"
615 JEFFERSON ST,0.05,0.08,0.12,0.18,0.26,0.08,0.12,0.17,0.24,0.33,0.33,0.37,0.41,0.44,0.48,Ludlow,-75.1462504129431,39.9744016725159,"c(-75.1462504129431, 39.9744016725159)"
1405 N 8TH ST,0.05,0.08,0.13,0.19,0.26,0.11,0.16,0.23,0.31,0.41,0.5,0.53,0.57,0.61,0.64,Ludlow,-75.1491074424675,39.9734094202955,"c(-75.1491074424675, 39.9734094202955)"
1642 N MARSHALL ST,0.05,0.08,0.12,0.17,0.25,0.11,0.15,0.22,0.3,0.39,0.5,0.53,0.57,0.61,0.64,Ludlow,-75.1464080100884,39.9767356949187,"c(-75.1464080100884, 39.9767356949187)"
1324 N MARSHALL ST,0.06,0.09,0.13,0.19,0.27,0.11,0.16,0.23,0.31,0.41,0.36,0.4,0.44,0.47,0.51,Ludlow,-75.1472163784052,39.9723816662018,"c(-75.1472163784052, 39.9723816662018)"
1532 N 7TH ST,0.05,0.08,0.12,0.18,0.26,0.12,0.17,0.24,0.32,0.42,0.5,0.53,0.57,0.61,0.64,Ludlow,-75.1474411122734,39.9753451685869,"c(-75.1474411122734, 39.9753451685869)"
1722 N MARSHALL ST,0.05,0.08,0.12,0.18,0.25,0.07,0.11,0.15,0.22,0.3,0.33,0.37,0.41,0.44,0.48,Ludlow,-75.1462153939226,39.9777166028017,"c(-75.1462153939226, 39.9777166028017)"
1321 N 7TH ST,0.05,0.08,0.13,0.19,0.27,0.12,0.17,0.24,0.32,0.42,0.5,0.53,0.57,0.61,0.64,Ludlow,-75.1475509745125,39.9722774106173,"c(-75.1475509745125, 39.9722774106173)"
1419 N 7TH ST,0.06,0.09,0.13,0.19,0.27,0.11,0.16,0.22,0.31,0.4,0.36,0.4,0.43,0.47,0.51,Ludlow,-75.1473239325534,39.973514257898,"c(-75.1473239325534, 39.973514257898)"
1624 N 6TH ST,0.06,0.09,0.13,0.19,0.27,0.08,0.12,0.17,0.24,0.33,0.34,0.37,0.41,0.44,0.48,Ludlow,-75.1457049901157,39.976271648481,"c(-75.1457049901157, 39.976271648481)"
1412 N 7TH ST,0.05,0.08,0.13,0.19,0.26,0.13,0.18,0.26,0.34,0.44,0.5,0.53,0.57,0.61,0.64,Ludlow,-75.1478128038479,39.973443139562,"c(-75.1478128038479, 39.973443139562)"
1334 N MARSHALL ST,0.04,0.06,0.09,0.13,0.19,0.14,0.2,0.28,0.37,0.47,0.33,0.36,0.4,0.43,0.47,Ludlow,-75.1471520947361,39.9726516856375,"c(-75.1471520947361, 39.9726516856375)"
1747 N MARSHALL ST,0.05,0.08,0.13,0.19,0.27,0.11,0.15,0.22,0.3,0.39,0.5,0.53,0.57,0.61,0.64,Ludlow,-75.1456224808767,39.9782605650762,"c(-75.1456224808767, 39.9782605650762)"
1335 N FRANKLIN ST,0.05,0.08,0.12,0.17,0.25,0.13,0.18,0.25,0.33,0.43,0.5,0.53,0.57,0.61,0.64,Ludlow,-75.1482166070886,39.9728321793722,"c(-75.1482166070886, 39.9728321793722)"
1635 N 8TH ST,0.04,0.05,0.08,0.13,0.19,0.12,0.17,0.24,0.32,0.42,0.2,0.22,0.25,0.28,0.31,Ludlow,-75.1482948200123,39.9768760636671,"c(-75.1482948200123, 39.9768760636671)"
