"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","3525 HAVERFORD AVE",0.04,0.06,0.1,0.15,0.21,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Mantua","-75.1940679723418","39.9640269186162",c(-75.1940679723418, 39.9640269186162)
"2","522 N 32ND ST",0.04,0.07,0.1,0.15,0.22,0.11,0.16,0.22,0.3,0.39,0.11,0.16,0.22,0.3,0.39,"Mantua","-75.1888273478477","39.9639199204558",c(-75.1888273478477, 39.9639199204558)
"3","635 N 35TH ST",0.03,0.04,0.07,0.1,0.15,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Mantua","-75.1930244749561","39.9648618550501",c(-75.1930244749561, 39.9648618550501)
"4","3865 MELON ST",0.04,0.06,0.1,0.15,0.21,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Mantua","-75.1993906613657","39.965107907097",c(-75.1993906613657, 39.965107907097)
"5","623 N SHEDWICK ST",0.04,0.07,0.1,0.15,0.22,0.09,0.14,0.19,0.27,0.36,0.09,0.14,0.19,0.27,0.36,"Mantua","-75.1925194100312","39.9658550386745",c(-75.1925194100312, 39.9658550386745)
"6","3428 WALLACE ST",0.03,0.04,0.07,0.1,0.15,0.12,0.17,0.24,0.33,0.43,0.12,0.17,0.24,0.33,0.43,"Mantua","-75.1927327197802","39.9649268350562",c(-75.1927327197802, 39.9649268350562)
"7","3225 HAVERFORD AVE",0.05,0.08,0.12,0.18,0.26,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Mantua","-75.1895716873353","39.9644895707201",c(-75.1895716873353, 39.9644895707201)
"8","3548 MANTUA AVE",0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.18,0.25,0.33,0.08,0.12,0.18,0.25,0.33,"Mantua","-75.1951102352937","39.967792327406",c(-75.1951102352937, 39.967792327406)
"9","657 N 37TH ST",0.04,0.06,0.09,0.14,0.2,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Mantua","-75.1960306189037","39.965159705833",c(-75.1960306189037, 39.965159705833)
"10","3957 PARRISH ST",0.06,0.1,0.15,0.21,0.3,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Mantua","-75.2024568283647","39.9687063410945",c(-75.2024568283647, 39.9687063410945)
