address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
5816 SAUL ST,0.05,0.07,0.11,0.16,0.23,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.31,0.35,Mayfair,-75.0776249454746,40.0284762466489,"c(-75.0776249454746, 40.0284762466489)"
6229 CARDIFF ST,0.05,0.08,0.13,0.19,0.26,0.14,0.2,0.27,0.36,0.47,0.36,0.4,0.43,0.47,0.51,Mayfair,-75.0659605051546,40.0302768603594,"c(-75.0659605051546, 40.0302768603594)"
3420 FRIENDSHIP ST,0.03,0.04,0.07,0.1,0.16,0.15,0.21,0.29,0.38,0.49,0.34,0.37,0.41,0.44,0.48,Mayfair,-75.0459672693506,40.035890451129,"c(-75.0459672693506, 40.035890451129)"
5820 SAUL ST,0.05,0.07,0.11,0.16,0.23,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.31,0.35,Mayfair,-75.0775550616431,40.0285508276951,"c(-75.0775550616431, 40.0285508276951)"
5913 SAUL ST,0.05,0.07,0.11,0.16,0.23,0.13,0.19,0.26,0.35,0.45,0.22,0.25,0.28,0.31,0.35,Mayfair,-75.0758032897773,40.0295791340822,"c(-75.0758032897773, 40.0295791340822)"
5735 LEONARD ST,0.06,0.09,0.13,0.19,0.27,0.09,0.13,0.19,0.26,0.35,0.23,0.25,0.28,0.31,0.35,Mayfair,-75.0741990762075,40.0273180890083,"c(-75.0741990762075, 40.0273180890083)"
2839 KNORR ST,0.04,0.06,0.1,0.15,0.21,0.14,0.19,0.27,0.36,0.46,0.23,0.25,0.28,0.31,0.35,Mayfair,-75.0589346687282,40.0370509746718,"c(-75.0589346687282, 40.0370509746718)"
3211 UNRUH AVE,0.04,0.06,0.09,0.14,0.2,0.13,0.18,0.25,0.34,0.44,0.34,0.37,0.41,0.44,0.48,Mayfair,-75.054322853136,40.0325813552427,"c(-75.054322853136, 40.0325813552427)"
3348 WELLINGTON ST,0.02,0.03,0.05,0.07,0.11,0.19,0.26,0.35,0.45,0.55,0.2,0.22,0.25,0.28,0.31,Mayfair,-75.0457587101675,40.037567441931,"c(-75.0457587101675, 40.037567441931)"
3349 FRIENDSHIP ST,0.03,0.04,0.07,0.1,0.16,0.15,0.22,0.3,0.39,0.49,0.34,0.37,0.41,0.44,0.48,Mayfair,-75.0465228105465,40.0367562463056,"c(-75.0465228105465, 40.0367562463056)"
3119 GUILFORD ST,0.03,0.05,0.07,0.11,0.16,0.12,0.18,0.25,0.33,0.43,0.34,0.37,0.41,0.44,0.48,Mayfair,-75.046908111334,40.0424798322044,"c(-75.046908111334, 40.0424798322044)"
2935 RAWLE ST,0.02,0.03,0.05,0.08,0.12,0.17,0.23,0.32,0.41,0.52,0.2,0.22,0.25,0.28,0.31,Mayfair,-75.0579459816154,40.0355331639762,"c(-75.0579459816154, 40.0355331639762)"
3015 FANSHAWE ST,0.02,0.03,0.05,0.08,0.12,0.16,0.23,0.31,0.4,0.51,0.2,0.22,0.25,0.28,0.31,Mayfair,-75.058094208681,40.0336968023841,"c(-75.058094208681, 40.0336968023841)"
3040 UNRUH AVE,0.03,0.05,0.08,0.11,0.17,0.13,0.18,0.25,0.34,0.44,0.34,0.37,0.41,0.44,0.48,Mayfair,-75.0572843840182,40.0336131836886,"c(-75.0572843840182, 40.0336131836886)"
3429 BRIGHTON ST,0.02,0.03,0.05,0.07,0.11,0.19,0.26,0.35,0.45,0.55,0.2,0.22,0.25,0.28,0.31,Mayfair,-75.0465622122016,40.0348960334883,"c(-75.0465622122016, 40.0348960334883)"
