address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2909 MASCHER ST,0.07,0.11,0.17,0.24,0.33,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1320041000386,39.994451972524,"c(-75.1320041000386, 39.994451972524)"
2821 N FRONT ST,0.05,0.07,0.11,0.16,0.24,0.08,0.11,0.16,0.23,0.31,0.2,0.22,0.25,0.28,0.31,McGuire,-75.1302492253407,39.9929467760705,"c(-75.1302492253407, 39.9929467760705)"
2807 N SWANSON ST,0.05,0.08,0.12,0.18,0.26,0.08,0.11,0.16,0.23,0.31,0.3,0.33,0.37,0.4,0.44,McGuire,-75.128945323152,39.9924719283061,"c(-75.128945323152, 39.9924719283061)"
2864 N HANCOCK ST,0.05,0.08,0.12,0.18,0.25,0.08,0.11,0.16,0.23,0.31,0.2,0.22,0.25,0.28,0.31,McGuire,-75.1333606632164,39.9942395885089,"c(-75.1333606632164, 39.9942395885089)"
207 W CAMBRIA ST,0.05,0.08,0.12,0.17,0.25,0.08,0.11,0.16,0.22,0.3,0.2,0.22,0.25,0.28,0.31,McGuire,-75.1344802704341,39.9946558275242,"c(-75.1344802704341, 39.9946558275242)"
2838 MUTTER ST,0.08,0.12,0.17,0.25,0.34,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1329683126377,39.9936159333499,"c(-75.1329683126377, 39.9936159333499)"
2839 N HOWARD ST,0.05,0.08,0.12,0.17,0.25,0.08,0.11,0.16,0.23,0.31,0.2,0.22,0.25,0.28,0.31,McGuire,-75.1312270040616,39.9934850882626,"c(-75.1312270040616, 39.9934850882626)"
43 E SOMERSET ST,0.05,0.08,0.12,0.18,0.26,0.06,0.09,0.13,0.19,0.26,0.2,0.22,0.25,0.28,0.31,McGuire,-75.1290418594006,39.992139072752,"c(-75.1290418594006, 39.992139072752)"
2818 N SWANSON ST,0.05,0.08,0.12,0.18,0.26,0.12,0.17,0.23,0.32,0.41,0.46,0.49,0.53,0.57,0.61,McGuire,-75.1291759558608,39.9927216852188,"c(-75.1291759558608, 39.9927216852188)"
2933 N HANCOCK ST,0.05,0.08,0.12,0.17,0.25,0.08,0.11,0.16,0.23,0.31,0.2,0.22,0.25,0.28,0.31,McGuire,-75.1328241311792,39.9950554529258,"c(-75.1328241311792, 39.9950554529258)"
2860 HOPE ST,0.07,0.11,0.17,0.24,0.33,0.06,0.09,0.13,0.19,0.26,0.34,0.37,0.41,0.44,0.48,McGuire,-75.1309565700864,39.9938094185311,"c(-75.1309565700864, 39.9938094185311)"
2831 PALETHORP ST,0.08,0.12,0.18,0.25,0.35,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1337076097714,39.9935478759818,"c(-75.1337076097714, 39.9935478759818)"
2818 N HOWARD ST,0.05,0.08,0.12,0.18,0.26,0.08,0.11,0.16,0.23,0.31,0.3,0.33,0.37,0.4,0.44,McGuire,-75.1317789258534,39.9931023714376,"c(-75.1317789258534, 39.9931023714376)"
306 E STERNER ST,0.07,0.11,0.17,0.24,0.33,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,McGuire,-75.126688986383,39.9907737744913,"c(-75.126688986383, 39.9907737744913)"
2810 N WATER ST,0.08,0.12,0.17,0.25,0.34,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1296586246379,39.9926395326536,"c(-75.1296586246379, 39.9926395326536)"
2917 MUTTER ST,0.07,0.11,0.17,0.24,0.33,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1324839129537,39.9946628145201,"c(-75.1324839129537, 39.9946628145201)"
2862 N HANCOCK ST,0.08,0.12,0.17,0.25,0.34,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.133370354815,39.9942015870844,"c(-75.133370354815, 39.9942015870844)"
2836 HOPE ST,0.07,0.11,0.16,0.24,0.33,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1310579144806,39.993351171909,"c(-75.1310579144806, 39.993351171909)"
2830 A ST,0.08,0.12,0.17,0.25,0.35,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1286815548955,39.9928739091339,"c(-75.1286815548955, 39.9928739091339)"
234 W INDIANA AVE,0.07,0.11,0.16,0.24,0.33,0.06,0.09,0.13,0.18,0.25,0.22,0.25,0.28,0.31,0.35,McGuire,-75.134886189081,39.9959524238891,"c(-75.134886189081, 39.9959524238891)"
2730 A ST,0.05,0.08,0.12,0.18,0.26,0.06,0.09,0.13,0.19,0.26,0.3,0.33,0.37,0.4,0.44,McGuire,-75.1289762296224,39.9916595484143,"c(-75.1289762296224, 39.9916595484143)"
2751 N PHILIP ST,0.19,0.27,0.37,0.48,0.6,0.06,0.09,0.13,0.18,0.25,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1350995904299,39.9925158222006,"c(-75.1350995904299, 39.9925158222006)"
2931 WATERLOO ST,0.07,0.11,0.16,0.24,0.33,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1314938606911,39.9948167596295,"c(-75.1314938606911, 39.9948167596295)"
2713 HOPE ST,0.07,0.11,0.17,0.24,0.33,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1311760749399,39.9915588114509,"c(-75.1311760749399, 39.9915588114509)"
2912 WATERLOO ST,0.05,0.08,0.12,0.17,0.25,0.08,0.11,0.16,0.23,0.31,0.2,0.22,0.25,0.28,0.31,McGuire,-75.131816466759,39.9945005668049,"c(-75.131816466759, 39.9945005668049)"
2840 MASCHER ST,0.08,0.11,0.17,0.24,0.34,0.06,0.09,0.13,0.19,0.26,0.34,0.37,0.41,0.44,0.48,McGuire,-75.132537842866,39.9936572430046,"c(-75.132537842866, 39.9936572430046)"
189 W STELLA ST,0.05,0.08,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.3,0.33,0.37,0.4,0.44,McGuire,-75.1332305455803,39.9956243583876,"c(-75.1332305455803, 39.9956243583876)"
2820 N FRONT ST,0.07,0.1,0.15,0.22,0.31,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1306424955924,39.9931574313229,"c(-75.1306424955924, 39.9931574313229)"
16 E SILVER ST,0.01,0.01,0.02,0.03,0.04,0.06,0.09,0.13,0.18,0.25,0.39,0.43,0.47,0.5,0.54,McGuire,-75.129838110494,39.9917014005852,"c(-75.129838110494, 39.9917014005852)"
2848 N WATER ST,0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.2,0.22,0.25,0.28,0.31,McGuire,-75.1295128001357,39.9933122700644,"c(-75.1295128001357, 39.9933122700644)"
2835 N LEE ST,0.07,0.11,0.16,0.23,0.32,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1297391105429,39.9930880642306,"c(-75.1297391105429, 39.9930880642306)"
2835 N HANCOCK ST,0.08,0.12,0.17,0.25,0.34,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.133150227191,39.9935745087857,"c(-75.133150227191, 39.9935745087857)"
230 W INDIANA AVE,0.07,0.11,0.16,0.23,0.33,0.06,0.09,0.13,0.18,0.25,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1347917970501,39.9959393953326,"c(-75.1347917970501, 39.9959393953326)"
2825 N LEE ST,0.07,0.11,0.16,0.24,0.33,0.05,0.07,0.11,0.15,0.22,0.34,0.37,0.41,0.44,0.48,McGuire,-75.1297771520643,39.9929114107939,"c(-75.1297771520643, 39.9929114107939)"
2811 MUTTER ST,0.08,0.12,0.17,0.25,0.34,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1328471581832,39.9930258444604,"c(-75.1328471581832, 39.9930258444604)"
2822 MASCHER ST,0.05,0.08,0.12,0.18,0.25,0.08,0.11,0.16,0.23,0.31,0.3,0.33,0.37,0.4,0.44,McGuire,-75.1326267234898,39.9932848003223,"c(-75.1326267234898, 39.9932848003223)"
2840 N HANCOCK ST,0.05,0.08,0.12,0.18,0.26,0.08,0.11,0.16,0.23,0.31,0.3,0.33,0.37,0.4,0.44,McGuire,-75.1334636979894,39.9937655837028,"c(-75.1334636979894, 39.9937655837028)"
2845 N 2ND ST,0.05,0.08,0.12,0.18,0.26,0.08,0.12,0.17,0.23,0.31,0.2,0.22,0.25,0.28,0.31,McGuire,-75.1341025837528,39.9939727754778,"c(-75.1341025837528, 39.9939727754778)"
2839 N 2ND ST,0.08,0.12,0.17,0.25,0.34,0.07,0.1,0.14,0.2,0.28,0.23,0.25,0.28,0.31,0.35,McGuire,-75.1341276501208,39.9938542259323,"c(-75.1341276501208, 39.9938542259323)"
2927 N HOWARD ST,0.08,0.11,0.17,0.24,0.34,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,McGuire,-75.1309559532922,39.9947558772491,"c(-75.1309559532922, 39.9947558772491)"
