address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
3112 MAUREEN DR,0.02,0.03,0.05,0.07,0.11,0.18,0.25,0.34,0.43,0.54,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.9659371344449,40.1062200158794,"c(-74.9659371344449, 40.1062200158794)"
3118 MAUREEN DR,0.02,0.03,0.05,0.07,0.11,0.18,0.25,0.33,0.43,0.54,0.3,0.33,0.37,0.41,0.44,Mechanicsville,-74.9651731843024,40.1063224251348,"c(-74.9651731843024, 40.1063224251348)"
3136 MECHANICSVILLE RD,0.03,0.04,0.06,0.09,0.14,0.14,0.2,0.27,0.36,0.46,0.5,0.54,0.57,0.61,0.65,Mechanicsville,-74.9664371589201,40.1076961384712,"c(-74.9664371589201, 40.1076961384712)"
3102 MAUREEN DR,0.02,0.03,0.04,0.07,0.1,0.19,0.26,0.35,0.45,0.55,0.3,0.33,0.37,0.41,0.44,Mechanicsville,-74.9665598668201,40.1069642866568,"c(-74.9665598668201, 40.1069642866568)"
3124 MECHANICSVILLE RD,0.02,0.02,0.04,0.06,0.09,0.12,0.17,0.24,0.32,0.42,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.9659611041274,40.1088220683809,"c(-74.9659611041274, 40.1088220683809)"
3134 MECHANICSVILLE RD,0.02,0.02,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.33,0.36,0.4,0.43,0.47,Mechanicsville,-74.966476636384,40.1083152641387,"c(-74.966476636384, 40.1083152641387)"
3100 MAUREEN DR,0.03,0.04,0.06,0.1,0.14,0.14,0.2,0.28,0.37,0.47,0.34,0.37,0.41,0.44,0.48,Mechanicsville,-74.9666099539542,40.1071691359047,"c(-74.9666099539542, 40.1071691359047)"
3143 MECHANICSVILLE RD,0.02,0.03,0.04,0.06,0.09,0.14,0.2,0.28,0.37,0.47,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.965686785172,40.1085624138015,"c(-74.965686785172, 40.1085624138015)"
3107 MAUREEN DR,0.02,0.03,0.05,0.07,0.11,0.25,0.34,0.44,0.54,0.64,0.33,0.36,0.4,0.43,0.47,Mechanicsville,-74.9658449163618,40.106671953352,"c(-74.9658449163618, 40.106671953352)"
3106 MECHANICSVILLE RD,0.01,0.02,0.03,0.05,0.08,0.17,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.9659681160119,40.1098486113828,"c(-74.9659681160119, 40.1098486113828)"
3140 MECHANICSVILLE RD,0.02,0.03,0.04,0.06,0.1,0.12,0.18,0.25,0.33,0.43,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.9668336542073,40.1076775444541,"c(-74.9668336542073, 40.1076775444541)"
3117 MAUREEN DR,0.02,0.03,0.05,0.07,0.11,0.18,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.9645564334002,40.1068116999421,"c(-74.9645564334002, 40.1068116999421)"
3119 MAUREEN DR,0.02,0.03,0.05,0.07,0.11,0.18,0.25,0.34,0.44,0.54,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.9643398151365,40.1067177240281,"c(-74.9643398151365, 40.1067177240281)"
3131 MECHANICSVILLE RD,0.02,0.02,0.04,0.06,0.09,0.23,0.31,0.4,0.51,0.61,0.33,0.36,0.4,0.43,0.47,Mechanicsville,-74.9655048878863,40.109058824141,"c(-74.9655048878863, 40.109058824141)"
3104 MAUREEN DR,0.02,0.03,0.04,0.07,0.1,0.17,0.24,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.966517477793,40.1067717035097,"c(-74.966517477793, 40.1067717035097)"
3138 MECHANICSVILLE RD,0.02,0.03,0.04,0.06,0.1,0.12,0.17,0.24,0.33,0.42,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.9666345461145,40.1076868775698,"c(-74.9666345461145, 40.1076868775698)"
3122 MECHANICSVILLE RD,0.02,0.04,0.06,0.08,0.13,0.15,0.21,0.28,0.38,0.48,0.23,0.25,0.28,0.32,0.35,Mechanicsville,-74.9672495631914,40.1083981429536,"c(-74.9672495631914, 40.1083981429536)"
3152 MECHANICSVILLE RD,0.02,0.03,0.05,0.07,0.11,0.12,0.18,0.24,0.33,0.43,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.9674631453576,40.1074877782838,"c(-74.9674631453576, 40.1074877782838)"
3124 MAUREEN DR,0.02,0.03,0.05,0.07,0.11,0.18,0.25,0.34,0.43,0.54,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.9645463714046,40.1060557975329,"c(-74.9645463714046, 40.1060557975329)"
3156 MECHANICSVILLE RD,0.02,0.03,0.04,0.06,0.09,0.17,0.24,0.33,0.43,0.53,0.33,0.36,0.4,0.43,0.47,Mechanicsville,-74.9677234507944,40.1074224832529,"c(-74.9677234507944, 40.1074224832529)"
3113 MAUREEN DR,0.02,0.03,0.05,0.07,0.11,0.18,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.9650667416527,40.1068482910905,"c(-74.9650667416527, 40.1068482910905)"
3114 MECHANICSVILLE RD,0.01,0.02,0.04,0.06,0.09,0.15,0.22,0.3,0.39,0.49,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.9663253681009,40.1092376506038,"c(-74.9663253681009, 40.1092376506038)"
3108 MAUREEN DR,0.02,0.03,0.05,0.07,0.11,0.18,0.25,0.34,0.44,0.54,0.2,0.22,0.25,0.28,0.31,Mechanicsville,-74.9663768360343,40.1063621018679,"c(-74.9663768360343, 40.1063621018679)"
3101 MAUREEN DR,0.02,0.03,0.04,0.07,0.1,0.25,0.33,0.43,0.54,0.64,0.33,0.36,0.4,0.43,0.47,Mechanicsville,-74.9658682916711,40.1073387219965,"c(-74.9658682916711, 40.1073387219965)"
