address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
6223 PALETHORP ST,0.04,0.06,0.09,0.14,0.2,0.12,0.18,0.25,0.33,0.43,0.22,0.25,0.28,0.31,0.35,Melrose Park Gardens,-75.1224825772871,40.0454101415506,"c(-75.1224825772871, 40.0454101415506)"
161 W GODFREY AVE,0.03,0.04,0.06,0.1,0.14,0.13,0.19,0.26,0.34,0.44,0.2,0.22,0.25,0.28,0.31,Melrose Park Gardens,-75.1221890153521,40.0450361673514,"c(-75.1221890153521, 40.0450361673514)"
189 FARISTON DR,0.04,0.06,0.09,0.14,0.2,0.17,0.24,0.33,0.43,0.53,0.36,0.4,0.44,0.47,0.51,Melrose Park Gardens,-75.1142400970749,40.0479998702495,"c(-75.1142400970749, 40.0479998702495)"
6215 N 2ND ST,0.03,0.04,0.06,0.09,0.14,0.15,0.22,0.29,0.39,0.49,0.2,0.22,0.25,0.28,0.31,Melrose Park Gardens,-75.1232089134025,40.0453636138028,"c(-75.1232089134025, 40.0453636138028)"
116 E 64TH AVE,0.04,0.06,0.09,0.13,0.2,0.15,0.21,0.29,0.39,0.49,0.36,0.4,0.43,0.47,0.51,Melrose Park Gardens,-75.1182265850022,40.047407143588,"c(-75.1182265850022, 40.047407143588)"
201 E WALNUT PARK DR,0.03,0.05,0.07,0.11,0.17,0.19,0.27,0.35,0.46,0.56,0.46,0.49,0.53,0.57,0.61,Melrose Park Gardens,-75.1157815001586,40.0480190153329,"c(-75.1157815001586, 40.0480190153329)"
105 FARISTON DR,0.04,0.06,0.09,0.14,0.21,0.11,0.16,0.23,0.31,0.4,0.22,0.25,0.28,0.31,0.35,Melrose Park Gardens,-75.1167067494475,40.0491590575748,"c(-75.1167067494475, 40.0491590575748)"
54 W CHELTENHAM AVE,0.03,0.05,0.08,0.12,0.18,0.19,0.27,0.36,0.46,0.56,0.5,0.53,0.57,0.61,0.64,Melrose Park Gardens,-75.1183934093677,40.0505986485191,"c(-75.1183934093677, 40.0505986485191)"
6238 N FRONT ST,0.04,0.06,0.1,0.14,0.21,0.12,0.17,0.24,0.33,0.43,0.23,0.25,0.28,0.31,0.35,Melrose Park Gardens,-75.119522546996,40.0454138356445,"c(-75.119522546996, 40.0454138356445)"
121 W WALNUT PARK DR,0.02,0.04,0.06,0.08,0.13,0.2,0.28,0.37,0.47,0.57,0.46,0.49,0.53,0.57,0.61,Melrose Park Gardens,-75.1182867708443,40.0501552152401,"c(-75.1182867708443, 40.0501552152401)"
6517 W WALNUT PARK DR,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.22,0.31,0.4,0.23,0.25,0.28,0.31,0.35,Melrose Park Gardens,-75.1209204547859,40.0504285015306,"c(-75.1209204547859, 40.0504285015306)"
136 W WALNUT PARK DR,0.02,0.04,0.06,0.09,0.13,0.19,0.26,0.35,0.45,0.55,0.33,0.36,0.4,0.43,0.47,Melrose Park Gardens,-75.1188794927757,40.0496975777242,"c(-75.1188794927757, 40.0496975777242)"
211 E WALNUT PARK DR,0.03,0.05,0.07,0.11,0.17,0.19,0.27,0.35,0.46,0.56,0.33,0.36,0.4,0.43,0.47,Melrose Park Gardens,-75.1155474904372,40.0478853075196,"c(-75.1155474904372, 40.0478853075196)"
156 E WALNUT PARK DR,0.04,0.06,0.1,0.15,0.21,0.11,0.16,0.22,0.3,0.4,0.23,0.25,0.28,0.31,0.35,Melrose Park Gardens,-75.1166549793091,40.0478766028091,"c(-75.1166549793091, 40.0478766028091)"
233 E WALNUT PARK DR,0.04,0.06,0.1,0.15,0.21,0.11,0.16,0.22,0.3,0.4,0.23,0.25,0.28,0.31,0.35,Melrose Park Gardens,-75.1149311957603,40.0475295295433,"c(-75.1149311957603, 40.0475295295433)"
142 W WALNUT PARK DR,0.02,0.04,0.06,0.09,0.13,0.19,0.26,0.35,0.45,0.55,0.33,0.36,0.4,0.43,0.47,Melrose Park Gardens,-75.1190704172383,40.049703879505,"c(-75.1190704172383, 40.049703879505)"
