"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","5000 PARRISH ST",0.07,0.1,0.15,0.22,0.31,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Mill Creek","-75.2205847130694","39.9669188106984",c(-75.2205847130694, 39.9669188106984)
"2","5152 OGDEN ST",0.13,0.19,0.27,0.37,0.48,0.06,0.08,0.12,0.17,0.24,0.06,0.08,0.12,0.17,0.24,"Mill Creek","-75.2240871321274","39.9670780133687",c(-75.2240871321274, 39.9670780133687)
"3","600 S 49TH ST",0.08,0.12,0.17,0.25,0.34,0.21,0.28,0.37,0.48,0.58,0.21,0.28,0.37,0.48,0.58,"Mill Creek","-75.218338865336","39.963393802515",c(-75.218338865336, 39.963393802515)
"4","878 N 45TH ST",0.06,0.09,0.13,0.19,0.27,0.07,0.1,0.15,0.21,0.29,0.07,0.1,0.15,0.21,0.29,"Mill Creek","-75.2130308054384","39.968795318772",c(-75.2130308054384, 39.968795318772)
"5","4415 FAIRMOUNT AVE",0.06,0.09,0.13,0.19,0.27,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Mill Creek","-75.2112864838262","39.9647000956732",c(-75.2112864838262, 39.9647000956732)
"6","5044 ASPEN ST",0.08,0.12,0.18,0.26,0.36,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Mill Creek","-75.2215401045599","39.9645705534109",c(-75.2215401045599, 39.9645705534109)
"7","4505 BROWN ST",0.06,0.09,0.13,0.2,0.28,0.06,0.09,0.14,0.19,0.27,0.06,0.09,0.14,0.19,0.27,"Mill Creek","-75.2128343388503","39.9668637975602",c(-75.2128343388503, 39.9668637975602)
"8","4436 ASPEN ST",0.06,0.09,0.14,0.2,0.28,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Mill Creek","-75.211898909867","39.9653577628953",c(-75.211898909867, 39.9653577628953)
"9","936 N SAINT BERNARD ST",0.07,0.11,0.17,0.24,0.33,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Mill Creek","-75.2202699813007","39.9694956613532",c(-75.2202699813007, 39.9694956613532)
"10","857 N 48TH ST",0.06,0.09,0.14,0.2,0.28,0.08,0.12,0.17,0.23,0.32,0.08,0.12,0.17,0.23,0.32,"Mill Creek","-75.2165501655971","39.9678590456378",c(-75.2165501655971, 39.9678590456378)
