address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
145 GREENDALE RD,0.02,0.03,0.04,0.07,0.1,0.21,0.29,0.38,0.48,0.59,0.3,0.33,0.37,0.4,0.44,Millbrook,-74.9742773479207,40.0737031352051,"c(-74.9742773479207, 40.0737031352051)"
4141 WHITING PL,0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.34,0.44,0.54,0.2,0.22,0.25,0.28,0.31,Millbrook,-74.9707125079285,40.084392716617,"c(-74.9707125079285, 40.084392716617)"
4413 ERNIE DAVIS CIR,0.01,0.02,0.04,0.06,0.08,0.24,0.32,0.42,0.52,0.63,0.33,0.36,0.4,0.43,0.47,Millbrook,-74.9666875096589,40.0804222689032,"c(-74.9666875096589, 40.0804222689032)"
11705 DIMARCO DR,0.02,0.03,0.05,0.08,0.11,0.15,0.21,0.28,0.38,0.48,0.34,0.37,0.41,0.44,0.48,Millbrook,-74.9724498919815,40.0774664361765,"c(-74.9724498919815, 40.0774664361765)"
4205 TELFORD RD,0.01,0.02,0.03,0.05,0.08,0.18,0.25,0.34,0.44,0.54,0.3,0.33,0.37,0.4,0.44,Millbrook,-74.9710966824986,40.0809134596712,"c(-74.9710966824986, 40.0809134596712)"
214 GOODFORD RD,0.02,0.03,0.04,0.06,0.1,0.19,0.26,0.35,0.45,0.55,0.3,0.33,0.37,0.4,0.44,Millbrook,-74.9733177133923,40.074368796048,"c(-74.9733177133923, 40.074368796048)"
4233 LAWNSIDE RD,0.02,0.03,0.04,0.06,0.09,0.25,0.33,0.43,0.54,0.64,0.46,0.49,0.53,0.57,0.61,Millbrook,-74.9692062842218,40.0820250869142,"c(-74.9692062842218, 40.0820250869142)"
12027 MILLBROOK RD,0.01,0.02,0.04,0.05,0.08,0.18,0.25,0.34,0.44,0.55,0.3,0.33,0.37,0.4,0.44,Millbrook,-74.9687126538323,40.0807585364364,"c(-74.9687126538323, 40.0807585364364)"
11743 TELFAIR RD,0.02,0.03,0.05,0.07,0.11,0.14,0.2,0.27,0.36,0.46,0.34,0.37,0.41,0.44,0.48,Millbrook,-74.969574760731,40.0774434927583,"c(-74.969574760731, 40.0774434927583)"
11722 MILLBROOK RD,0.02,0.03,0.05,0.07,0.11,0.16,0.22,0.31,0.4,0.5,0.36,0.4,0.44,0.47,0.51,Millbrook,-74.9726483847215,40.0796382654617,"c(-74.9726483847215, 40.0796382654617)"
11744 DENMAN RD,0.01,0.02,0.03,0.05,0.08,0.2,0.27,0.36,0.46,0.57,0.46,0.49,0.53,0.57,0.61,Millbrook,-74.9718373953264,40.0790826661781,"c(-74.9718373953264, 40.0790826661781)"
4200 LAWNSIDE RD,0.02,0.03,0.04,0.07,0.1,0.25,0.33,0.43,0.54,0.64,0.46,0.49,0.53,0.57,0.61,Millbrook,-74.9697650274021,40.0828151751973,"c(-74.9697650274021, 40.0828151751973)"
11718 TELFAIR RD,0.01,0.02,0.03,0.05,0.07,0.18,0.25,0.34,0.44,0.55,0.2,0.22,0.25,0.28,0.31,Millbrook,-74.9705400409764,40.0776278579615,"c(-74.9705400409764, 40.0776278579615)"
4212 FAIRDALE RD,0.01,0.02,0.03,0.05,0.08,0.24,0.33,0.43,0.53,0.63,0.46,0.49,0.53,0.57,0.61,Millbrook,-74.9706289632429,40.0809324146357,"c(-74.9706289632429, 40.0809324146357)"
4225 FAIRDALE RD,0.02,0.02,0.04,0.06,0.09,0.19,0.27,0.36,0.46,0.56,0.46,0.49,0.53,0.57,0.61,Millbrook,-74.9707441401805,40.0818100518853,"c(-74.9707441401805, 40.0818100518853)"
11808 MILLBROOK RD,0.01,0.02,0.03,0.05,0.08,0.14,0.2,0.28,0.37,0.47,0.3,0.33,0.37,0.4,0.44,Millbrook,-74.9713313051209,40.0801409080093,"c(-74.9713313051209, 40.0801409080093)"
223 LAWNBROOK RD,0.02,0.03,0.05,0.07,0.11,0.19,0.26,0.35,0.45,0.55,0.2,0.22,0.25,0.28,0.31,Millbrook,-74.9744129245172,40.0728211729793,"c(-74.9744129245172, 40.0728211729793)"
136 GREENDALE RD,0.02,0.03,0.05,0.07,0.11,0.19,0.26,0.35,0.45,0.56,0.3,0.33,0.37,0.4,0.44,Millbrook,-74.9748699005483,40.073754247095,"c(-74.9748699005483, 40.073754247095)"
4217 WHITING RD,0.02,0.03,0.04,0.07,0.1,0.25,0.33,0.43,0.53,0.64,0.46,0.49,0.53,0.57,0.61,Millbrook,-74.9686907447331,40.0828111904936,"c(-74.9686907447331, 40.0828111904936)"
12003 MILLBROOK RD,0.02,0.03,0.05,0.08,0.12,0.15,0.21,0.29,0.38,0.48,0.23,0.25,0.28,0.32,0.35,Millbrook,-74.9695830348277,40.0806103961796,"c(-74.9695830348277, 40.0806103961796)"
11929 MILLBROOK RD,0.01,0.02,0.03,0.05,0.08,0.15,0.21,0.28,0.38,0.48,0.3,0.33,0.37,0.4,0.44,Millbrook,-74.9697364153082,40.0804615301343,"c(-74.9697364153082, 40.0804615301343)"
4113 WHITING RD,0.02,0.03,0.05,0.08,0.12,0.18,0.26,0.34,0.44,0.55,0.3,0.33,0.37,0.4,0.44,Millbrook,-74.9721335609693,40.0842216280894,"c(-74.9721335609693, 40.0842216280894)"
4170 FAIRDALE RD,0.01,0.02,0.04,0.06,0.09,0.18,0.26,0.34,0.44,0.55,0.2,0.22,0.25,0.28,0.31,Millbrook,-74.9716117135651,40.0818236668208,"c(-74.9716117135651, 40.0818236668208)"
225 GREENDALE RD,0.02,0.02,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.55,0.2,0.22,0.25,0.28,0.31,Millbrook,-74.9734305450337,40.0763352906486,"c(-74.9734305450337, 40.0763352906486)"
168 GREENDALE RD,0.02,0.03,0.04,0.07,0.1,0.19,0.26,0.35,0.45,0.56,0.3,0.33,0.37,0.4,0.44,Millbrook,-74.9739873338653,40.0749072704341,"c(-74.9739873338653, 40.0749072704341)"
4145 FARMDALE RD,0.02,0.03,0.04,0.07,0.1,0.25,0.33,0.43,0.53,0.63,0.33,0.36,0.4,0.43,0.47,Millbrook,-74.9703887201024,40.0828690034135,"c(-74.9703887201024, 40.0828690034135)"
4165 FARMDALE RD,0.02,0.04,0.06,0.09,0.14,0.2,0.28,0.37,0.47,0.58,0.5,0.53,0.57,0.61,0.65,Millbrook,-74.9709465853311,40.082394465825,"c(-74.9709465853311, 40.082394465825)"
4216 FAIRDALE RD,0.01,0.02,0.03,0.05,0.08,0.25,0.33,0.43,0.53,0.63,0.46,0.49,0.53,0.57,0.61,Millbrook,-74.9704346203935,40.0808426191665,"c(-74.9704346203935, 40.0808426191665)"
124 MEADOW LN,0.03,0.05,0.07,0.11,0.16,0.16,0.22,0.3,0.4,0.5,0.34,0.37,0.41,0.44,0.48,Millbrook,-74.9761433229121,40.0748977235532,"c(-74.9761433229121, 40.0748977235532)"
4311 GREENMOUNT RD,0.01,0.02,0.03,0.05,0.08,0.18,0.25,0.34,0.44,0.54,0.2,0.22,0.25,0.28,0.31,Millbrook,-74.9706239289624,40.0790726698579,"c(-74.9706239289624, 40.0790726698579)"
