"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","12021 SALINA PL",0.02,0.03,0.05,0.07,0.11,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Modena","-74.9789947176288","40.0904004646209",c(-74.9789947176288, 40.0904004646209)
"2","3530 CAREY RD",0.03,0.05,0.08,0.11,0.17,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Modena","-74.985359143773","40.0811769335068",c(-74.985359143773, 40.0811769335068)
"3","11649 ACADEMY RD",0.03,0.04,0.06,0.09,0.14,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Modena","-74.9843777514298","40.0894410753015",c(-74.9843777514298, 40.0894410753015)
"4","3523 KYLE RD",0.03,0.05,0.07,0.11,0.17,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Modena","-74.9873219955781","40.0792934231844",c(-74.9873219955781, 40.0792934231844)
"5","11107 WALDEMIRE DR",0.02,0.03,0.05,0.08,0.12,0.25,0.34,0.44,0.54,0.65,0.25,0.34,0.44,0.54,0.65,"Modena","-74.981214894814","40.0836693053639",c(-74.981214894814, 40.0836693053639)
"6","12027 ACADEMY RD",0.02,0.03,0.05,0.08,0.12,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Modena","-74.9807793126239","40.0926661458526",c(-74.9807793126239, 40.0926661458526)
"7","11928 ALBERTA DR",0.03,0.05,0.07,0.11,0.16,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Modena","-74.977521216888","40.0860141261022",c(-74.977521216888, 40.0860141261022)
"8","3820 ANDREA RD",0.02,0.03,0.05,0.08,0.11,0.23,0.32,0.41,0.52,0.62,0.23,0.32,0.41,0.52,0.62,"Modena","-74.9799781918467","40.080440884686",c(-74.9799781918467, 40.080440884686)
"9","10714 KESWICK RD",0.04,0.07,0.1,0.15,0.22,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Modena","-74.9873421551602","40.0763998022442",c(-74.9873421551602, 40.0763998022442)
"10","3461 CHALFONT DR",0.03,0.04,0.06,0.1,0.15,0.17,0.24,0.33,0.42,0.53,0.17,0.24,0.33,0.42,0.53,"Modena","-74.9874246588976","40.0828736752366",c(-74.9874246588976, 40.0828736752366)
"11","3557 CHALFONT DR",0.03,0.05,0.08,0.12,0.17,0.23,0.32,0.41,0.52,0.62,0.23,0.32,0.41,0.52,0.62,"Modena","-74.9843473340548","40.0825334304918",c(-74.9843473340548, 40.0825334304918)
"12","11939 ALBERTA DR",0.02,0.03,0.05,0.08,0.12,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Modena","-74.9776307558511","40.0855231222824",c(-74.9776307558511, 40.0855231222824)
"13","3816 FAIRDALE RD",0.02,0.03,0.05,0.08,0.12,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"Modena","-74.9794044925927","40.0875471716881",c(-74.9794044925927, 40.0875471716881)
"14","3807 SALINA RD",0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Modena","-74.9786037802631","40.0885363750739",c(-74.9786037802631, 40.0885363750739)
"15","10915 TEMPLETON DR",0.02,0.03,0.04,0.06,0.09,0.26,0.35,0.45,0.56,0.66,0.26,0.35,0.45,0.56,0.66,"Modena","-74.9824698288857","40.0750792553032",c(-74.9824698288857, 40.0750792553032)
"16","10861 ACADEMY RD",0.05,0.07,0.11,0.16,0.23,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Modena","-74.9918770986598","40.0828312568634",c(-74.9918770986598, 40.0828312568634)
"17","3595 OAKHILL RD",0.03,0.05,0.08,0.12,0.18,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Modena","-74.984669135315","40.0791050796816",c(-74.984669135315, 40.0791050796816)
"18","3811 RED LION RD",0.02,0.03,0.05,0.07,0.11,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Modena","-74.9837917411231","40.0741742772485",c(-74.9837917411231, 40.0741742772485)
"19","12021 GLENFIELD ST",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Modena","-74.9747215580004","40.0863860008081",c(-74.9747215580004, 40.0863860008081)
"20","12054 ABBY RD",0.03,0.05,0.07,0.11,0.17,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Modena","-74.9795477145149","40.0911946375672",c(-74.9795477145149, 40.0911946375672)
"21","10722 ALBEMARLE LN",0.03,0.05,0.08,0.12,0.17,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Modena","-74.9883619362944","40.0776061483088",c(-74.9883619362944, 40.0776061483088)
"22","11101 TEMPLETON DR",0.02,0.03,0.05,0.08,0.12,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Modena","-74.9801632452133","40.0833371962059",c(-74.9801632452133, 40.0833371962059)
"23","10922 TEMPLETON DR",0.02,0.03,0.04,0.06,0.09,0.26,0.35,0.45,0.56,0.66,0.26,0.35,0.45,0.56,0.66,"Modena","-74.9828634584157","40.0754062948699",c(-74.9828634584157, 40.0754062948699)
"24","12086 ABBY RD",0.03,0.04,0.07,0.1,0.15,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Modena","-74.9793162838349","40.0920991460454",c(-74.9793162838349, 40.0920991460454)
"25","3266 TARA RD",0.04,0.07,0.1,0.15,0.22,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Modena","-74.9829372355032","40.0877266848272",c(-74.9829372355032, 40.0877266848272)
