"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","3250 CHESTERFIELD RD",0.03,0.04,0.06,0.09,0.14,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Morrell Park","-74.9962128283986","40.0755940325823",c(-74.9962128283986, 40.0755940325823)
"2","3254 CHESTERFIELD RD",0.03,0.04,0.06,0.09,0.14,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Morrell Park","-74.9962277424296","40.0754410415792",c(-74.9962277424296, 40.0754410415792)
"3","3252 CHESTERFIELD RD",0.03,0.04,0.06,0.09,0.14,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Morrell Park","-74.9962164897017","40.075538093093",c(-74.9962164897017, 40.075538093093)
"4","3968 CONSTANCE RD",0.03,0.05,0.07,0.11,0.16,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Morrell Park","-74.9893157962529","40.0629321410174",c(-74.9893157962529, 40.0629321410174)
"5","3559 NOTTINGHAM LN",0.03,0.04,0.06,0.1,0.15,0.24,0.32,0.42,0.53,0.63,0.24,0.32,0.42,0.53,0.63,"Morrell Park","-74.9857233329785","40.0720234433702",c(-74.9857233329785, 40.0720234433702)
"6","10022 WARFIELD PL",0.03,0.05,0.08,0.11,0.17,0.18,0.25,0.33,0.43,0.53,0.18,0.25,0.33,0.43,0.53,"Morrell Park","-74.9965617389523","40.0772805467225",c(-74.9965617389523, 40.0772805467225)
"7","3993 ROWENA DR",0.04,0.06,0.09,0.14,0.2,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Morrell Park","-74.9867285416001","40.0635665772333",c(-74.9867285416001, 40.0635665772333)
"8","3290 CROMWELL RD",0.03,0.04,0.07,0.1,0.15,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Morrell Park","-74.9932081985724","40.0780971014972",c(-74.9932081985724, 40.0780971014972)
"9","3960 CARTERET DR",0.04,0.07,0.1,0.15,0.22,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Morrell Park","-74.9885693922223","40.0636695180761",c(-74.9885693922223, 40.0636695180761)
"10","10207 W KESWICK RD",0.03,0.05,0.07,0.11,0.16,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Morrell Park","-74.9918807369295","40.0776115626748",c(-74.9918807369295, 40.0776115626748)
"11","3210 KILBURN RD",0.03,0.04,0.06,0.1,0.14,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Morrell Park","-74.9956753826177","40.0784922789736",c(-74.9956753826177, 40.0784922789736)
"12","3367 ELLISTON CIR",0.03,0.05,0.08,0.12,0.17,0.2,0.27,0.36,0.47,0.57,0.2,0.27,0.36,0.47,0.57,"Morrell Park","-74.9915969802138","40.0769941726664",c(-74.9915969802138, 40.0769941726664)
"13","3543 NOTTINGHAM LN",0.04,0.06,0.09,0.14,0.2,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Morrell Park","-74.9860731318535","40.0724009650182",c(-74.9860731318535, 40.0724009650182)
"14","3642 ESSEX LN",0.02,0.04,0.06,0.09,0.13,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Morrell Park","-74.9872197135563","40.0688681852058",c(-74.9872197135563, 40.0688681852058)
"15","3424 MORRELL AVE",0.04,0.06,0.09,0.14,0.2,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Morrell Park","-74.9886602525814","40.0736811354923",c(-74.9886602525814, 40.0736811354923)
"16","3315 KESWICK CIR",0.04,0.05,0.08,0.13,0.19,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Morrell Park","-74.9903577094191","40.0738272271793",c(-74.9903577094191, 40.0738272271793)
"17","3358 S KESWICK RD",0.03,0.05,0.08,0.12,0.18,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Morrell Park","-74.9925944074576","40.07463127098",c(-74.9925944074576, 40.07463127098)
"18","3579 NOTTINGHAM LN",0.04,0.06,0.1,0.14,0.21,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Morrell Park","-74.9853135410582","40.0715595462073",c(-74.9853135410582, 40.0715595462073)
"19","3418 MORRELL AVE",0.04,0.06,0.09,0.14,0.2,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Morrell Park","-74.988884521456","40.0739408393188",c(-74.988884521456, 40.0739408393188)
"20","3963 ROWENA DR",0.04,0.06,0.1,0.14,0.21,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Morrell Park","-74.9874837262901","40.0644639877995",c(-74.9874837262901, 40.0644639877995)
"21","3523 GLENN ST",0.02,0.03,0.05,0.08,0.12,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"Morrell Park","-75.0008172681259","40.0740641993485",c(-75.0008172681259, 40.0740641993485)
