"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1701 JACKSON ST",0.03,0.04,0.06,0.09,0.14,0.3,0.4,0.5,0.6,0.7,0.3,0.4,0.5,0.6,0.7,"Newbold","-75.1749120931095","39.9239209391064",c(-75.1749120931095, 39.9239209391064)
"2","1824 S BROAD ST",0.02,0.04,0.05,0.08,0.13,0.32,0.42,0.52,0.62,0.71,0.32,0.42,0.52,0.62,0.71,"Newbold","-75.169385439431","39.9273975988345",c(-75.169385439431, 39.9273975988345)
"3","2029 S BANCROFT ST",0.03,0.05,0.08,0.12,0.18,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Newbold","-75.1732480514735","39.9254204736572",c(-75.1732480514735, 39.9254204736572)
"4","1933 S BOUVIER ST",0.03,0.04,0.06,0.09,0.14,0.31,0.4,0.51,0.61,0.7,0.31,0.4,0.51,0.61,0.7,"Newbold","-75.1750442173975","39.9268392322734",c(-75.1750442173975, 39.9268392322734)
"5","2231 S CARLISLE ST",0.03,0.04,0.06,0.09,0.14,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Newbold","-75.1711238351631","39.9225504012736",c(-75.1711238351631, 39.9225504012736)
"6","1719 S BANCROFT ST",0.02,0.03,0.05,0.08,0.12,0.33,0.43,0.53,0.64,0.73,0.33,0.43,0.53,0.64,0.73,"Newbold","-75.172416588382","39.9293017083868",c(-75.172416588382, 39.9293017083868)
"7","1935 S HICKS ST",0.03,0.04,0.06,0.09,0.14,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Newbold","-75.1714226968714","39.9263241846975",c(-75.1714226968714, 39.9263241846975)
"8","2009 S 15TH ST",0.04,0.06,0.09,0.13,0.19,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Newbold","-75.170983139535","39.9255277706593",c(-75.170983139535, 39.9255277706593)
"9","2134 S 16TH ST",0.03,0.04,0.06,0.09,0.14,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Newbold","-75.17335199576","39.9239067777905",c(-75.17335199576, 39.9239067777905)
"10","1809 S 17TH ST",0.03,0.05,0.08,0.12,0.17,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Newbold","-75.1735716850308","39.9283760664054",c(-75.1735716850308, 39.9283760664054)
