address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2012 NEWCOMB ST,0.03,0.05,0.08,0.12,0.18,0.09,0.13,0.19,0.26,0.35,0.3,0.33,0.37,0.4,0.44,Nicetown,-75.1591656896811,40.0197231672409,"c(-75.1591656896811, 40.0197231672409)"
1610 ROWAN ST,0.05,0.08,0.12,0.17,0.25,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1528500349405,40.0196561423077,"c(-75.1528500349405, 40.0196561423077)"
4311 N HICKS ST,0.05,0.08,0.12,0.18,0.25,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1512041641555,40.0190616844905,"c(-75.1512041641555, 40.0190616844905)"
1726 W BRISTOL ST,0.03,0.05,0.07,0.11,0.16,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1548105768382,40.0186224331118,"c(-75.1548105768382, 40.0186224331118)"
3939 DONATH ST,0.03,0.05,0.08,0.12,0.18,0.09,0.13,0.18,0.26,0.34,0.3,0.33,0.37,0.4,0.44,Nicetown,-75.1596936976986,40.0140653328664,"c(-75.1596936976986, 40.0140653328664)"
3876 ARCHER ST,0.05,0.07,0.11,0.17,0.24,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1610282504248,40.013506989259,"c(-75.1610282504248, 40.013506989259)"
1932 DALKEITH ST,0.03,0.05,0.08,0.11,0.17,0.09,0.13,0.18,0.26,0.34,0.3,0.33,0.37,0.4,0.44,Nicetown,-75.1585929120138,40.0182741915867,"c(-75.1585929120138, 40.0182741915867)"
4180 GERMANTOWN AVE,0,0.01,0.01,0.01,0.02,0.13,0.18,0.25,0.34,0.43,0.27,0.3,0.33,0.37,0.41,Nicetown,-75.155300574635,40.0178962592947,"c(-75.155300574635, 40.0178962592947)"
4201 GERMANTOWN AVE,0.04,0.07,0.1,0.15,0.22,0.14,0.2,0.28,0.37,0.47,0.23,0.25,0.28,0.31,0.35,Nicetown,-75.1548036708557,40.0182112429587,"c(-75.1548036708557, 40.0182112429587)"
1933 ROWAN ST,0.03,0.05,0.07,0.11,0.16,0.09,0.13,0.18,0.26,0.34,0.3,0.33,0.37,0.4,0.44,Nicetown,-75.1574689794608,40.0196360490895,"c(-75.1574689794608, 40.0196360490895)"
4174 NEWHALL ST,0.03,0.05,0.08,0.12,0.17,0.09,0.13,0.19,0.26,0.35,0.3,0.33,0.37,0.4,0.44,Nicetown,-75.1578293931752,40.016573024392,"c(-75.1578293931752, 40.016573024392)"
1626 W JUNIATA ST,0.03,0.05,0.08,0.11,0.17,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1534621766491,40.0184886376092,"c(-75.1534621766491, 40.0184886376092)"
4162 NEWHALL ST,0.05,0.07,0.11,0.17,0.24,0.07,0.11,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1576297402631,40.0163158413889,"c(-75.1576297402631, 40.0163158413889)"
1913 DALKEITH ST,0.05,0.07,0.11,0.16,0.23,0.07,0.11,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.158338645236,40.018626098674,"c(-75.158338645236, 40.018626098674)"
1923 W BRISTOL ST,0.05,0.07,0.11,0.16,0.23,0.07,0.1,0.15,0.21,0.29,0.33,0.37,0.41,0.44,0.48,Nicetown,-75.1583891641949,40.0181886387204,"c(-75.1583891641949, 40.0181886387204)"
1747 W JUNIATA ST,0.04,0.07,0.11,0.16,0.23,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1563637707089,40.0177482310918,"c(-75.1563637707089, 40.0177482310918)"
1900 W BRISTOL ST,0.03,0.05,0.07,0.11,0.17,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1576424814967,40.0182016073717,"c(-75.1576424814967, 40.0182016073717)"
1635 DOUNTON ST,0.05,0.07,0.11,0.16,0.24,0.08,0.12,0.17,0.23,0.32,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1534352996634,40.018329697648,"c(-75.1534352996634, 40.018329697648)"
4227 N HICKS ST,0.04,0.05,0.08,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1513935178515,40.0180260841413,"c(-75.1513935178515, 40.0180260841413)"
1934 BRUNNER ST,0.03,0.05,0.08,0.12,0.17,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1578277245243,40.017245015969,"c(-75.1578277245243, 40.017245015969)"
4340 N CARLISLE ST,0.09,0.13,0.2,0.28,0.38,0.12,0.18,0.25,0.33,0.43,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1500794669481,40.0196271449136,"c(-75.1500794669481, 40.0196271449136)"
1702 DOUNTON ST,0.03,0.05,0.07,0.11,0.16,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1549280317227,40.0173673867915,"c(-75.1549280317227, 40.0173673867915)"
1627 W BRISTOL ST,0.05,0.07,0.11,0.16,0.23,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1531161937221,40.0192059163504,"c(-75.1531161937221, 40.0192059163504)"
1857 BRUNNER ST,0.03,0.05,0.07,0.11,0.16,0.12,0.18,0.25,0.33,0.43,0.46,0.49,0.53,0.57,0.61,Nicetown,-75.1569454649875,40.01811397973,"c(-75.1569454649875, 40.01811397973)"
1619 W BRISTOL ST,0.03,0.05,0.08,0.11,0.17,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1529100115381,40.0191795846779,"c(-75.1529100115381, 40.0191795846779)"
1936 W BRISTOL ST,0.03,0.05,0.08,0.12,0.17,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1584249649191,40.0178508773615,"c(-75.1584249649191, 40.0178508773615)"
1629 DOUNTON ST,0.05,0.07,0.11,0.16,0.24,0.08,0.12,0.17,0.23,0.32,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1532908250476,40.0183872474298,"c(-75.1532908250476, 40.0183872474298)"
1908 W BRISTOL ST,0.05,0.07,0.11,0.16,0.23,0.07,0.11,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1578119415247,40.0181238784669,"c(-75.1578119415247, 40.0181238784669)"
1728 SAINT PAUL ST,0.04,0.07,0.1,0.15,0.22,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1546766557118,40.0193133669395,"c(-75.1546766557118, 40.0193133669395)"
1719 W BRISTOL ST,0.03,0.05,0.07,0.11,0.16,0.1,0.14,0.2,0.27,0.37,0.3,0.33,0.37,0.4,0.44,Nicetown,-75.1545780189986,40.0191001895977,"c(-75.1545780189986, 40.0191001895977)"
1624 SAINT PAUL ST,0.05,0.07,0.11,0.16,0.23,0.08,0.12,0.17,0.23,0.32,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1535356254442,40.0194092713581,"c(-75.1535356254442, 40.0194092713581)"
4184 WAYNE AVE,0.03,0.05,0.07,0.11,0.17,0.09,0.13,0.19,0.26,0.35,0.3,0.33,0.37,0.4,0.44,Nicetown,-75.1567848779524,40.0170353044251,"c(-75.1567848779524, 40.0170353044251)"
1618 DOUNTON ST,0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1529791184837,40.0182499802245,"c(-75.1529791184837, 40.0182499802245)"
4302-04 GERMANTOWN AVE,0.03,0.04,0.07,0.11,0.16,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1561497898868,40.0192669248135,"c(-75.1561497898868, 40.0192669248135)"
1707 W BRISTOL ST,0.03,0.05,0.07,0.11,0.16,0.1,0.14,0.2,0.27,0.37,0.3,0.33,0.37,0.4,0.44,Nicetown,-75.1542946718995,40.0192168006841,"c(-75.1542946718995, 40.0192168006841)"
1746 SAINT PAUL ST,0.03,0.04,0.07,0.1,0.16,0.1,0.14,0.2,0.28,0.37,0.3,0.33,0.37,0.4,0.44,Nicetown,-75.1551000934544,40.0191400608406,"c(-75.1551000934544, 40.0191400608406)"
1920 BRUNNER ST,0.05,0.07,0.11,0.16,0.23,0.07,0.11,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1575398571847,40.0173811712753,"c(-75.1575398571847, 40.0173811712753)"
1942 DALKEITH ST,0.05,0.07,0.11,0.16,0.24,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1588086451978,40.0181732150342,"c(-75.1588086451978, 40.0181732150342)"
1837 W JUNIATA ST,0.05,0.07,0.11,0.17,0.24,0.07,0.11,0.15,0.22,0.3,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1578094045649,40.0170524003184,"c(-75.1578094045649, 40.0170524003184)"
1756 W JUNIATA ST,0.05,0.07,0.11,0.16,0.23,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1563257993213,40.0173413203411,"c(-75.1563257993213, 40.0173413203411)"
1748 W JUNIATA ST,0.05,0.07,0.11,0.16,0.23,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1561315269222,40.0174324081545,"c(-75.1561315269222, 40.0174324081545)"
4314 N 16TH ST,0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1525742735863,40.0192847179208,"c(-75.1525742735863, 40.0192847179208)"
4234 N SYDENHAM ST,0.03,0.05,0.08,0.12,0.18,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.152134787956,40.0183060113471,"c(-75.152134787956, 40.0183060113471)"
1602 ROWAN ST,0.05,0.08,0.12,0.17,0.25,0.08,0.11,0.16,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1525098003482,40.0196125301191,"c(-75.1525098003482, 40.0196125301191)"
1667 DOUNTON ST,0.05,0.07,0.11,0.16,0.23,0.08,0.11,0.16,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1541309480363,40.0180515369409,"c(-75.1541309480363, 40.0180515369409)"
1718 DOUNTON ST,0.03,0.05,0.07,0.11,0.16,0.12,0.18,0.25,0.33,0.43,0.46,0.49,0.53,0.57,0.61,Nicetown,-75.1553723571546,40.0171616946468,"c(-75.1553723571546, 40.0171616946468)"
2005 W HUNTING PARK AVE,0.03,0.05,0.07,0.11,0.16,0.09,0.13,0.18,0.26,0.34,0.3,0.33,0.37,0.4,0.44,Nicetown,-75.1612580142342,40.0127512948452,"c(-75.1612580142342, 40.0127512948452)"
2036 ROWAN ST,0.05,0.07,0.11,0.16,0.24,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.159047505337,40.0185039491508,"c(-75.159047505337, 40.0185039491508)"
1611 ROWAN ST,0.03,0.05,0.08,0.12,0.18,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1528114894744,40.0198390042005,"c(-75.1528114894744, 40.0198390042005)"
1613 STAUB ST,0.05,0.08,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1528551712097,40.0181186791077,"c(-75.1528551712097, 40.0181186791077)"
3871 ARCHER ST,0.05,0.07,0.11,0.17,0.24,0.07,0.11,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1606377426719,40.013589866977,"c(-75.1606377426719, 40.013589866977)"
1649 STAUB ST,0.05,0.07,0.11,0.16,0.24,0.08,0.12,0.17,0.24,0.32,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1537295157912,40.017766286591,"c(-75.1537295157912, 40.017766286591)"
1736 SAINT PAUL ST,0.04,0.07,0.1,0.15,0.22,0.08,0.11,0.16,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1548644396074,40.0192364438378,"c(-75.1548644396074, 40.0192364438378)"
1531 W BRISTOL ST,0.05,0.08,0.12,0.17,0.25,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1517313055585,40.0190379621793,"c(-75.1517313055585, 40.0190379621793)"
1710 STAUB ST,0.03,0.05,0.07,0.11,0.16,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1548840798444,40.0167276372144,"c(-75.1548840798444, 40.0167276372144)"
4251 N 15TH ST,0.04,0.06,0.09,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1506985848321,40.0183009298641,"c(-75.1506985848321, 40.0183009298641)"
1921 W BRISTOL ST,0.05,0.07,0.11,0.16,0.23,0.07,0.11,0.15,0.22,0.3,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1583488454203,40.0182078952628,"c(-75.1583488454203, 40.0182078952628)"
2050 DENNIE ST,0.03,0.05,0.08,0.11,0.17,0.13,0.18,0.25,0.33,0.43,0.46,0.49,0.53,0.57,0.61,Nicetown,-75.1597029128272,40.0189285691743,"c(-75.1597029128272, 40.0189285691743)"
1917 W HUNTING PARK AVE,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.24,0.33,0.23,0.25,0.28,0.32,0.35,Nicetown,-75.1586896925381,40.01394895722,"c(-75.1586896925381, 40.01394895722)"
4323 N 17TH ST,0.03,0.05,0.07,0.11,0.17,0.1,0.14,0.2,0.28,0.37,0.3,0.33,0.37,0.4,0.44,Nicetown,-75.1536795826001,40.0196699389449,"c(-75.1536795826001, 40.0196699389449)"
2009 ROWAN ST,0.05,0.07,0.11,0.16,0.23,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1586293915124,40.0190951141221,"c(-75.1586293915124, 40.0190951141221)"
1527 W BRISTOL ST,0.03,0.05,0.08,0.12,0.18,0.09,0.14,0.19,0.27,0.36,0.2,0.22,0.25,0.28,0.31,Nicetown,-75.1516233606165,40.0190280961028,"c(-75.1516233606165, 40.0190280961028)"
4258 N 16TH ST,0.03,0.05,0.08,0.12,0.17,0.1,0.14,0.2,0.28,0.37,0.3,0.33,0.37,0.4,0.44,Nicetown,-75.1526748319861,40.0188103325543,"c(-75.1526748319861, 40.0188103325543)"
3937 PRISCILLA ST,0.05,0.08,0.12,0.18,0.26,0.07,0.11,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1592036684873,40.0142154775608,"c(-75.1592036684873, 40.0142154775608)"
1642 W JUNIATA ST,0.05,0.07,0.11,0.16,0.23,0.08,0.12,0.17,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1538541556926,40.0183323090379,"c(-75.1538541556926, 40.0183323090379)"
4349 WAYNE AVE,0.05,0.08,0.12,0.17,0.25,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1586081290587,40.0199947941903,"c(-75.1586081290587, 40.0199947941903)"
4355 GERMANTOWN AVE,0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.23,0.25,0.28,0.31,0.35,Nicetown,-75.1565711970784,40.0204367722445,"c(-75.1565711970784, 40.0204367722445)"
4339 WAYNE AVE,0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1584818722234,40.0198398875883,"c(-75.1584818722234, 40.0198398875883)"
4223 GERMANTOWN AVE,0.04,0.07,0.1,0.15,0.22,0.14,0.2,0.28,0.37,0.47,0.34,0.37,0.41,0.44,0.48,Nicetown,-75.1551897288501,40.0187999675796,"c(-75.1551897288501, 40.0187999675796)"
4225 GERMANTOWN AVE,0.04,0.07,0.1,0.15,0.22,0.14,0.2,0.28,0.37,0.47,0.23,0.25,0.28,0.31,0.35,Nicetown,-75.1552164745641,40.0188425557492,"c(-75.1552164745641, 40.0188425557492)"
1548 SAINT LUKES ST,0.05,0.08,0.13,0.18,0.26,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Nicetown,-75.1520903731387,40.0198388479086,"c(-75.1520903731387, 40.0198388479086)"
