address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2834 NATURE RD,0.02,0.04,0.05,0.08,0.13,0.19,0.26,0.35,0.45,0.55,0.3,0.33,0.37,0.41,0.44,Normandy Village,-74.9933984548244,40.1014223477929,"c(-74.9933984548244, 40.1014223477929)"
2826 NEWBERRY RD,0.02,0.03,0.05,0.08,0.12,0.19,0.26,0.35,0.45,0.55,0.2,0.22,0.25,0.28,0.31,Normandy Village,-74.9948234879135,40.1016222572219,"c(-74.9948234879135, 40.1016222572219)"
2818 WOODHAVEN RD,0.04,0.06,0.1,0.15,0.21,0.15,0.21,0.29,0.39,0.49,0.34,0.37,0.41,0.44,0.48,Normandy Village,-74.9940256447595,40.1050369108829,"c(-74.9940256447595, 40.1050369108829)"
2841 NESTLING RD,0.03,0.04,0.06,0.1,0.15,0.19,0.26,0.35,0.45,0.56,0.3,0.33,0.37,0.4,0.44,Normandy Village,-74.9943125231265,40.1035716505755,"c(-74.9943125231265, 40.1035716505755)"
2945 NORMANDY DR,0.03,0.04,0.06,0.09,0.14,0.18,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Normandy Village,-74.995520652834,40.1059901115467,"c(-74.995520652834, 40.1059901115467)"
2812 NORCOM RD,0.02,0.03,0.05,0.08,0.13,0.13,0.18,0.25,0.34,0.44,0.2,0.22,0.25,0.28,0.31,Normandy Village,-74.9940700079415,40.1004699592235,"c(-74.9940700079415, 40.1004699592235)"
2854 NORMANDY DR,0.02,0.03,0.05,0.07,0.11,0.18,0.25,0.34,0.44,0.54,0.3,0.33,0.37,0.41,0.44,Normandy Village,-74.9966211377022,40.1010712963992,"c(-74.9966211377022, 40.1010712963992)"
2850 NORMANDY DR,0.03,0.04,0.07,0.1,0.16,0.15,0.22,0.29,0.39,0.49,0.23,0.25,0.28,0.32,0.35,Normandy Village,-74.9968767598207,40.1013057203415,"c(-74.9968767598207, 40.1013057203415)"
2827 NESTLING RD,0.03,0.04,0.06,0.09,0.14,0.17,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Normandy Village,-74.9957009384992,40.1034396083544,"c(-74.9957009384992, 40.1034396083544)"
2832 NIGHTINGALE RD,0.03,0.04,0.06,0.09,0.14,0.17,0.24,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,Normandy Village,-74.99373926776,40.1029518222697,"c(-74.99373926776, 40.1029518222697)"
2841 COMLY RD,0.03,0.04,0.07,0.1,0.16,0.15,0.21,0.29,0.38,0.49,0.23,0.25,0.28,0.31,0.35,Normandy Village,-74.9978764917675,40.1017985986812,"c(-74.9978764917675, 40.1017985986812)"
2843 COMLY RD,0.02,0.03,0.05,0.07,0.11,0.17,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Normandy Village,-74.9977550413979,40.1016926232974,"c(-74.9977550413979, 40.1016926232974)"
