address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1721 N 16TH ST,0.06,0.1,0.15,0.21,0.3,0.08,0.12,0.17,0.23,0.32,0.22,0.25,0.28,0.31,0.35,North Central,-75.1606815249412,39.9798874993765,"c(-75.1606815249412, 39.9798874993765)"
1924 PAGE ST,0.04,0.06,0.09,0.13,0.19,0.12,0.17,0.23,0.32,0.41,0.2,0.22,0.25,0.28,0.31,North Central,-75.1655485613413,39.9846526658206,"c(-75.1655485613413, 39.9846526658206)"
2324 NICHOLAS ST,0.07,0.1,0.15,0.22,0.3,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,North Central,-75.1734088387745,39.9800305397899,"c(-75.1734088387745, 39.9800305397899)"
1916 FONTAIN ST,0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.19,0.27,0.35,0.22,0.25,0.28,0.31,0.35,North Central,-75.1652683502071,39.985056454303,"c(-75.1652683502071, 39.985056454303)"
1512 N 17TH ST,0.07,0.11,0.16,0.23,0.32,0.15,0.21,0.29,0.38,0.48,0.23,0.25,0.28,0.32,0.35,North Central,-75.1634761194886,39.9769580580519,"c(-75.1634761194886, 39.9769580580519)"
1829 N BOUVIER ST,0.06,0.09,0.13,0.2,0.28,0.11,0.15,0.22,0.3,0.39,0.5,0.53,0.57,0.61,0.64,North Central,-75.1627461648546,39.9818530726169,"c(-75.1627461648546, 39.9818530726169)"
1629 N BOUVIER ST,0.03,0.05,0.08,0.12,0.18,0.17,0.24,0.32,0.42,0.52,0.33,0.36,0.4,0.43,0.47,North Central,-75.1633995017206,39.9788687560898,"c(-75.1633995017206, 39.9788687560898)"
1829 N BUCKNELL ST,0.05,0.07,0.11,0.16,0.23,0.09,0.12,0.18,0.25,0.33,0.22,0.25,0.28,0.31,0.35,North Central,-75.1729304442107,39.9828662445478,"c(-75.1729304442107, 39.9828662445478)"
1945 N RINGGOLD ST,0.03,0.05,0.07,0.11,0.16,0.11,0.15,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,North Central,-75.1736180721625,39.9850487571337,"c(-75.1736180721625, 39.9850487571337)"
1707 MASTER ST,0,0.01,0.01,0.02,0.03,0.18,0.25,0.34,0.44,0.54,0.39,0.43,0.47,0.51,0.54,North Central,-75.1639317109432,39.9753512720818,"c(-75.1639317109432, 39.9753512720818)"
1905 W BERKS ST,0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.23,0.31,0.4,0.2,0.22,0.25,0.28,0.31,North Central,-75.1653722546256,39.9829143856768,"c(-75.1653722546256, 39.9829143856768)"
1806 N 21ST ST,0.06,0.08,0.13,0.19,0.27,0.06,0.09,0.13,0.18,0.25,0.34,0.37,0.41,0.44,0.48,North Central,-75.1691442270434,39.9819642720939,"c(-75.1691442270434, 39.9819642720939)"
2004 N 20TH ST,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.23,0.31,0.41,0.2,0.22,0.25,0.28,0.31,North Central,-75.1666060519141,39.9846463956395,"c(-75.1666060519141, 39.9846463956395)"
1721 W THOMPSON ST,0.04,0.06,0.1,0.15,0.21,0.21,0.28,0.38,0.48,0.58,0.36,0.4,0.44,0.47,0.51,North Central,-75.1644694123987,39.9740365897858,"c(-75.1644694123987, 39.9740365897858)"
1911 N GRATZ ST,0.06,0.09,0.13,0.19,0.27,0.1,0.14,0.2,0.28,0.37,0.36,0.4,0.43,0.47,0.51,North Central,-75.1641261321408,39.9829274078706,"c(-75.1641261321408, 39.9829274078706)"
2024 N 18TH ST,0.05,0.08,0.12,0.18,0.26,0.05,0.07,0.11,0.16,0.22,0.33,0.37,0.41,0.44,0.48,North Central,-75.1633484883324,39.9846457795147,"c(-75.1633484883324, 39.9846457795147)"
