"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","712 N AMERICAN ST",0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Northern Liberties","-75.1422382006801","39.9625792035012",c(-75.1422382006801, 39.9625792035012)
"2","1130 N FRONT ST",0.03,0.05,0.08,0.11,0.17,0.18,0.25,0.34,0.44,0.55,0.18,0.25,0.34,0.44,0.55,"Northern Liberties","-75.1366450067349","39.9683667819977",c(-75.1366450067349, 39.9683667819977)
"3","1147-53 N 4TH ST",0.03,0.05,0.07,0.11,0.17,0.12,0.17,0.24,0.33,0.43,0.12,0.17,0.24,0.33,0.43,"Northern Liberties","-75.1428214802531","39.9693932234902",c(-75.1428214802531, 39.9693932234902)
"4","601 N 4TH ST",0.02,0.03,0.05,0.08,0.11,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"Northern Liberties","-75.1446114729228","39.9618338189127",c(-75.1446114729228, 39.9618338189127)
"5","1015 N 4TH ST",0.02,0.03,0.05,0.07,0.11,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"Northern Liberties","-75.1434806733","39.9671941074661",c(-75.1434806733, 39.9671941074661)
"6","501 BROWN ST",0.01,0.02,0.04,0.06,0.09,0.32,0.42,0.52,0.62,0.72,0.32,0.42,0.52,0.62,0.72,"Northern Liberties","-75.1466307200662","39.9644925479832",c(-75.1466307200662, 39.9644925479832)
"7","211 BROWN ST",0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Northern Liberties","-75.1415228709449","39.9635490198307",c(-75.1415228709449, 39.9635490198307)
"8","617 N 4TH ST",0.02,0.03,0.05,0.08,0.12,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Northern Liberties","-75.1445677761401","39.9621583892241",c(-75.1445677761401, 39.9621583892241)
"9","613-15 N 4TH ST",0.02,0.03,0.05,0.08,0.12,0.22,0.29,0.39,0.49,0.59,0.22,0.29,0.39,0.49,0.59,"Northern Liberties","-75.144580975337","39.9621032626063",c(-75.144580975337, 39.9621032626063)
"10","609 N 4TH ST",0.02,0.03,0.04,0.07,0.1,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Northern Liberties","-75.1446065767015","39.9620113784206",c(-75.1446065767015, 39.9620113784206)
"11","605 N 4TH ST",0.02,0.03,0.04,0.07,0.1,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Northern Liberties","-75.1446374272519","39.9619247744853",c(-75.1446374272519, 39.9619247744853)
"12","603 N 4TH ST",0.02,0.03,0.04,0.07,0.1,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Northern Liberties","-75.1446509158816","39.961885333115",c(-75.1446509158816, 39.961885333115)
"13","934-50 N 3RD ST",0.03,0.05,0.07,0.11,0.17,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Northern Liberties","-75.1425676157682","39.966171456677",c(-75.1425676157682, 39.966171456677)
"14","1018 N LEITHGOW ST",0.02,0.04,0.06,0.09,0.13,0.23,0.32,0.41,0.52,0.62,0.23,0.32,0.41,0.52,0.62,"Northern Liberties","-75.1440527436941","39.9685058607588",c(-75.1440527436941, 39.9685058607588)
"15","835 N 5TH ST",0.01,0.02,0.04,0.06,0.09,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Northern Liberties","-75.1459799387422","39.9651188329641",c(-75.1459799387422, 39.9651188329641)
"16","914 N AMERICAN ST",0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.33,0.43,0.53,0.18,0.25,0.33,0.43,0.53,"Northern Liberties","-75.1416531904341","39.9649453078505",c(-75.1416531904341, 39.9649453078505)
"17","926 N 5TH ST",0.02,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Northern Liberties","-75.1459629844769","39.9674355362608",c(-75.1459629844769, 39.9674355362608)
