address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
4711 NORTHWOOD ST,0.03,0.05,0.08,0.12,0.17,0.1,0.15,0.21,0.29,0.38,0.3,0.33,0.37,0.4,0.44,Northwood,-75.0925840309933,40.0221108427309,"c(-75.0925840309933, 40.0221108427309)"
4697 CASTOR AVE,0.05,0.08,0.12,0.18,0.25,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Northwood,-75.0937752262771,40.0220167958227,"c(-75.0937752262771, 40.0220167958227)"
4622 HORROCKS ST,0.06,0.09,0.13,0.19,0.27,0.08,0.11,0.16,0.23,0.31,0.23,0.25,0.28,0.31,0.35,Northwood,-75.0911424272994,40.0184678133917,"c(-75.0911424272994, 40.0184678133917)"
4620 NAPLES ST,0.06,0.09,0.13,0.19,0.27,0.08,0.12,0.17,0.23,0.32,0.23,0.25,0.28,0.31,0.35,Northwood,-75.0917545127192,40.0187878490255,"c(-75.0917545127192, 40.0187878490255)"
1203 HARRISON ST,0.04,0.06,0.09,0.14,0.2,0.09,0.14,0.19,0.27,0.36,0.3,0.33,0.37,0.4,0.44,Northwood,-75.0873699154897,40.0223843053895,"c(-75.0873699154897, 40.0223843053895)"
1234 ALLENGROVE ST,0.04,0.06,0.1,0.14,0.21,0.09,0.14,0.19,0.27,0.35,0.3,0.33,0.37,0.4,0.44,Northwood,-75.0859941808955,40.0219998304361,"c(-75.0859941808955, 40.0219998304361)"
4656 OAKLAND ST,0.04,0.06,0.1,0.14,0.21,0.1,0.14,0.2,0.27,0.36,0.3,0.33,0.37,0.4,0.44,Northwood,-75.0892640112095,40.0187673761124,"c(-75.0892640112095, 40.0187673761124)"
4729 E ROOSEVELT BLVD,0.03,0.04,0.06,0.09,0.14,0.16,0.22,0.3,0.39,0.5,0.2,0.22,0.25,0.28,0.31,Northwood,-75.0954009058258,40.02574274542,"c(-75.0954009058258, 40.02574274542)"
5113 PENNWAY ST,0.04,0.06,0.09,0.13,0.19,0.12,0.17,0.23,0.32,0.41,0.22,0.25,0.28,0.31,0.35,Northwood,-75.1068156714556,40.0260837815566,"c(-75.1068156714556, 40.0260837815566)"
4981 PENNWAY ST,0.04,0.06,0.1,0.15,0.21,0.12,0.17,0.24,0.32,0.42,0.34,0.37,0.41,0.44,0.48,Northwood,-75.1086586439664,40.0242194469921,"c(-75.1086586439664, 40.0242194469921)"
