"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1923 W OLNEY AVE",0.05,0.08,0.12,0.18,0.26,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Ogontz","-75.1542065664512","40.0397144602136",c(-75.1542065664512, 40.0397144602136)
"2","6058 OGONTZ AVE",0.03,0.05,0.08,0.12,0.18,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Ogontz","-75.1512829099365","40.048029387084",c(-75.1512829099365, 40.048029387084)
"3","6060 OGONTZ AVE",0.04,0.05,0.08,0.13,0.18,0.18,0.25,0.34,0.44,0.55,0.18,0.25,0.34,0.44,0.55,"Ogontz","-75.1512709167558","40.0480739756034",c(-75.1512709167558, 40.0480739756034)
"4","5615 N 20TH ST",0.05,0.08,0.13,0.19,0.26,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Ogontz","-75.1540792724646","40.0398684323406",c(-75.1540792724646, 40.0398684323406)
"5","2104 CHELTEN AVE",0.06,0.09,0.13,0.2,0.28,0.16,0.22,0.31,0.4,0.5,0.16,0.22,0.31,0.4,0.5,"Ogontz","-75.1556746656849","40.0516499994596",c(-75.1556746656849, 40.0516499994596)
"6","2029 CHELTEN AVE",0.06,0.09,0.13,0.19,0.27,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Ogontz","-75.1526024398269","40.0519160762573",c(-75.1526024398269, 40.0519160762573)
"7","6330 N OPAL ST",0.04,0.06,0.09,0.13,0.2,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Ogontz","-75.1521505885326","40.0509800362065",c(-75.1521505885326, 40.0509800362065)
"8","1930 SPARKS ST",0.05,0.08,0.11,0.17,0.24,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Ogontz","-75.1520849222686","40.0476922942638",c(-75.1520849222686, 40.0476922942638)
"9","1614 W CHAMPLOST AVE",0.03,0.05,0.07,0.11,0.17,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Ogontz","-75.1474093641368","40.0446537933474",c(-75.1474093641368, 40.0446537933474)
"10","5734 N LAMBERT ST",0.03,0.05,0.08,0.12,0.17,0.1,0.14,0.21,0.28,0.37,0.1,0.14,0.21,0.28,0.37,"Ogontz","-75.1555082744281","40.0421244805327",c(-75.1555082744281, 40.0421244805327)
"11","5711 N BEECHWOOD ST",0.08,0.12,0.18,0.25,0.35,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Ogontz","-75.1567441992803","40.0416435006735",c(-75.1567441992803, 40.0416435006735)
"12","5762 N 20TH ST",0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.24,0.32,0.08,0.12,0.17,0.24,0.32,"Ogontz","-75.1542179119954","40.04243005898",c(-75.1542179119954, 40.04243005898)
"13","6055 OGONTZ AVE",0.05,0.08,0.11,0.17,0.24,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Ogontz","-75.1507070989875","40.0475977237849",c(-75.1507070989875, 40.0475977237849)
"14","5814 N LAMBERT ST",0.05,0.08,0.13,0.19,0.26,0.09,0.12,0.18,0.25,0.33,0.09,0.12,0.18,0.25,0.33,"Ogontz","-75.1554358488414","40.0432018219417",c(-75.1554358488414, 40.0432018219417)
"15","6325 LIMEKILN PIKE",0.06,0.08,0.13,0.19,0.27,0.09,0.13,0.18,0.26,0.34,0.09,0.13,0.18,0.26,0.34,"Ogontz","-75.1527067631016","40.0510071560065",c(-75.1527067631016, 40.0510071560065)
"16","6037 N NORWOOD ST",0.04,0.05,0.08,0.13,0.18,0.11,0.15,0.21,0.29,0.39,0.11,0.15,0.21,0.29,0.39,"Ogontz","-75.1563164585718","40.0461901434796",c(-75.1563164585718, 40.0461901434796)
"17","5740 VIRGINIAN RD",0.09,0.13,0.2,0.28,0.38,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Ogontz","-75.1486773913334","40.0415208286338",c(-75.1486773913334, 40.0415208286338)
"18","1856 CONLYN ST",0.03,0.05,0.08,0.12,0.18,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Ogontz","-75.1512717150134","40.0427248846508",c(-75.1512717150134, 40.0427248846508)
"19","1947 SPARKS ST",0.05,0.07,0.11,0.16,0.24,0.09,0.12,0.18,0.25,0.33,0.09,0.12,0.18,0.25,0.33,"Ogontz","-75.1524524708294","40.0481650122152",c(-75.1524524708294, 40.0481650122152)
"20","1507 CONLYN ST",0.03,0.05,0.07,0.11,0.17,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Ogontz","-75.1462395420197","40.0427208421677",c(-75.1462395420197, 40.0427208421677)
"21","1615 SPARKS ST",0.05,0.08,0.11,0.17,0.24,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Ogontz","-75.1469416197966","40.0475315440295",c(-75.1469416197966, 40.0475315440295)
"22","5616 N 19TH ST",0.04,0.06,0.09,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Ogontz","-75.1530091493822","40.0397816973597",c(-75.1530091493822, 40.0397816973597)
