address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
309-13 ARCH ST,0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.32,0.42,0.53,0.34,0.37,0.41,0.44,0.48,Old City,-75.1457073213588,39.9525457649082,"c(-75.1457073213588, 39.9525457649082)"
48 N 3RD ST,0.03,0.05,0.07,0.11,0.17,0.3,0.39,0.49,0.6,0.69,0.36,0.4,0.43,0.47,0.51,Old City,-75.1456614067992,39.9515113001505,"c(-75.1456614067992, 39.9515113001505)"
45 STRAWBERRY ST,0.03,0.05,0.07,0.11,0.16,0.24,0.33,0.42,0.53,0.63,0.36,0.4,0.44,0.48,0.51,Old City,-75.1445037366925,39.9487162219318,"c(-75.1445037366925, 39.9487162219318)"
305 N 3RD ST,0.03,0.04,0.06,0.1,0.14,0.15,0.21,0.29,0.38,0.48,0.34,0.37,0.41,0.44,0.48,Old City,-75.1441618199524,39.9560266185096,"c(-75.1441618199524, 39.9560266185096)"
117 CHURCH ST,0.02,0.03,0.05,0.08,0.12,0.36,0.46,0.56,0.66,0.75,0.32,0.36,0.4,0.43,0.47,Old City,-75.1429683655719,39.9505411656471,"c(-75.1429683655719, 39.9505411656471)"
101-11 ARCH ST,0.03,0.05,0.07,0.11,0.16,0.15,0.21,0.29,0.39,0.49,0.34,0.37,0.41,0.44,0.48,Old City,-75.1419231834393,39.9520175146691,"c(-75.1419231834393, 39.9520175146691)"
315 NEW ST,0.06,0.09,0.14,0.2,0.28,0.27,0.36,0.46,0.57,0.67,0.39,0.43,0.47,0.5,0.54,Old City,-75.1453271748304,39.9556795962316,"c(-75.1453271748304, 39.9556795962316)"
126 CUTHBERT ST,0.03,0.04,0.07,0.1,0.15,0.16,0.22,0.3,0.4,0.5,0.34,0.37,0.41,0.44,0.48,Old City,-75.1429381055712,39.9511028196353,"c(-75.1429381055712, 39.9511028196353)"
50-56 N FRONT ST,0.03,0.04,0.07,0.1,0.15,0.17,0.24,0.33,0.42,0.53,0.23,0.25,0.28,0.32,0.35,Old City,-75.141954120358,39.951318403487,"c(-75.141954120358, 39.951318403487)"
301 RACE ST,0.03,0.04,0.07,0.1,0.15,0.17,0.24,0.32,0.42,0.52,0.34,0.37,0.41,0.44,0.48,Old City,-75.1451322220312,39.9543538599503,"c(-75.1451322220312, 39.9543538599503)"
815-37 ARCH ST,0.02,0.03,0.04,0.07,0.1,0.23,0.31,0.4,0.51,0.61,0.23,0.25,0.28,0.32,0.35,Old City,-75.1541268845963,39.9537822413898,"c(-75.1541268845963, 39.9537822413898)"
303 VINE ST,0.01,0.01,0.02,0.04,0.05,0.22,0.3,0.39,0.49,0.6,0.44,0.47,0.51,0.55,0.59,Old City,-75.1449687902048,39.9561993187301,"c(-75.1449687902048, 39.9561993187301)"
112 N 2ND ST,0.03,0.05,0.08,0.12,0.18,0.17,0.23,0.31,0.41,0.51,0.34,0.37,0.41,0.45,0.48,Old City,-75.1426973888815,39.9523856082506,"c(-75.1426973888815, 39.9523856082506)"
317 VINE ST,0.03,0.05,0.07,0.11,0.16,0.12,0.17,0.24,0.32,0.42,0.34,0.37,0.41,0.44,0.48,Old City,-75.1456177141129,39.9562798945563,"c(-75.1456177141129, 39.9562798945563)"
115 CHURCH ST,0.02,0.03,0.05,0.08,0.11,0.36,0.46,0.56,0.66,0.75,0.46,0.49,0.53,0.57,0.61,Old City,-75.1428998423432,39.9505328100875,"c(-75.1428998423432, 39.9505328100875)"
125-27 N 4TH ST,0.03,0.04,0.07,0.1,0.15,0.13,0.19,0.26,0.35,0.45,0.34,0.37,0.41,0.44,0.48,Old City,-75.146263599331,39.9530704870855,"c(-75.146263599331, 39.9530704870855)"
205-11 N 4TH ST,0.03,0.04,0.07,0.1,0.15,0.17,0.24,0.32,0.42,0.52,0.34,0.37,0.41,0.44,0.48,Old City,-75.1461245962758,39.9544248516349,"c(-75.1461245962758, 39.9544248516349)"
102-22 CHURCH ST,0.03,0.04,0.06,0.1,0.14,0.18,0.25,0.33,0.43,0.54,0.23,0.25,0.28,0.32,0.35,Old City,-75.1428552357011,39.9502848476047,"c(-75.1428552357011, 39.9502848476047)"
104 N 2ND ST,0.08,0.11,0.17,0.24,0.34,0.29,0.38,0.49,0.59,0.69,0.47,0.51,0.55,0.58,0.62,Old City,-75.1436118415553,39.9522184248377,"c(-75.1436118415553, 39.9522184248377)"
121-35 WALNUT ST,0.03,0.05,0.08,0.11,0.17,0.17,0.24,0.32,0.42,0.52,0.34,0.37,0.41,0.45,0.49,Old City,-75.1439983222091,39.9470120775143,"c(-75.1439983222091, 39.9470120775143)"
103-07 CHURCH ST,0.03,0.04,0.06,0.1,0.14,0.18,0.24,0.33,0.43,0.53,0.23,0.25,0.28,0.32,0.35,Old City,-75.1425150432939,39.9506018654128,"c(-75.1425150432939, 39.9506018654128)"
141-45 N 2ND ST,0.03,0.05,0.07,0.11,0.16,0.18,0.25,0.33,0.43,0.53,0.23,0.25,0.28,0.31,0.35,Old City,-75.1426846930886,39.9530608460842,"c(-75.1426846930886, 39.9530608460842)"
201-59 N 8TH ST,0.02,0.03,0.05,0.07,0.11,0.23,0.31,0.41,0.51,0.62,0.34,0.37,0.41,0.44,0.48,Old City,-75.1520201169411,39.9558063808488,"c(-75.1520201169411, 39.9558063808488)"
12-16 LETITIA ST,0.03,0.04,0.06,0.09,0.14,0.19,0.26,0.35,0.45,0.56,0.34,0.37,0.41,0.44,0.48,Old City,-75.1432934482473,39.9492172087911,"c(-75.1432934482473, 39.9492172087911)"
210 CHURCH ST,0.03,0.05,0.08,0.12,0.17,0.17,0.24,0.32,0.42,0.53,0.34,0.37,0.41,0.45,0.48,Old City,-75.144405468499,39.9503405411545,"c(-75.144405468499, 39.9503405411545)"
