address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1418 N PHILIP ST,0.03,0.04,0.07,0.1,0.15,0.15,0.22,0.29,0.39,0.49,0.23,0.25,0.28,0.32,0.35,Old Kensington,-75.1395521528327,39.9731027255604,"c(-75.1395521528327, 39.9731027255604)"
523 W THOMPSON ST,0.02,0.03,0.05,0.08,0.12,0.24,0.32,0.42,0.52,0.63,0.46,0.49,0.53,0.57,0.61,Old Kensington,-75.1456869744317,39.9716305667427,"c(-75.1456869744317, 39.9716305667427)"
1614 HOPE ST,0.05,0.07,0.11,0.16,0.23,0.14,0.19,0.27,0.36,0.46,0.5,0.53,0.57,0.61,0.64,Old Kensington,-75.1350305179305,39.974802003764,"c(-75.1350305179305, 39.974802003764)"
1240 N 4TH ST,0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.41,0.51,0.62,0.46,0.49,0.53,0.57,0.61,Old Kensington,-75.1430786470116,39.971009401163,"c(-75.1430786470116, 39.971009401163)"
1500-10 PALETHORP ST,0.02,0.04,0.06,0.09,0.14,0.19,0.27,0.36,0.46,0.56,0.5,0.53,0.57,0.61,0.64,Old Kensington,-75.1382050846966,39.9738084073717,"c(-75.1382050846966, 39.9738084073717)"
1326 N 4TH ST,0.02,0.03,0.05,0.07,0.11,0.22,0.3,0.39,0.49,0.6,0.46,0.49,0.53,0.57,0.61,Old Kensington,-75.1429166519015,39.9718916335453,"c(-75.1429166519015, 39.9718916335453)"
1223 N 6TH ST,0.02,0.03,0.05,0.08,0.12,0.15,0.22,0.29,0.39,0.49,0.3,0.33,0.37,0.41,0.44,Old Kensington,-75.1461771817278,39.9710178325925,"c(-75.1461771817278, 39.9710178325925)"
335 MASTER ST,0.02,0.03,0.05,0.07,0.11,0.24,0.32,0.42,0.52,0.62,0.46,0.49,0.53,0.57,0.61,Old Kensington,-75.1418606009574,39.9725556655769,"c(-75.1418606009574, 39.9725556655769)"
1409 N 4TH ST,0.02,0.03,0.05,0.07,0.11,0.16,0.22,0.3,0.39,0.5,0.3,0.33,0.37,0.41,0.44,Old Kensington,-75.1423186071634,39.9726811389386,"c(-75.1423186071634, 39.9726811389386)"
1618 GERMANTOWN AVE,0.05,0.08,0.12,0.18,0.25,0.14,0.2,0.28,0.37,0.47,0.5,0.54,0.57,0.61,0.65,Old Kensington,-75.1425259554538,39.9757129068472,"c(-75.1425259554538, 39.9757129068472)"
1311 N 5TH ST,0.02,0.03,0.05,0.07,0.11,0.23,0.31,0.41,0.51,0.61,0.46,0.49,0.53,0.57,0.61,Old Kensington,-75.1444197424117,39.9717177229621,"c(-75.1444197424117, 39.9717177229621)"
136 W OXFORD ST,0.03,0.05,0.08,0.12,0.18,0.19,0.27,0.36,0.46,0.56,0.36,0.4,0.43,0.47,0.51,Old Kensington,-75.1362194647581,39.9743215661239,"c(-75.1362194647581, 39.9743215661239)"
1318 PALETHORP ST,0.02,0.03,0.05,0.08,0.12,0.29,0.39,0.49,0.59,0.69,0.32,0.36,0.4,0.43,0.47,Old Kensington,-75.1387067200913,39.9713901323442,"c(-75.1387067200913, 39.9713901323442)"
1339 N HOWARD ST,0.02,0.04,0.06,0.09,0.13,0.23,0.31,0.41,0.51,0.62,0.46,0.49,0.53,0.57,0.61,Old Kensington,-75.1363440438881,39.9714819682935,"c(-75.1363440438881, 39.9714819682935)"
