"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","212 WIDENER ST",0.05,0.08,0.11,0.17,0.24,0.12,0.17,0.23,0.31,0.41,0.12,0.17,0.23,0.31,0.41,"Olney","-75.1246466136059","40.0407930553815",c(-75.1246466136059, 40.0407930553815)
"2","5636 N 2ND ST",0.05,0.07,0.11,0.16,0.23,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Olney","-75.1253730763843","40.0371258414608",c(-75.1253730763843, 40.0371258414608)
"3","5142 N 4TH ST",0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Olney","-75.1303799752208","40.0295930900516",c(-75.1303799752208, 40.0295930900516)
"4","6047 N AMERICAN ST",0.05,0.08,0.11,0.17,0.24,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Olney","-75.12513318851","40.0431236204226",c(-75.12513318851, 40.0431236204226)
"5","153 E DUNCANNON AVE",0.03,0.04,0.07,0.1,0.16,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Olney","-75.1211275792241","40.0290507726836",c(-75.1211275792241, 40.0290507726836)
"6","6128 N FRANKLIN ST",0.03,0.05,0.07,0.11,0.16,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Olney","-75.133283626311","40.045391963232",c(-75.133283626311, 40.045391963232)
"7","822 W FISHER AVE",0.04,0.07,0.11,0.16,0.23,0.1,0.15,0.21,0.28,0.38,0.1,0.15,0.21,0.28,0.38,"Olney","-75.1371826199028","40.0323987448415",c(-75.1371826199028, 40.0323987448415)
"8","5409 N LAWRENCE ST",0.03,0.04,0.07,0.1,0.15,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Olney","-75.1298944268421","40.0335435892508",c(-75.1298944268421, 40.0335435892508)
"9","5166 ARBOR ST",0.04,0.06,0.1,0.15,0.21,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Olney","-75.1170729653079","40.0286406613044",c(-75.1170729653079, 40.0286406613044)
"10","196 W CHEW AVE",0.04,0.07,0.1,0.16,0.23,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Olney","-75.1249074534827","40.0370921026869",c(-75.1249074534827, 40.0370921026869)
"11","5656-58 N 5TH ST",0.04,0.07,0.1,0.15,0.22,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Olney","-75.1304494065105","40.0378674677583",c(-75.1304494065105, 40.0378674677583)
"12","102 ROSEMAR ST",0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Olney","-75.1204195037411","40.043375922207",c(-75.1204195037411, 40.043375922207)
"13","5933 N LEITHGOW ST",0.03,0.05,0.07,0.11,0.17,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Olney","-75.1278913920061","40.0416592373676",c(-75.1278913920061, 40.0416592373676)
"14","636 ELKINS AVE",0.04,0.06,0.1,0.14,0.21,0.12,0.17,0.23,0.31,0.41,0.12,0.17,0.23,0.31,0.41,"Olney","-75.133783228401","40.0374080715666",c(-75.133783228401, 40.0374080715666)
"15","638 ELKINS AVE",0.04,0.06,0.1,0.14,0.21,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Olney","-75.1338630298182","40.0374190048887",c(-75.1338630298182, 40.0374190048887)
"16","555 MARWOOD RD",0.04,0.06,0.1,0.15,0.21,0.1,0.14,0.2,0.27,0.36,0.1,0.14,0.2,0.27,0.36,"Olney","-75.1138822003575","40.0321363020274",c(-75.1138822003575, 40.0321363020274)
"17","5409-11 N FRONT ST",0.04,0.06,0.09,0.13,0.2,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Olney","-75.1216785816204","40.0325970663268",c(-75.1216785816204, 40.0325970663268)
"18","258 W FISHER AVE",0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Olney","-75.1280945385832","40.0312581873147",c(-75.1280945385832, 40.0312581873147)
"19","158 W OLNEY AVE",0.03,0.04,0.06,0.1,0.15,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Olney","-75.1237337767297","40.0353468735846",c(-75.1237337767297, 40.0353468735846)
"20","5137 N 8TH ST",0.03,0.05,0.07,0.11,0.16,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Olney","-75.1366902364319","40.0302176684939",c(-75.1366902364319, 40.0302176684939)
"21","331 E SHELDON ST",0.02,0.04,0.06,0.09,0.14,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Olney","-75.1180902949579","40.0281743484895",c(-75.1180902949579, 40.0281743484895)
"22","5834 N 3RD ST",0.02,0.04,0.06,0.09,0.13,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Olney","-75.1270951652172","40.0399621318589",c(-75.1270951652172, 40.0399621318589)
"23","5606 ARBOR ST",0.03,0.04,0.06,0.09,0.14,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Olney","-75.1156176792146","40.0348384312899",c(-75.1156176792146, 40.0348384312899)
"24","5709 N 7TH ST",0.03,0.04,0.07,0.1,0.15,0.14,0.2,0.28,0.37,0.48,0.14,0.2,0.28,0.37,0.48,"Olney","-75.1334605933526","40.0387165676007",c(-75.1334605933526, 40.0387165676007)
"25","210 W RUSCOMB ST",0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.22,0.31,0.4,0.11,0.16,0.22,0.31,0.4,"Olney","-75.1282530641826","40.0265422679907",c(-75.1282530641826, 40.0265422679907)
"26","4936 N FRONT ST",0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Olney","-75.1234936647126","40.026646738766",c(-75.1234936647126, 40.026646738766)
"27","5902 N FRANKLIN ST",0.04,0.07,0.1,0.15,0.22,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Olney","-75.1343710863231","40.0420786635407",c(-75.1343710863231, 40.0420786635407)
"28","5241 D ST",0.03,0.05,0.07,0.11,0.16,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Olney","-75.1151168151385","40.030125193229",c(-75.1151168151385, 40.030125193229)
