address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
5901 W OXFORD ST,0.06,0.09,0.13,0.19,0.27,0.16,0.23,0.31,0.41,0.51,0.22,0.25,0.28,0.31,0.35,Overbrook,-75.2395871289422,39.9805867263724,"c(-75.2395871289422, 39.9805867263724)"
229 N AVONDALE ST,0.11,0.16,0.23,0.32,0.43,0.11,0.16,0.23,0.31,0.4,0.22,0.25,0.28,0.31,0.35,Overbrook,-75.2484652328613,39.966741060768,"c(-75.2484652328613, 39.966741060768)"
5801 WOODBINE AVE,0.02,0.04,0.05,0.08,0.13,0.15,0.21,0.29,0.38,0.49,0.2,0.22,0.25,0.28,0.31,Overbrook,-75.2403059572369,39.9894044745223,"c(-75.2403059572369, 39.9894044745223)"
1813 ASHURST RD,0.02,0.04,0.05,0.08,0.13,0.16,0.22,0.3,0.4,0.5,0.3,0.33,0.37,0.4,0.44,Overbrook,-75.2731186904991,39.975398120793,"c(-75.2731186904991, 39.975398120793)"
1631 N ROBINSON ST,0.04,0.06,0.09,0.13,0.19,0.12,0.18,0.24,0.33,0.43,0.3,0.33,0.37,0.4,0.44,Overbrook,-75.2425746446024,39.976418609355,"c(-75.2425746446024, 39.976418609355)"
7638 WOODCREST AVE,0.02,0.04,0.06,0.09,0.13,0.15,0.22,0.3,0.39,0.49,0.2,0.22,0.25,0.28,0.31,Overbrook,-75.267961191306,39.9732444273198,"c(-75.267961191306, 39.9732444273198)"
1715 N FELTON ST,0.05,0.08,0.12,0.18,0.26,0.1,0.14,0.2,0.28,0.37,0.34,0.37,0.41,0.44,0.48,Overbrook,-75.2445703385126,39.9773136150824,"c(-75.2445703385126, 39.9773136150824)"
5203 CHURCH RD,0.02,0.03,0.05,0.08,0.12,0.18,0.24,0.33,0.43,0.53,0.3,0.33,0.37,0.4,0.44,Overbrook,-75.2330157232244,39.9973048168934,"c(-75.2330157232244, 39.9973048168934)"
7603 OVERBROOK AVE,0.02,0.04,0.06,0.09,0.14,0.15,0.22,0.29,0.39,0.49,0.2,0.22,0.25,0.28,0.31,Overbrook,-75.2706540804137,39.9780842381573,"c(-75.2706540804137, 39.9780842381573)"
915 EDGEMORE RD,0.04,0.06,0.09,0.13,0.19,0.12,0.18,0.25,0.33,0.43,0.23,0.25,0.28,0.31,0.35,Overbrook,-75.2529207809398,39.9768714492225,"c(-75.2529207809398, 39.9768714492225)"
6135 LANSDOWNE AVE,0.06,0.08,0.13,0.19,0.27,0.1,0.14,0.2,0.27,0.36,0.22,0.25,0.28,0.31,0.35,Overbrook,-75.2431367065641,39.9758071796447,"c(-75.2431367065641, 39.9758071796447)"
1011 N 64TH ST,0.04,0.06,0.09,0.13,0.19,0.12,0.18,0.25,0.33,0.43,0.2,0.22,0.25,0.28,0.31,Overbrook,-75.2482292855309,39.9786257028271,"c(-75.2482292855309, 39.9786257028271)"
