"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1312 UNRUH AVE",0.05,0.07,0.11,0.16,0.23,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Oxford Circle","-75.0770816015913","40.0447373901081",c(-75.0770816015913, 40.0447373901081)
"2","7252 RUTLAND ST",0.03,0.04,0.07,0.1,0.15,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Oxford Circle","-75.0663439566241","40.0500972768453",c(-75.0663439566241, 40.0500972768453)
"3","1406 KNORR ST",0.03,0.05,0.08,0.12,0.17,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Oxford Circle","-75.0741033533677","40.0449236523928",c(-75.0741033533677, 40.0449236523928)
"4","907 PRINCETON AVE",0.03,0.04,0.06,0.09,0.14,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Oxford Circle","-75.0792416666271","40.0540789272405",c(-75.0792416666271, 40.0540789272405)
"5","6513 DORCAS ST",0.02,0.03,0.05,0.08,0.12,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Oxford Circle","-75.0836935582163","40.045546060707",c(-75.0836935582163, 40.045546060707)
"6","7214 EASTWOOD ST",0.03,0.05,0.07,0.11,0.16,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Oxford Circle","-75.0623671480323","40.0468518915923",c(-75.0623671480323, 40.0468518915923)
"7","2106 GLENVIEW ST",0.02,0.04,0.06,0.09,0.13,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Oxford Circle","-75.0647775397334","40.040665010636",c(-75.0647775397334, 40.040665010636)
"8","6015 BELDEN ST",0.04,0.06,0.1,0.14,0.21,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Oxford Circle","-75.0837949604237","40.0359290860553",c(-75.0837949604237, 40.0359290860553)
"9","6125 SHISLER ST",0.03,0.05,0.07,0.11,0.16,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Oxford Circle","-75.0830328626617","40.0377577077495",c(-75.0830328626617, 40.0377577077495)
"10","2121 PRINCETON AVE",0.02,0.03,0.05,0.08,0.12,0.27,0.37,0.47,0.57,0.67,0.27,0.37,0.47,0.57,0.67,"Oxford Circle","-75.0610524968419","40.0439244573813",c(-75.0610524968419, 40.0439244573813)
