"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","12213 SWEET BRIAR RD",0.02,0.04,0.05,0.08,0.13,0.23,0.32,0.41,0.52,0.62,0.23,0.32,0.41,0.52,0.62,"Parkwood Manor","-74.9833900806994","40.0999075432829",c(-74.9833900806994, 40.0999075432829)
"2","11734 BRANDON PL",0.02,0.04,0.05,0.08,0.13,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Parkwood Manor","-74.9864375692378","40.093851476622",c(-74.9864375692378, 40.093851476622)
"3","3543 TETON RD",0.01,0.02,0.03,0.04,0.07,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.963630277534","40.0996356108221",c(-74.963630277534, 40.0996356108221)
"4","3213 FAIRDALE RD",0.03,0.04,0.06,0.09,0.14,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Parkwood Manor","-74.9797754432685","40.0979643209727",c(-74.9797754432685, 40.0979643209727)
"5","11811 BASILE RD",0.03,0.04,0.06,0.09,0.14,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Parkwood Manor","-74.9838444320103","40.0944080173473",c(-74.9838444320103, 40.0944080173473)
"6","12702 VERDA DR",0.02,0.03,0.05,0.08,0.12,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Parkwood Manor","-74.9642904929543","40.0935127719456",c(-74.9642904929543, 40.0935127719456)
"7","12718 HOLLINS RD",0.02,0.03,0.05,0.07,0.11,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Parkwood Manor","-74.9651461905723","40.100295855438",c(-74.9651461905723, 40.100295855438)
"8","12602 RAMER RD",0.01,0.02,0.03,0.05,0.07,0.17,0.24,0.32,0.42,0.53,0.17,0.24,0.32,0.42,0.53,"Parkwood Manor","-74.9711060829191","40.0986340736598",c(-74.9711060829191, 40.0986340736598)
"9","11704 BRANDON RD",0.02,0.03,0.04,0.07,0.1,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Parkwood Manor","-74.9872820561699","40.0929615858023",c(-74.9872820561699, 40.0929615858023)
"10","3628 GENESEE DR",0.03,0.04,0.06,0.1,0.15,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Parkwood Manor","-74.9718106926591","40.0920614836448",c(-74.9718106926591, 40.0920614836448)
