address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2016 S AVONDALE ST,0.05,0.08,0.12,0.18,0.26,0.07,0.1,0.15,0.21,0.28,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2351113919631,39.9273660487597,"c(-75.2351113919631, 39.9273660487597)"
6544 WINDSOR ST,0.04,0.07,0.1,0.15,0.22,0.09,0.14,0.19,0.27,0.36,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2417846493062,39.9281616814394,"c(-75.2417846493062, 39.9281616814394)"
1939 S 65TH ST,0.05,0.07,0.11,0.16,0.24,0.09,0.13,0.19,0.26,0.35,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2371379467775,39.9282253355118,"c(-75.2371379467775, 39.9282253355118)"
2003 S SALFORD ST,0.04,0.07,0.1,0.15,0.22,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2293208048238,39.9329714692173,"c(-75.2293208048238, 39.9329714692173)"
7250 SAYBROOK AVE,0.05,0.07,0.11,0.16,0.23,0.08,0.12,0.18,0.24,0.33,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2443547502988,39.9172866716886,"c(-75.2443547502988, 39.9172866716886)"
6632 GREENWAY AVE,0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.24,0.32,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2373697251592,39.9251407805381,"c(-75.2373697251592, 39.9251407805381)"
6574 WINDSOR ST,0.05,0.07,0.11,0.16,0.23,0.09,0.14,0.19,0.27,0.36,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2419938367447,39.9275290117421,"c(-75.2419938367447, 39.9275290117421)"
6712 PASCHALL AVE,0.04,0.06,0.09,0.13,0.19,0.11,0.15,0.22,0.29,0.39,0.3,0.33,0.37,0.4,0.44,Paschall,-75.2359133992137,39.9223721949149,"c(-75.2359133992137, 39.9223721949149)"
6634 PASCHALL AVE,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.22,0.3,0.4,0.3,0.33,0.37,0.4,0.44,Paschall,-75.2348539845426,39.922868141012,"c(-75.2348539845426, 39.922868141012)"
6716 COBBS CREEK PKWY,0.05,0.08,0.12,0.17,0.25,0.09,0.14,0.19,0.27,0.36,0.34,0.37,0.41,0.44,0.48,Paschall,-75.2431784400268,39.9269753577613,"c(-75.2431784400268, 39.9269753577613)"
2148 GOULD ST,0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.24,0.33,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2355573686089,39.9252286758344,"c(-75.2355573686089, 39.9252286758344)"
2146 GOULD ST,0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.24,0.33,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2355916609576,39.9252569387746,"c(-75.2355916609576, 39.9252569387746)"
2224 S 62ND ST,0.05,0.08,0.12,0.18,0.26,0.07,0.1,0.15,0.21,0.29,0.33,0.37,0.41,0.44,0.48,Paschall,-75.2300855631305,39.9274258203634,"c(-75.2300855631305, 39.9274258203634)"
2246 S 66TH ST,0.03,0.05,0.08,0.12,0.18,0.11,0.15,0.22,0.3,0.39,0.2,0.22,0.25,0.28,0.31,Paschall,-75.2347621375887,39.9236891842688,"c(-75.2347621375887, 39.9236891842688)"
6754 LINMORE AVE,0.05,0.08,0.12,0.18,0.26,0.09,0.14,0.19,0.27,0.36,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2364520969385,39.921450393374,"c(-75.2364520969385, 39.921450393374)"
6326 GREENWAY AVE,0.05,0.08,0.12,0.18,0.26,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2334238735571,39.9278894249234,"c(-75.2334238735571, 39.9278894249234)"
6851 CHESTER AVE,0.05,0.07,0.11,0.17,0.24,0.1,0.14,0.2,0.27,0.36,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2436250974515,39.9254150195796,"c(-75.2436250974515, 39.9254150195796)"
6579 WINDSOR ST,0.03,0.05,0.08,0.11,0.17,0.12,0.17,0.24,0.32,0.42,0.3,0.33,0.37,0.4,0.44,Paschall,-75.2425272016117,39.9275446020516,"c(-75.2425272016117, 39.9275446020516)"
2034 S 66TH ST,0.05,0.07,0.11,0.16,0.24,0.09,0.14,0.19,0.27,0.36,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2372922271725,39.9258756828176,"c(-75.2372922271725, 39.9258756828176)"
2130 S DAGGETT ST,0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.18,0.25,0.33,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2355135093986,39.9257323653417,"c(-75.2355135093986, 39.9257323653417)"
7034 WOODLAND AVE,0.05,0.08,0.12,0.17,0.25,0.1,0.14,0.2,0.27,0.36,0.34,0.37,0.41,0.44,0.48,Paschall,-75.2420730427909,39.919802294683,"c(-75.2420730427909, 39.919802294683)"
7032 WOODLAND AVE,0.05,0.08,0.12,0.17,0.25,0.1,0.14,0.2,0.28,0.37,0.23,0.25,0.28,0.32,0.35,Paschall,-75.2420332891066,39.9198291992009,"c(-75.2420332891066, 39.9198291992009)"
7030 WOODLAND AVE,0.05,0.08,0.12,0.17,0.25,0.1,0.14,0.2,0.27,0.36,0.23,0.25,0.28,0.32,0.35,Paschall,-75.241994111255,39.9198580660517,"c(-75.241994111255, 39.9198580660517)"
6508 WOODLAND AVE,0.06,0.08,0.13,0.19,0.27,0.15,0.21,0.29,0.39,0.49,0.23,0.25,0.28,0.31,0.35,Paschall,-75.2343660812685,39.9252767789099,"c(-75.2343660812685, 39.9252767789099)"
6534 WOODLAND AVE,0.05,0.08,0.12,0.18,0.26,0.15,0.21,0.29,0.39,0.49,0.34,0.37,0.41,0.44,0.48,Paschall,-75.2349185770254,39.9248898651649,"c(-75.2349185770254, 39.9248898651649)"
2228 S 66TH ST,0.06,0.08,0.13,0.19,0.27,0.09,0.12,0.18,0.25,0.33,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2350933567449,39.9239666108401,"c(-75.2350933567449, 39.9239666108401)"
2037 BONNAFFON ST,0.05,0.08,0.11,0.17,0.24,0.09,0.14,0.19,0.27,0.36,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2390811651997,39.9246795642769,"c(-75.2390811651997, 39.9246795642769)"
2101 S DAGGETT ST,0.05,0.08,0.12,0.17,0.25,0.09,0.12,0.18,0.25,0.33,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2358144630053,39.9263053137369,"c(-75.2358144630053, 39.9263053137369)"
6833 REGENT ST,0.03,0.05,0.08,0.12,0.18,0.12,0.17,0.24,0.32,0.42,0.2,0.22,0.25,0.28,0.31,Paschall,-75.2426726573427,39.9250868034044,"c(-75.2426726573427, 39.9250868034044)"
6329 LINMORE AVE,0.04,0.06,0.09,0.13,0.19,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Paschall,-75.2308407499132,39.9255456763439,"c(-75.2308407499132, 39.9255456763439)"
2118 LLOYD ST,0.03,0.04,0.06,0.09,0.14,0.11,0.15,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Paschall,-75.2460144331981,39.9185467268251,"c(-75.2460144331981, 39.9185467268251)"
6724 PASCHALL AVE,0.04,0.06,0.09,0.13,0.2,0.11,0.15,0.22,0.29,0.39,0.2,0.22,0.25,0.28,0.31,Paschall,-75.2361675568653,39.9221925882336,"c(-75.2361675568653, 39.9221925882336)"
2106 S 64TH ST,0.04,0.06,0.09,0.13,0.19,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Paschall,-75.2343555686346,39.9271567060403,"c(-75.2343555686346, 39.9271567060403)"
2105 S 66TH ST,0.05,0.08,0.11,0.17,0.24,0.08,0.12,0.17,0.24,0.33,0.22,0.25,0.28,0.31,0.35,Paschall,-75.2364536597987,39.9257277102477,"c(-75.2364536597987, 39.9257277102477)"
