address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1502 S BEULAH ST,0.03,0.05,0.07,0.11,0.16,0.17,0.23,0.32,0.41,0.52,0.23,0.25,0.28,0.32,0.35,Passyunk Square,-75.1573187466339,39.9300367040221,"c(-75.1573187466339, 39.9300367040221)"
1535 S 10TH ST,0.03,0.04,0.07,0.11,0.16,0.28,0.38,0.48,0.58,0.68,0.34,0.37,0.41,0.44,0.48,Passyunk Square,-75.1612913466819,39.9296963953215,"c(-75.1612913466819, 39.9296963953215)"
1539 S FRANKLIN ST,0.03,0.05,0.07,0.11,0.16,0.23,0.32,0.42,0.52,0.62,0.5,0.53,0.57,0.61,0.64,Passyunk Square,-75.1576363025809,39.9294093137515,"c(-75.1576363025809, 39.9294093137515)"
1015 TASKER ST,0.02,0.03,0.05,0.07,0.11,0.3,0.39,0.49,0.6,0.69,0.46,0.49,0.53,0.57,0.61,Passyunk Square,-75.1621329607647,39.929827228724,"c(-75.1621329607647, 39.929827228724)"
1545 S 13TH ST,0.03,0.04,0.07,0.1,0.15,0.18,0.25,0.34,0.44,0.54,0.2,0.22,0.25,0.28,0.31,Passyunk Square,-75.1659340526695,39.9303590483556,"c(-75.1659340526695, 39.9303590483556)"
1512 S BEULAH ST,0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.32,0.42,0.52,0.23,0.25,0.28,0.32,0.35,Passyunk Square,-75.157355537534,39.9298630544553,"c(-75.157355537534, 39.9298630544553)"
804 REED ST,0.03,0.04,0.07,0.1,0.15,0.18,0.24,0.33,0.43,0.53,0.34,0.37,0.41,0.44,0.48,Passyunk Square,-75.1582243671617,39.9315560012275,"c(-75.1582243671617, 39.9315560012275)"
810 DICKINSON ST,0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.57,0.2,0.22,0.25,0.28,0.31,Passyunk Square,-75.1587421112286,39.9303267693863,"c(-75.1587421112286, 39.9303267693863)"
1026 ELLSWORTH ST,0.02,0.03,0.05,0.08,0.11,0.18,0.25,0.34,0.43,0.54,0.2,0.22,0.25,0.28,0.31,Passyunk Square,-75.1611438123023,39.9355604281183,"c(-75.1611438123023, 39.9355604281183)"
909 CROSS ST,0.02,0.03,0.04,0.07,0.1,0.21,0.28,0.38,0.48,0.58,0.2,0.22,0.25,0.28,0.31,Passyunk Square,-75.1604431273659,39.9300087189275,"c(-75.1604431273659, 39.9300087189275)"
1117 CROSS ST,0.03,0.05,0.08,0.11,0.17,0.3,0.39,0.5,0.6,0.7,0.46,0.49,0.53,0.57,0.61,Passyunk Square,-75.1634289261372,39.9304979089635,"c(-75.1634289261372, 39.9304979089635)"
816 SEARS ST,0.03,0.04,0.06,0.1,0.14,0.17,0.24,0.33,0.42,0.53,0.34,0.37,0.41,0.44,0.48,Passyunk Square,-75.1583200156832,39.9323428777086,"c(-75.1583200156832, 39.9323428777086)"
