"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1835 S 4TH ST",0.04,0.06,0.09,0.13,0.19,0.18,0.25,0.34,0.43,0.54,0.18,0.25,0.34,0.43,0.54,"Pennsport","-75.1526865586969","39.9249557430971",c(-75.1526865586969, 39.9249557430971)
"2","118 SIGEL ST",0.04,0.06,0.09,0.13,0.19,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Pennsport","-75.1483693490247","39.9243897680107",c(-75.1483693490247, 39.9243897680107)
"3","1929 S GALLOWAY ST",0.03,0.04,0.07,0.1,0.16,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Pennsport","-75.1514484621593","39.9238224892396",c(-75.1514484621593, 39.9238224892396)
"4","115 MIFFLIN ST",0.03,0.04,0.06,0.09,0.14,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"Pennsport","-75.1482957673938","39.9242330777934",c(-75.1482957673938, 39.9242330777934)
"5","136 REED ST",0.03,0.04,0.06,0.09,0.14,0.22,0.31,0.4,0.5,0.61,0.22,0.31,0.4,0.5,0.61,"Pennsport","-75.1478052573202","39.9300954102088",c(-75.1478052573202, 39.9300954102088)
"6","163 MIFFLIN ST",0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Pennsport","-75.1495493730794","39.9244020808105",c(-75.1495493730794, 39.9244020808105)
"7","356 MERCY ST",0.02,0.03,0.05,0.07,0.11,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Pennsport","-75.1524152706638","39.922493598937",c(-75.1524152706638, 39.922493598937)
"8","243 TASKER ST",0.02,0.04,0.06,0.09,0.13,0.21,0.28,0.38,0.48,0.58,0.21,0.28,0.38,0.48,0.58,"Pennsport","-75.1500423883997","39.928252063408",c(-75.1500423883997, 39.928252063408)
"9","347 MCKEAN ST",0.03,0.05,0.07,0.11,0.16,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Pennsport","-75.152059238937","39.9234848562758",c(-75.152059238937, 39.9234848562758)
"10","229 MANTON ST",0.03,0.05,0.08,0.12,0.18,0.24,0.33,0.43,0.53,0.63,0.24,0.33,0.43,0.53,0.63,"Pennsport","-75.148553268924","39.9325125595222",c(-75.148553268924, 39.9325125595222)
"11","350 MCKEAN ST",0.03,0.04,0.07,0.1,0.15,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Pennsport","-75.1521784996977","39.9231684214006",c(-75.1521784996977, 39.9231684214006)
"12","1225 S 2ND ST",0.03,0.05,0.08,0.12,0.17,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Pennsport","-75.1474889419206","39.9320916480834",c(-75.1474889419206, 39.9320916480834)
"13","312 MCKEAN ST",0.02,0.03,0.04,0.07,0.1,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Pennsport","-75.1511111306315","39.9230343837641",c(-75.1511111306315, 39.9230343837641)
"14","144 FERNON ST",0.02,0.04,0.06,0.09,0.13,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Pennsport","-75.1486167219287","39.9270413959703",c(-75.1486167219287, 39.9270413959703)
"15","226 TASKER ST",0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.34,0.44,0.55,0.18,0.25,0.34,0.44,0.55,"Pennsport","-75.1496735010348","39.9278908161003",c(-75.1496735010348, 39.9278908161003)
