address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2680 WINCHESTER AVE,0.03,0.05,0.07,0.11,0.17,0.19,0.26,0.34,0.44,0.55,0.36,0.4,0.43,0.47,0.51,Pennypack Park,-75.0334819424341,40.0615952558027,"c(-75.0334819424341, 40.0615952558027)"
104 MOREDUN AVE,0.01,0.02,0.04,0.06,0.09,0.26,0.35,0.45,0.55,0.65,0.33,0.36,0.4,0.43,0.47,Pennypack Park,-75.068950647566,40.0941164224185,"c(-75.068950647566, 40.0941164224185)"
126 MOREDUN AVE,0.01,0.02,0.04,0.05,0.08,0.17,0.24,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0675372883077,40.0931379687101,"c(-75.0675372883077, 40.0931379687101)"
108 MOREDUN AVE,0.02,0.03,0.05,0.07,0.11,0.19,0.26,0.35,0.45,0.56,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0697534987596,40.0927966929556,"c(-75.0697534987596, 40.0927966929556)"
110 PHEASANT HILL DR,0.02,0.03,0.05,0.08,0.12,0.21,0.29,0.38,0.48,0.59,0.36,0.4,0.44,0.47,0.51,Pennypack Park,-75.0675725472661,40.0924233251359,"c(-75.0675725472661, 40.0924233251359)"
100 PHEASANT HILL DR,0.02,0.02,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0672743607357,40.0922516616314,"c(-75.0672743607357, 40.0922516616314)"
121 PHEASANT HILL DR,0.02,0.03,0.04,0.06,0.09,0.17,0.24,0.33,0.42,0.53,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0675861603885,40.0927183802237,"c(-75.0675861603885, 40.0927183802237)"
110R MOREDUN AVE,0.01,0.02,0.04,0.06,0.08,0.14,0.2,0.28,0.37,0.47,0.3,0.33,0.37,0.41,0.44,Pennypack Park,-75.0684718093099,40.0937061451033,"c(-75.0684718093099, 40.0937061451033)"
111 LONGMEAD LN,0.02,0.03,0.04,0.07,0.1,0.26,0.34,0.44,0.55,0.65,0.33,0.36,0.4,0.43,0.47,Pennypack Park,-75.0682357362844,40.0920986791341,"c(-75.0682357362844, 40.0920986791341)"
150 MOREDUN AVE,0.01,0.02,0.03,0.05,0.08,0.16,0.23,0.31,0.4,0.51,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0664366675972,40.0925783573532,"c(-75.0664366675972, 40.0925783573532)"
8992 PINE RD,0.02,0.03,0.05,0.08,0.11,0.13,0.19,0.26,0.35,0.45,0.23,0.25,0.28,0.32,0.35,Pennypack Park,-75.0669755605666,40.0920265215696,"c(-75.0669755605666, 40.0920265215696)"
111 PHEASANT HILL DR,0.02,0.03,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0671816046287,40.0925927093472,"c(-75.0671816046287, 40.0925927093472)"
136 MOREDUN AVE,0.01,0.02,0.04,0.05,0.08,0.17,0.24,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0670630962057,40.0930750265323,"c(-75.0670630962057, 40.0930750265323)"
144 MOREDUN AVE,0.01,0.02,0.03,0.05,0.08,0.17,0.23,0.32,0.41,0.52,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0668194024984,40.0928676577467,"c(-75.0668194024984, 40.0928676577467)"
101 LONGMEAD LN,0.02,0.03,0.04,0.07,0.1,0.25,0.34,0.44,0.55,0.65,0.33,0.36,0.4,0.43,0.47,Pennypack Park,-75.0678838174791,40.0917993720354,"c(-75.0678838174791, 40.0917993720354)"
8438 FRANKFORD AVE,0.02,0.03,0.05,0.08,0.12,0.15,0.21,0.29,0.38,0.48,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0185848049984,40.0444803332494,"c(-75.0185848049984, 40.0444803332494)"
131 PHEASANT HILL DR,0.02,0.03,0.04,0.06,0.1,0.19,0.26,0.35,0.45,0.55,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0681358438223,40.0926918233556,"c(-75.0681358438223, 40.0926918233556)"
102 MOREDUN AVE,0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.47,0.58,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0693207440551,40.0940424373012,"c(-75.0693207440551, 40.0940424373012)"
110 MOREDUN AVE,0.01,0.01,0.02,0.04,0.06,0.2,0.27,0.36,0.46,0.57,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0681987769879,40.0939104432636,"c(-75.0681987769879, 40.0939104432636)"
141 PHEASANT HILL DR,0.02,0.02,0.04,0.06,0.09,0.26,0.35,0.45,0.56,0.66,0.33,0.36,0.4,0.43,0.47,Pennypack Park,-75.0685973981389,40.0925451575213,"c(-75.0685973981389, 40.0925451575213)"
120 PHEASANT HILL DR,0.01,0.02,0.04,0.06,0.09,0.19,0.27,0.36,0.46,0.56,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0679045796633,40.0922556619866,"c(-75.0679045796633, 40.0922556619866)"
8990 PINE RD,0.01,0.02,0.04,0.05,0.08,0.15,0.21,0.29,0.38,0.49,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.067417715483,40.0919050945609,"c(-75.067417715483, 40.0919050945609)"
8980 PINE RD,0.02,0.03,0.04,0.06,0.09,0.16,0.22,0.31,0.4,0.5,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.068402247838,40.0917079425059,"c(-75.068402247838, 40.0917079425059)"
114 MOREDUN AVE,0.01,0.01,0.02,0.04,0.06,0.19,0.27,0.35,0.45,0.56,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0679222706945,40.0937050812599,"c(-75.0679222706945, 40.0937050812599)"
100 LONGMEAD LN,0.02,0.03,0.04,0.06,0.09,0.27,0.36,0.46,0.56,0.66,0.33,0.36,0.4,0.43,0.47,Pennypack Park,-75.0690579626314,40.0923587300452,"c(-75.0690579626314, 40.0923587300452)"
108R MOREDUN AVE,0.03,0.04,0.06,0.1,0.14,0.14,0.19,0.27,0.36,0.46,0.23,0.25,0.28,0.32,0.35,Pennypack Park,-75.0702172115013,40.0930985164421,"c(-75.0702172115013, 40.0930985164421)"
8986 PINE RD,0.02,0.02,0.04,0.06,0.09,0.16,0.23,0.31,0.41,0.51,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0676270744345,40.0915785659502,"c(-75.0676270744345, 40.0915785659502)"
101 PHEASANT HILL DR,0.02,0.02,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0669293776468,40.0924035363347,"c(-75.0669293776468, 40.0924035363347)"
8994 PINE RD,0.01,0.02,0.03,0.05,0.08,0.16,0.23,0.31,0.4,0.51,0.2,0.22,0.25,0.28,0.31,Pennypack Park,-75.0666835237211,40.0922162586205,"c(-75.0666835237211, 40.0922162586205)"
106 MOREDUN AVE,0.01,0.02,0.03,0.05,0.08,0.16,0.22,0.31,0.4,0.5,0.23,0.25,0.28,0.32,0.35,Pennypack Park,-75.0685871172821,40.0942298502638,"c(-75.0685871172821, 40.0942298502638)"
