address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
8807 ASHTON RD,0.02,0.02,0.04,0.06,0.09,0.18,0.26,0.34,0.44,0.55,0.33,0.36,0.4,0.43,0.47,Pennypack Woods,-75.0271589744279,40.0576848697142,"c(-75.0271589744279, 40.0576848697142)"
2820 WILLITS RD,0.02,0.03,0.05,0.08,0.12,0.17,0.24,0.33,0.43,0.53,0.3,0.33,0.37,0.4,0.44,Pennypack Woods,-75.0217452477477,40.0620472701859,"c(-75.0217452477477, 40.0620472701859)"
8903 CONVENT AVE,0.04,0.06,0.09,0.14,0.2,0.11,0.16,0.22,0.3,0.4,0.34,0.37,0.41,0.44,0.48,Pennypack Woods,-75.0188816744307,40.0568925023498,"c(-75.0188816744307, 40.0568925023498)"
2814 WILLITS RD,0.02,0.03,0.05,0.08,0.12,0.17,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Pennypack Woods,-75.0218236877538,40.0621977204812,"c(-75.0218236877538, 40.0621977204812)"
9033 CONVENT AVE,0.02,0.04,0.06,0.08,0.13,0.14,0.2,0.27,0.36,0.47,0.3,0.33,0.37,0.4,0.44,Pennypack Woods,-75.0190818719889,40.0581971235808,"c(-75.0190818719889, 40.0581971235808)"
8911 LEWIN PL,0.02,0.03,0.04,0.06,0.09,0.18,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Pennypack Woods,-75.024938344575,40.0570837973157,"c(-75.024938344575, 40.0570837973157)"
2951 JOEY DR,0.02,0.02,0.04,0.06,0.09,0.23,0.32,0.42,0.52,0.62,0.33,0.36,0.4,0.43,0.47,Pennypack Woods,-75.0257127419892,40.0572406540357,"c(-75.0257127419892, 40.0572406540357)"
2922 JENNY PL,0.02,0.03,0.04,0.06,0.09,0.17,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Pennypack Woods,-75.0260628885675,40.057791936516,"c(-75.0260628885675, 40.057791936516)"
3142 FAIRFIELD ST,0.04,0.06,0.09,0.14,0.2,0.2,0.28,0.37,0.47,0.57,0.34,0.37,0.41,0.44,0.48,Pennypack Woods,-75.0157398203377,40.0580967989326,"c(-75.0157398203377, 40.0580967989326)"
9032 CLOVERLY RD,0.02,0.03,0.05,0.08,0.12,0.17,0.23,0.31,0.41,0.52,0.3,0.33,0.37,0.41,0.44,Pennypack Woods,-75.0206741860627,40.0603329545293,"c(-75.0206741860627, 40.0603329545293)"
9111 WOODEN BRIDGE RD,0.03,0.05,0.08,0.12,0.17,0.12,0.17,0.24,0.32,0.42,0.34,0.37,0.41,0.44,0.48,Pennypack Woods,-75.0199248325271,40.0591327375254,"c(-75.0199248325271, 40.0591327375254)"
2819 MAXWELL ST,0.03,0.04,0.06,0.1,0.15,0.18,0.25,0.33,0.43,0.54,0.3,0.33,0.37,0.41,0.44,Pennypack Woods,-75.0234519804307,40.0606766736072,"c(-75.0234519804307, 40.0606766736072)"
3010 FAIRFIELD ST,0.03,0.04,0.06,0.09,0.14,0.14,0.2,0.28,0.37,0.47,0.3,0.33,0.37,0.41,0.44,Pennypack Woods,-75.0185646862653,40.0571449043848,"c(-75.0185646862653, 40.0571449043848)"
2938 JOEY DR,0.02,0.04,0.06,0.09,0.13,0.14,0.2,0.28,0.37,0.47,0.23,0.25,0.28,0.32,0.35,Pennypack Woods,-75.0262031193436,40.056810375743,"c(-75.0262031193436, 40.056810375743)"
2838 MAXWELL ST,0.03,0.04,0.06,0.1,0.14,0.18,0.25,0.33,0.43,0.54,0.3,0.33,0.37,0.4,0.44,Pennypack Woods,-75.0236184931833,40.0599761427979,"c(-75.0236184931833, 40.0599761427979)"
2840 WILLITS RD,0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.41,0.51,0.61,0.46,0.49,0.53,0.57,0.61,Pennypack Woods,-75.0214334011449,40.0615262331312,"c(-75.0214334011449, 40.0615262331312)"
3064 FAIRFIELD ST,0.03,0.04,0.06,0.1,0.14,0.14,0.2,0.27,0.37,0.47,0.3,0.33,0.37,0.4,0.44,Pennypack Woods,-75.0169470429742,40.0572350095833,"c(-75.0169470429742, 40.0572350095833)"
3123 FAIRFIELD ST,0.04,0.06,0.09,0.14,0.2,0.11,0.16,0.23,0.31,0.41,0.34,0.37,0.41,0.44,0.48,Pennypack Woods,-75.0174274803682,40.057629056388,"c(-75.0174274803682, 40.057629056388)"
2869 TREMONT ST,0.03,0.04,0.06,0.09,0.14,0.18,0.25,0.33,0.43,0.54,0.3,0.33,0.37,0.41,0.44,Pennypack Woods,-75.0221933105606,40.0602103168363,"c(-75.0221933105606, 40.0602103168363)"
2883 TREMONT ST,0.04,0.06,0.09,0.14,0.2,0.15,0.21,0.28,0.37,0.48,0.34,0.37,0.41,0.44,0.48,Pennypack Woods,-75.022554334152,40.0599103246957,"c(-75.022554334152, 40.0599103246957)"
3034 TREMONT ST,0.03,0.04,0.06,0.09,0.14,0.14,0.2,0.28,0.37,0.47,0.2,0.22,0.25,0.28,0.31,Pennypack Woods,-75.0174250067756,40.0579919688013,"c(-75.0174250067756, 40.0579919688013)"
9036 WESLEYAN RD,0.02,0.04,0.06,0.09,0.13,0.14,0.2,0.27,0.36,0.47,0.3,0.33,0.37,0.41,0.44,Pennypack Woods,-75.0186981070777,40.0583227116811,"c(-75.0186981070777, 40.0583227116811)"
2949 TREMONT ST,0.02,0.03,0.05,0.07,0.11,0.15,0.21,0.29,0.38,0.48,0.3,0.33,0.37,0.4,0.44,Pennypack Woods,-75.0193809036546,40.059891103452,"c(-75.0193809036546, 40.059891103452)"
3027 HOLME AVE,0.03,0.04,0.06,0.1,0.15,0.14,0.2,0.27,0.36,0.46,0.3,0.33,0.37,0.4,0.44,Pennypack Woods,-75.0181112582553,40.0568576528264,"c(-75.0181112582553, 40.0568576528264)"
2907 JENNY PL,0.02,0.03,0.04,0.06,0.09,0.23,0.32,0.41,0.52,0.62,0.46,0.49,0.53,0.57,0.61,Pennypack Woods,-75.0263839916965,40.0582019692313,"c(-75.0263839916965, 40.0582019692313)"
2830 WILLITS RD,0.03,0.05,0.08,0.12,0.17,0.14,0.2,0.28,0.37,0.47,0.34,0.37,0.41,0.44,0.48,Pennypack Woods,-75.0216169322219,40.0617724818265,"c(-75.0216169322219, 40.0617724818265)"
2833 TOLBUT ST,0.03,0.04,0.06,0.09,0.14,0.18,0.25,0.34,0.43,0.54,0.3,0.33,0.37,0.41,0.44,Pennypack Woods,-75.0239810964538,40.0599195003506,"c(-75.0239810964538, 40.0599195003506)"
2950 ARLAN AVE,0.02,0.04,0.06,0.09,0.13,0.14,0.2,0.28,0.37,0.47,0.3,0.33,0.37,0.41,0.44,Pennypack Woods,-75.0206286844758,40.0585463264529,"c(-75.0206286844758, 40.0585463264529)"
2924 JOEY DR,0.02,0.02,0.04,0.06,0.09,0.17,0.24,0.33,0.43,0.53,0.3,0.33,0.37,0.41,0.44,Pennypack Woods,-75.0268676124289,40.0568079066661,"c(-75.0268676124289, 40.0568079066661)"
3042 TREMONT ST,0.03,0.04,0.06,0.09,0.14,0.19,0.27,0.36,0.46,0.56,0.33,0.36,0.4,0.43,0.47,Pennypack Woods,-75.0171978255929,40.0579142616575,"c(-75.0171978255929, 40.0579142616575)"
9008 WESLEYAN RD,0.02,0.04,0.06,0.09,0.14,0.14,0.2,0.27,0.36,0.46,0.2,0.22,0.25,0.28,0.31,Pennypack Woods,-75.0185945540883,40.0576656218483,"c(-75.0185945540883, 40.0576656218483)"
3012 FAIRFIELD ST,0.04,0.06,0.09,0.14,0.2,0.16,0.22,0.3,0.4,0.5,0.5,0.53,0.57,0.61,0.64,Pennypack Woods,-75.0185069646284,40.0571439789817,"c(-75.0185069646284, 40.0571439789817)"
2873 TREMONT ST,0.03,0.04,0.06,0.09,0.14,0.18,0.25,0.33,0.43,0.54,0.3,0.33,0.37,0.4,0.44,Pennypack Woods,-75.0222781804926,40.060132620769,"c(-75.0222781804926, 40.060132620769)"
2815 MAXWELL ST,0.03,0.04,0.06,0.1,0.15,0.18,0.25,0.33,0.43,0.54,0.3,0.33,0.37,0.41,0.44,Pennypack Woods,-75.0235134674905,40.0607648800551,"c(-75.0235134674905, 40.0607648800551)"
3138 FAIRFIELD ST,0.03,0.04,0.06,0.09,0.14,0.19,0.27,0.35,0.46,0.56,0.46,0.49,0.53,0.57,0.61,Pennypack Woods,-75.0158301288363,40.0580113418659,"c(-75.0158301288363, 40.0580113418659)"
