"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","2523 WINCHESTER AVE",0.02,0.03,0.04,0.06,0.09,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Pennypack","-75.0387508014929","40.0681322221835",c(-75.0387508014929, 40.0681322221835)
"2","2596 WINCHESTER AVE",0.02,0.03,0.04,0.06,0.1,0.29,0.39,0.49,0.59,0.69,0.29,0.39,0.49,0.59,0.69,"Pennypack","-75.0338300862583","40.0650377054968",c(-75.0338300862583, 40.0650377054968)
"3","8932 FAIRFIELD ST",0.02,0.03,0.05,0.07,0.11,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Pennypack","-75.0360690754576","40.0718366779781",c(-75.0360690754576, 40.0718366779781)
"4","2628 WELSH RD",0.02,0.04,0.06,0.09,0.14,0.21,0.28,0.38,0.48,0.58,0.21,0.28,0.38,0.48,0.58,"Pennypack","-75.0319259696402","40.0700714215957",c(-75.0319259696402, 40.0700714215957)
"5","9019 BROUS AVE",0.02,0.03,0.04,0.06,0.09,0.22,0.29,0.39,0.49,0.59,0.22,0.29,0.39,0.49,0.59,"Pennypack","-75.0320940787627","40.0674477847298",c(-75.0320940787627, 40.0674477847298)
"6","8805 FAIRFIELD ST",0.02,0.03,0.04,0.06,0.1,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Pennypack","-75.0381403082233","40.0686372905419",c(-75.0381403082233, 40.0686372905419)
"7","9021 EASTVIEW RD",0.02,0.03,0.05,0.07,0.11,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Pennypack","-75.0262909650021","40.0651344174416",c(-75.0262909650021, 40.0651344174416)
"8","9003 BROUS AVE",0.02,0.03,0.04,0.06,0.09,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Pennypack","-75.0327247923493","40.0677575482584",c(-75.0327247923493, 40.0677575482584)
"9","2728 NORTHVIEW RD",0.03,0.04,0.07,0.1,0.15,0.11,0.16,0.22,0.31,0.4,0.11,0.16,0.22,0.31,0.4,"Pennypack","-75.0278878277719","40.065783716303",c(-75.0278878277719, 40.065783716303)
"10","2513-15 WELSH RD",0.04,0.06,0.09,0.14,0.2,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Pennypack","-75.0306912945943","40.0698747693756",c(-75.0306912945943, 40.0698747693756)
"11","8846 REVERE ST",0.02,0.03,0.04,0.07,0.1,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Pennypack","-75.0354610034057","40.0685811608462",c(-75.0354610034057, 40.0685811608462)
"12","2743 MOWER ST",0.01,0.02,0.04,0.06,0.09,0.17,0.24,0.32,0.42,0.53,0.17,0.24,0.32,0.42,0.53,"Pennypack","-75.0315825494016","40.0601764292318",c(-75.0315825494016, 40.0601764292318)
"13","2803 SHIPLEY RD",0.02,0.03,0.05,0.07,0.11,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Pennypack","-75.0276527484673","40.0651183275874",c(-75.0276527484673, 40.0651183275874)
"14","2804 WALNUT HILL ST",0.02,0.03,0.04,0.06,0.09,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Pennypack","-75.0294726118313","40.0634205033678",c(-75.0294726118313, 40.0634205033678)
"15","8614 COLONY DR",0.02,0.02,0.04,0.06,0.09,0.16,0.22,0.31,0.4,0.5,0.16,0.22,0.31,0.4,0.5,"Pennypack","-75.0326896147112","40.0592094418426",c(-75.0326896147112, 40.0592094418426)
"16","8734 MACON ST",0.02,0.03,0.04,0.06,0.09,0.23,0.32,0.42,0.52,0.62,0.23,0.32,0.42,0.52,0.62,"Pennypack","-75.0338250506125","40.0645096338875",c(-75.0338250506125, 40.0645096338875)
"17","2722 WELSH RD",0.02,0.03,0.04,0.07,0.1,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Pennypack","-75.0288664238363","40.0655373092661",c(-75.0288664238363, 40.0655373092661)
"18","8816 REVERE ST",0.02,0.03,0.05,0.07,0.11,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Pennypack","-75.0366674901794","40.0676315028593",c(-75.0366674901794, 40.0676315028593)
"19","8922 MAXWELL PL",0.02,0.03,0.04,0.06,0.09,0.22,0.3,0.4,0.5,0.61,0.22,0.3,0.4,0.5,0.61,"Pennypack","-75.0301106499754","40.0668522901097",c(-75.0301106499754, 40.0668522901097)
"20","2850 STAMFORD ST",0.02,0.03,0.05,0.08,0.12,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Pennypack","-75.0301426330927","40.0599510902174",c(-75.0301426330927, 40.0599510902174)
"21","8821 E ROOSEVELT BLVD",0.03,0.04,0.07,0.1,0.15,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Pennypack","-75.0390538714579","40.0691938556588",c(-75.0390538714579, 40.0691938556588)
"22","2848 WELSH RD",0.02,0.02,0.04,0.06,0.09,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Pennypack","-75.028301346279","40.0598577406359",c(-75.028301346279, 40.0598577406359)
"23","8831 CALVERT ST",0.02,0.04,0.06,0.09,0.14,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Pennypack","-75.0371919847754","40.0687486643319",c(-75.0371919847754, 40.0687486643319)
