address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
7346 THEODORE ST,0.03,0.05,0.08,0.12,0.18,0.15,0.21,0.28,0.37,0.48,0.2,0.22,0.25,0.28,0.31,Penrose,-75.2418505788582,39.9124650783701,"c(-75.2418505788582, 39.9124650783701)"
7044 W PASSYUNK AVE,0.03,0.05,0.08,0.12,0.18,0.15,0.21,0.29,0.39,0.49,0.2,0.22,0.25,0.28,0.31,Penrose,-75.2354844752757,39.9136557539071,"c(-75.2354844752757, 39.9136557539071)"
7335 MERGANSER PL,0.03,0.05,0.08,0.12,0.18,0.17,0.24,0.32,0.42,0.53,0.3,0.33,0.37,0.4,0.44,Penrose,-75.2358820486187,39.9077610140876,"c(-75.2358820486187, 39.9077610140876)"
7323 MERGANSER PL,0.03,0.05,0.08,0.12,0.18,0.17,0.24,0.32,0.42,0.53,0.3,0.33,0.37,0.4,0.44,Penrose,-75.2355966984812,39.9079611190779,"c(-75.2355966984812, 39.9079611190779)"
7327 CHELWYNDE AVE,0.05,0.08,0.12,0.18,0.25,0.12,0.17,0.24,0.32,0.42,0.34,0.37,0.41,0.44,0.48,Penrose,-75.2403633665917,39.9117860510212,"c(-75.2403633665917, 39.9117860510212)"
2810 S 73RD ST,0.03,0.05,0.08,0.12,0.18,0.18,0.25,0.33,0.43,0.53,0.3,0.33,0.37,0.4,0.44,Penrose,-75.2377088433098,39.9104524210074,"c(-75.2377088433098, 39.9104524210074)"
7436 SANDPIPER PL,0.05,0.07,0.11,0.17,0.24,0.13,0.18,0.25,0.34,0.44,0.34,0.37,0.41,0.44,0.48,Penrose,-75.239809977891,39.9092539048479,"c(-75.239809977891, 39.9092539048479)"
2721 S 71ST ST,0.05,0.08,0.11,0.17,0.24,0.12,0.17,0.24,0.33,0.43,0.22,0.25,0.28,0.31,0.35,Penrose,-75.2355077306541,39.913438050881,"c(-75.2355077306541, 39.913438050881)"
7317 MEADOWLARK PL,0.03,0.05,0.08,0.12,0.18,0.18,0.25,0.34,0.43,0.54,0.3,0.33,0.37,0.4,0.44,Penrose,-75.2381320921986,39.9100969714181,"c(-75.2381320921986, 39.9100969714181)"
7319 SANDERLING PL,0.05,0.08,0.12,0.17,0.25,0.14,0.2,0.27,0.37,0.47,0.23,0.25,0.28,0.32,0.35,Penrose,-75.2362837798858,39.908340744723,"c(-75.2362837798858, 39.908340744723)"
7322 GARMAN ST,0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.24,0.32,0.42,0.22,0.25,0.28,0.31,0.35,Penrose,-75.2404132272946,39.9120218884202,"c(-75.2404132272946, 39.9120218884202)"
2529 ISLAND AVE,0.05,0.08,0.12,0.18,0.26,0.13,0.19,0.26,0.35,0.45,0.34,0.37,0.41,0.44,0.48,Penrose,-75.242613067392,39.9121109859667,"c(-75.242613067392, 39.9121109859667)"
