address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1527 DICKINSON ST,0.04,0.06,0.09,0.14,0.2,0.22,0.3,0.39,0.49,0.6,0.23,0.25,0.28,0.32,0.35,Point Breeze,-75.1706802936043,39.9322166285145,"c(-75.1706802936043, 39.9322166285145)"
1411 S TAYLOR ST,0.04,0.06,0.09,0.13,0.19,0.19,0.26,0.35,0.45,0.55,0.36,0.4,0.43,0.47,0.51,Point Breeze,-75.1851419264623,39.9348780914819,"c(-75.1851419264623, 39.9348780914819)"
1166 S BROAD ST,0.05,0.07,0.11,0.16,0.23,0.11,0.16,0.23,0.31,0.41,0.23,0.25,0.28,0.32,0.35,Point Breeze,-75.1677451287051,39.936172932494,"c(-75.1677451287051, 39.936172932494)"
1437 S 22ND ST,0.04,0.06,0.1,0.14,0.21,0.13,0.18,0.25,0.34,0.44,0.22,0.25,0.28,0.31,0.35,Point Breeze,-75.1808418846002,39.9337218007889,"c(-75.1808418846002, 39.9337218007889)"
1545 S HICKS ST,0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,Point Breeze,-75.1704233961641,39.9310332709428,"c(-75.1704233961641, 39.9310332709428)"
1702 DICKINSON ST,0.03,0.04,0.07,0.1,0.15,0.17,0.24,0.33,0.43,0.53,0.3,0.33,0.37,0.4,0.44,Point Breeze,-75.1731451548587,39.932198771268,"c(-75.1731451548587, 39.932198771268)"
2041 WATKINS ST,0.03,0.05,0.07,0.11,0.17,0.29,0.38,0.49,0.59,0.69,0.33,0.36,0.4,0.43,0.47,Point Breeze,-75.179368360761,39.9303105709484,"c(-75.179368360761, 39.9303105709484)"
2041 WHARTON ST,0.07,0.11,0.17,0.24,0.33,0.32,0.42,0.53,0.63,0.72,0.27,0.3,0.33,0.37,0.41,Point Breeze,-75.1782635678989,39.9356442000084,"c(-75.1782635678989, 39.9356442000084)"
2124 EARP ST,0.04,0.07,0.1,0.15,0.22,0.14,0.2,0.27,0.36,0.46,0.23,0.25,0.28,0.31,0.35,Point Breeze,-75.1803067863066,39.9348399556646,"c(-75.1803067863066, 39.9348399556646)"
1753 S TAYLOR ST,0.04,0.06,0.09,0.13,0.19,0.13,0.18,0.25,0.34,0.44,0.23,0.25,0.28,0.31,0.35,Point Breeze,-75.1860839812418,39.9304015032176,"c(-75.1860839812418, 39.9304015032176)"
