address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
3101 PIERVIEW LN,0.09,0.14,0.2,0.29,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.116145378384,39.9725311969234,"c(-75.116145378384, 39.9725311969234)"
3103 PIERVIEW LN,0.09,0.14,0.2,0.29,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1160865167081,39.9724874271276,"c(-75.1160865167081, 39.9724874271276)"
3105 PIERVIEW LN,0.09,0.14,0.2,0.29,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1160276538682,39.9724436590752,"c(-75.1160276538682, 39.9724436590752)"
3107 PIERVIEW LN,0.09,0.14,0.2,0.29,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1159687922742,39.9723998910194,"c(-75.1159687922742, 39.9723998910194)"
3109 PIERVIEW LN,0.09,0.14,0.2,0.29,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.115909930791,39.9723561220331,"c(-75.115909930791, 39.9723561220331)"
3111 PIERVIEW LN,0.09,0.14,0.2,0.28,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1158510705187,39.9723123539437,"c(-75.1158510705187, 39.9723123539437)"
3113 PIERVIEW LN,0.09,0.14,0.2,0.28,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1157490663042,39.9721920241581,"c(-75.1157490663042, 39.9721920241581)"
3115 PIERVIEW LN,0.09,0.14,0.2,0.28,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1157153546369,39.9721346312882,"c(-75.1157153546369, 39.9721346312882)"
3117 PIERVIEW LN,0.09,0.14,0.2,0.28,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1156816453317,39.9720772393622,"c(-75.1156816453317, 39.9720772393622)"
3119 PIERVIEW LN,0.09,0.14,0.2,0.28,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1156479349134,39.9720198473994,"c(-75.1156479349134, 39.9720198473994)"
3121 PIERVIEW LN,0.09,0.14,0.2,0.28,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1155877767517,39.971917429231,"c(-75.1155877767517, 39.971917429231)"
3123 PIERVIEW LN,0.09,0.14,0.2,0.28,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1155540664571,39.9718600381405,"c(-75.1155540664571, 39.9718600381405)"
3125 PIERVIEW LN,0.09,0.14,0.2,0.28,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1155203550843,39.971802646113,"c(-75.1155203550843, 39.971802646113)"
3127 PIERVIEW LN,0.09,0.14,0.2,0.28,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1154866461086,39.9717452541292,"c(-75.1154866461086, 39.9717452541292)"
3129 PIERVIEW LN,0.09,0.14,0.2,0.28,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1154529383249,39.9716878630625,"c(-75.1154529383249, 39.9716878630625)"
3201 PIERVIEW LN,0.09,0.14,0.2,0.29,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1153695255748,39.9715321167634,"c(-75.1153695255748, 39.9715321167634)"
3203 PIERVIEW LN,0.09,0.14,0.2,0.29,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1153478789035,39.9714713768439,"c(-75.1153478789035, 39.9714713768439)"
3205 PIERVIEW LN,0.09,0.14,0.2,0.29,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1153262322359,39.9714106378204,"c(-75.1153262322359, 39.9714106378204)"
3207 PIERVIEW LN,0.09,0.14,0.2,0.29,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1153045856419,39.9713498978925,"c(-75.1153045856419, 39.9713498978925)"
3209 PIERVIEW LN,0.09,0.14,0.2,0.29,0.39,0.12,0.17,0.24,0.32,0.42,0.36,0.4,0.43,0.47,0.51,Port Richmond,-75.1152829390169,39.9712891597609,"c(-75.1152829390169, 39.9712891597609)"
