"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","3601 BARING ST",0.02,0.04,0.06,0.09,0.13,0.24,0.32,0.42,0.52,0.63,0.24,0.32,0.42,0.52,0.63,"Powelton","-75.1942392195752","39.9613402047145",c(-75.1942392195752, 39.9613402047145)
"2","3805 BARING ST",0.04,0.06,0.1,0.14,0.21,0.11,0.16,0.22,0.31,0.4,0.11,0.16,0.22,0.31,0.4,"Powelton","-75.1973002143749","39.9609882308776",c(-75.1973002143749, 39.9609882308776)
"3","3231 POWELTON AVE",0.03,0.04,0.07,0.1,0.15,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Powelton","-75.1891009675027","39.9606573753124",c(-75.1891009675027, 39.9606573753124)
"4","3209 WINTER ST",0.03,0.05,0.08,0.12,0.17,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Powelton","-75.1879945501089","39.9600282955116",c(-75.1879945501089, 39.9600282955116)
"5","3626 HAMILTON ST",0.02,0.04,0.06,0.09,0.14,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Powelton","-75.1954074348076","39.9614971014772",c(-75.1954074348076, 39.9614971014772)
"6","3725 LANCASTER AVE",0.04,0.07,0.1,0.15,0.22,0.11,0.16,0.22,0.31,0.4,0.11,0.16,0.22,0.31,0.4,"Powelton","-75.1961165997168","39.9601737956134",c(-75.1961165997168, 39.9601737956134)
"7","3402 BARING ST",0.03,0.04,0.06,0.1,0.15,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Powelton","-75.1913701811003","39.9610862836309",c(-75.1913701811003, 39.9610862836309)
"8","3200 SUMMER ST",0.04,0.06,0.08,0.13,0.19,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Powelton","-75.1878867235316","39.9592904786473",c(-75.1878867235316, 39.9592904786473)
"9","104 N 35TH ST",0.04,0.06,0.09,0.13,0.19,0.09,0.14,0.19,0.27,0.36,0.09,0.14,0.19,0.27,0.36,"Powelton","-75.1926158076864","39.9585037703396",c(-75.1926158076864, 39.9585037703396)
"10","102 N 35TH ST",0.04,0.06,0.09,0.13,0.19,0.09,0.14,0.19,0.27,0.36,0.09,0.14,0.19,0.27,0.36,"Powelton","-75.1926085132503","39.9584615964556",c(-75.1926085132503, 39.9584615964556)
"11","3418 RACE ST",0.04,0.06,0.09,0.14,0.21,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Powelton","-75.1921110393667","39.9584871454875",c(-75.1921110393667, 39.9584871454875)
"12","413 N 33RD ST",0.03,0.04,0.07,0.11,0.16,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Powelton","-75.1894878038438","39.9621800945695",c(-75.1894878038438, 39.9621800945695)
"13","3811 LANCASTER AVE",0.04,0.07,0.1,0.15,0.22,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Powelton","-75.1972626521322","39.9606449740362",c(-75.1972626521322, 39.9606449740362)
"14","324 N 38TH ST",0.04,0.07,0.1,0.15,0.22,0.13,0.18,0.25,0.34,0.43,0.13,0.18,0.25,0.34,0.43,"Powelton","-75.1970354448378","39.9606471706362",c(-75.1970354448378, 39.9606471706362)
"15","400 N 38TH ST",0.04,0.06,0.1,0.14,0.21,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Powelton","-75.197131762834","39.9608886553559",c(-75.197131762834, 39.9608886553559)
"16","3308-10 HAMILTON ST",0,0,0.01,0.01,0.01,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Powelton","-75.1905881043042","39.96202487774",c(-75.1905881043042, 39.96202487774)
"17","3206 POWELTON AVE",0.04,0.06,0.09,0.13,0.19,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Powelton","-75.1879286878149","39.9602770583278",c(-75.1879286878149, 39.9602770583278)
"18","403 N 33RD ST",0.03,0.05,0.07,0.11,0.16,0.11,0.15,0.21,0.29,0.39,0.11,0.15,0.21,0.29,0.39,"Powelton","-75.18941654869","39.9618372888106",c(-75.18941654869, 39.9618372888106)
"19","3510 HAMILTON ST",0,0,0.01,0.01,0.01,0.18,0.25,0.34,0.43,0.54,0.18,0.25,0.34,0.43,0.54,"Powelton","-75.1937443356518","39.9616779278686",c(-75.1937443356518, 39.9616779278686)
