"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1800 AFTON ST",0.05,0.07,0.11,0.17,0.24,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Rhawnhurst","-75.0650334783625","40.0580461399891",c(-75.0650334783625, 40.0580461399891)
"2","1806 FOX CHASE RD",0.02,0.03,0.05,0.07,0.11,0.18,0.25,0.34,0.44,0.55,0.18,0.25,0.34,0.44,0.55,"Rhawnhurst","-75.0545547876181","40.0688160647513",c(-75.0545547876181, 40.0688160647513)
"3","1820 AFTON ST",0.04,0.06,0.09,0.13,0.2,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Rhawnhurst","-75.0642848518888","40.0576176785201",c(-75.0642848518888, 40.0576176785201)
"4","2316 BORBECK AVE",0.02,0.02,0.04,0.06,0.09,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Rhawnhurst","-75.0525434080419","40.0557165654477",c(-75.0525434080419, 40.0557165654477)
"5","1709 HOFFNAGLE ST",0.01,0.02,0.04,0.05,0.08,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Rhawnhurst","-75.0574951543303","40.0684955412638",c(-75.0574951543303, 40.0684955412638)
"6","2218 EMERSON ST",0.03,0.05,0.08,0.11,0.17,0.22,0.3,0.4,0.5,0.61,0.22,0.3,0.4,0.5,0.61,"Rhawnhurst","-75.0487117047213","40.0621766603509",c(-75.0487117047213, 40.0621766603509)
"7","7926 EASTWOOD ST",0.02,0.03,0.05,0.08,0.12,0.23,0.32,0.42,0.52,0.62,0.23,0.32,0.42,0.52,0.62,"Rhawnhurst","-75.05217559602","40.0574351455138",c(-75.05217559602, 40.0574351455138)
"8","2329 RHAWN ST",0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Rhawnhurst","-75.048982728085","40.0581748756612",c(-75.048982728085, 40.0581748756612)
"9","7707 LANGDON ST",0.03,0.05,0.08,0.12,0.17,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Rhawnhurst","-75.0666276761055","40.0604827564108",c(-75.0666276761055, 40.0604827564108)
"10","1919 AFTON ST",0.02,0.03,0.05,0.07,0.11,0.29,0.38,0.49,0.59,0.69,0.29,0.38,0.49,0.59,0.69,"Rhawnhurst","-75.0620643308251","40.0568733117876",c(-75.0620643308251, 40.0568733117876)
"11","1724 STANWOOD ST",0.02,0.03,0.05,0.07,0.11,0.22,0.3,0.4,0.5,0.61,0.22,0.3,0.4,0.5,0.61,"Rhawnhurst","-75.0590465308808","40.0650598634953",c(-75.0590465308808, 40.0650598634953)
"12","2011 ARTHUR ST",0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Rhawnhurst","-75.0533286862167","40.0633180952238",c(-75.0533286862167, 40.0633180952238)
"13","7736 RICHARD ST",0.01,0.02,0.04,0.05,0.08,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Rhawnhurst","-75.0531480321647","40.0544371021837",c(-75.0531480321647, 40.0544371021837)
"14","7967 LANGDON ST",0.03,0.05,0.07,0.11,0.17,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Rhawnhurst","-75.0622916083064","40.0650865984311",c(-75.0622916083064, 40.0650865984311)
"15","1633 SOLLY AVE",0.02,0.04,0.06,0.09,0.13,0.22,0.3,0.4,0.5,0.61,0.22,0.3,0.4,0.5,0.61,"Rhawnhurst","-75.059254443999","40.0676392200318",c(-75.059254443999, 40.0676392200318)
