address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
3152 GAUL ST,0.04,0.06,0.09,0.13,0.19,0.23,0.32,0.41,0.52,0.62,0.2,0.22,0.25,0.28,0.31,Richmond,-75.106196857509,39.9867132687172,"c(-75.106196857509, 39.9867132687172)"
3148-50 GAUL ST,0.04,0.06,0.09,0.13,0.19,0.24,0.32,0.42,0.52,0.62,0.2,0.22,0.25,0.28,0.31,Richmond,-75.1062920876023,39.9866637619792,"c(-75.1062920876023, 39.9866637619792)"
3073 E THOMPSON ST,0.03,0.05,0.08,0.11,0.17,0.15,0.22,0.3,0.39,0.49,0.2,0.22,0.25,0.28,0.31,Richmond,-75.1056357490568,39.983098965058,"c(-75.1056357490568, 39.983098965058)"
3016 MEMPHIS ST,0.08,0.12,0.17,0.25,0.34,0.08,0.12,0.17,0.24,0.32,0.23,0.25,0.28,0.31,0.35,Richmond,-75.1113021197515,39.9867709814631,"c(-75.1113021197515, 39.9867709814631)"
2947 RUTH ST,0.08,0.12,0.17,0.25,0.34,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Richmond,-75.1187335227671,39.992771851347,"c(-75.1187335227671, 39.992771851347)"
1932 E CAMBRIA ST,0.07,0.11,0.17,0.24,0.34,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Richmond,-75.1189171445502,39.9907117756033,"c(-75.1189171445502, 39.9907117756033)"
1855 E LIPPINCOTT ST,0.08,0.13,0.19,0.27,0.37,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Richmond,-75.1134509528774,39.9950196523748,"c(-75.1134509528774, 39.9950196523748)"
2603 E INDIANA AVE,0.06,0.09,0.14,0.21,0.29,0.12,0.17,0.24,0.33,0.42,0.34,0.37,0.41,0.44,0.48,Richmond,-75.1079765110657,39.9831517937362,"c(-75.1079765110657, 39.9831517937362)"
1861 E WISHART ST,0.08,0.12,0.18,0.26,0.36,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Richmond,-75.1128401009782,39.995076983301,"c(-75.1128401009782, 39.995076983301)"
2345 E SOMERSET ST,0.08,0.11,0.17,0.24,0.34,0.15,0.21,0.29,0.38,0.48,0.22,0.25,0.28,0.31,0.35,Richmond,-75.1155569808814,39.9838265624465,"c(-75.1155569808814, 39.9838265624465)"
2913 BELGRADE ST,0.03,0.05,0.07,0.11,0.16,0.16,0.23,0.31,0.41,0.51,0.2,0.22,0.25,0.28,0.31,Richmond,-75.1114389404633,39.9823682460936,"c(-75.1114389404633, 39.9823682460936)"
2958 ALMOND ST,0.03,0.05,0.07,0.11,0.16,0.16,0.22,0.3,0.4,0.5,0.3,0.33,0.37,0.4,0.44,Richmond,-75.1097421172246,39.9825716919527,"c(-75.1097421172246, 39.9825716919527)"
2620 E VENANGO ST,0.03,0.04,0.06,0.1,0.15,0.26,0.35,0.45,0.55,0.65,0.2,0.22,0.25,0.28,0.31,Richmond,-75.0941313524407,39.9898666270632,"c(-75.0941313524407, 39.9898666270632)"
2642 E ALLEGHENY AVE,0.04,0.06,0.09,0.13,0.19,0.25,0.33,0.43,0.54,0.64,0.3,0.33,0.37,0.4,0.44,Richmond,-75.1031147013318,39.9844255898415,"c(-75.1031147013318, 39.9844255898415)"
3603 BELGRADE ST,0.03,0.05,0.08,0.11,0.17,0.17,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Richmond,-75.0947615168102,39.9911244649355,"c(-75.0947615168102, 39.9911244649355)"
2412 E ALLEGHENY AVE,0.03,0.05,0.08,0.12,0.18,0.16,0.22,0.3,0.39,0.5,0.2,0.22,0.25,0.28,0.31,Richmond,-75.1059767617726,39.9875781439758,"c(-75.1059767617726, 39.9875781439758)"
2432 E CLEARFIELD ST,0.04,0.06,0.09,0.14,0.2,0.17,0.23,0.32,0.41,0.52,0.2,0.22,0.25,0.28,0.31,Richmond,-75.1079364346054,39.9859950158672,"c(-75.1079364346054, 39.9859950158672)"
2000 E CAMBRIA ST,0.05,0.08,0.12,0.17,0.25,0.1,0.14,0.2,0.27,0.36,0.2,0.22,0.25,0.28,0.31,Richmond,-75.1185240265964,39.9903517513701,"c(-75.1185240265964, 39.9903517513701)"
2826 MEMPHIS ST,0.05,0.07,0.11,0.17,0.24,0.1,0.15,0.21,0.29,0.38,0.3,0.33,0.37,0.4,0.44,Richmond,-75.1153441567875,39.9846568732815,"c(-75.1153441567875, 39.9846568732815)"
1933 E SOMERSET ST,0.07,0.11,0.17,0.24,0.33,0.06,0.08,0.12,0.17,0.24,0.34,0.37,0.41,0.44,0.48,Richmond,-75.120788254012,39.9897296963335,"c(-75.120788254012, 39.9897296963335)"
2529 E CLEARFIELD ST,0.04,0.06,0.09,0.14,0.21,0.15,0.22,0.29,0.39,0.49,0.2,0.22,0.25,0.28,0.31,Richmond,-75.1067943165427,39.9852607109026,"c(-75.1067943165427, 39.9852607109026)"
2617 E VENANGO ST,0.04,0.06,0.1,0.14,0.21,0.21,0.28,0.37,0.48,0.58,0.23,0.25,0.28,0.31,0.35,Richmond,-75.0937724166922,39.9900411673482,"c(-75.0937724166922, 39.9900411673482)"
3245 EDGEMONT ST,0.05,0.08,0.11,0.17,0.24,0.12,0.17,0.24,0.32,0.42,0.34,0.37,0.41,0.44,0.48,Richmond,-75.1010590663903,39.9847557749248,"c(-75.1010590663903, 39.9847557749248)"
2735 E ONTARIO ST,0.02,0.03,0.04,0.07,0.1,0.26,0.34,0.44,0.55,0.65,0.33,0.36,0.4,0.43,0.47,Richmond,-75.0968132245562,39.9859871516104,"c(-75.0968132245562, 39.9859871516104)"
2828 EDGEMONT ST,0.03,0.05,0.08,0.12,0.18,0.16,0.23,0.31,0.4,0.51,0.2,0.22,0.25,0.28,0.31,Richmond,-75.1110760642632,39.9799160672201,"c(-75.1110760642632, 39.9799160672201)"
2927 GAUL ST,0.03,0.04,0.06,0.1,0.15,0.14,0.2,0.28,0.37,0.47,0.3,0.33,0.37,0.4,0.44,Richmond,-75.1115975574523,39.9834418980891,"c(-75.1115975574523, 39.9834418980891)"
3098 1/2 RUTH ST,0.08,0.12,0.18,0.25,0.35,0.06,0.08,0.12,0.17,0.24,0.22,0.25,0.28,0.31,0.35,Richmond,-75.115645924391,39.9948072414771,"c(-75.115645924391, 39.9948072414771)"
3280 TILTON ST,0.03,0.05,0.07,0.11,0.16,0.16,0.23,0.31,0.4,0.51,0.2,0.22,0.25,0.28,0.31,Richmond,-75.1003228892032,39.9849637089502,"c(-75.1003228892032, 39.9849637089502)"
3361 MERCER ST,0.02,0.03,0.05,0.08,0.12,0.16,0.23,0.31,0.41,0.51,0.3,0.33,0.37,0.4,0.44,Richmond,-75.0992992605322,39.9871150502451,"c(-75.0992992605322, 39.9871150502451)"
3026 RUTH ST,0.08,0.12,0.18,0.26,0.36,0.08,0.12,0.17,0.23,0.32,0.22,0.25,0.28,0.31,0.35,Richmond,-75.117453336378,39.9938169258136,"c(-75.117453336378, 39.9938169258136)"
3071 WEIKEL ST,0.07,0.1,0.16,0.22,0.31,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Richmond,-75.1110053345601,39.9882237618474,"c(-75.1110053345601, 39.9882237618474)"
2056 E STELLA ST,0.08,0.12,0.18,0.26,0.35,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Richmond,-75.1151221802038,39.99015885887,"c(-75.1151221802038, 39.99015885887)"
2414 E CLEARFIELD ST,0.14,0.21,0.3,0.4,0.51,0.33,0.43,0.53,0.63,0.72,0.63,0.67,0.7,0.73,0.76,Richmond,-75.1082651214432,39.9863404023355,"c(-75.1082651214432, 39.9863404023355)"
3427 MERCER ST,0.02,0.03,0.05,0.07,0.11,0.26,0.34,0.44,0.55,0.65,0.33,0.36,0.4,0.43,0.47,Richmond,-75.0978044824441,39.987876935971,"c(-75.0978044824441, 39.987876935971)"
3230 CHATHAM ST,0.04,0.06,0.09,0.13,0.2,0.13,0.18,0.25,0.34,0.44,0.3,0.33,0.37,0.41,0.44,Richmond,-75.1048046895442,39.9881118147648,"c(-75.1048046895442, 39.9881118147648)"
2107 E CAMBRIA ST,0.07,0.11,0.16,0.23,0.32,0.08,0.12,0.17,0.23,0.32,0.22,0.25,0.28,0.31,0.35,Richmond,-75.1164284971768,39.9885686190933,"c(-75.1164284971768, 39.9885686190933)"
2725 E ANN ST,0.04,0.06,0.09,0.14,0.2,0.16,0.22,0.3,0.39,0.5,0.2,0.22,0.25,0.28,0.31,Richmond,-75.107839251681,39.9806572618545,"c(-75.107839251681, 39.9806572618545)"
3171 KENSINGTON AVE,0.08,0.12,0.18,0.26,0.36,0.14,0.2,0.27,0.36,0.46,0.34,0.37,0.41,0.44,0.48,Richmond,-75.1135376563183,39.9961593685591,"c(-75.1135376563183, 39.9961593685591)"
2978 E THOMPSON ST,0.04,0.06,0.1,0.14,0.21,0.15,0.21,0.29,0.39,0.49,0.3,0.33,0.37,0.41,0.44,Richmond,-75.1082263693109,39.9822135528102,"c(-75.1082263693109, 39.9822135528102)"
3185 ALMOND ST,0.05,0.08,0.13,0.18,0.26,0.13,0.19,0.26,0.34,0.44,0.23,0.25,0.28,0.31,0.35,Richmond,-75.1042203932893,39.9850802642238,"c(-75.1042203932893, 39.9850802642238)"
3025 SALMON ST,0.03,0.05,0.07,0.11,0.16,0.25,0.33,0.43,0.53,0.63,0.46,0.49,0.53,0.57,0.61,Richmond,-75.1057459662474,39.981351310825,"c(-75.1057459662474, 39.981351310825)"
3188 MERCER ST,0.04,0.06,0.08,0.13,0.19,0.16,0.23,0.31,0.4,0.51,0.3,0.33,0.37,0.4,0.44,Richmond,-75.1039901655544,39.9849585790127,"c(-75.1039901655544, 39.9849585790127)"
3048 TULIP ST,0.07,0.1,0.15,0.22,0.3,0.08,0.12,0.17,0.24,0.32,0.22,0.25,0.28,0.31,0.35,Richmond,-75.1111407626508,39.9878773223715,"c(-75.1111407626508, 39.9878773223715)"
2723 WEBB ST,0.03,0.04,0.07,0.1,0.15,0.22,0.3,0.4,0.5,0.6,0.33,0.36,0.4,0.43,0.47,Richmond,-75.1137914427275,39.9785751193607,"c(-75.1137914427275, 39.9785751193607)"
2053 E AUBURN ST,0.05,0.08,0.12,0.18,0.26,0.11,0.15,0.22,0.29,0.39,0.2,0.22,0.25,0.28,0.31,Richmond,-75.1181410925816,39.9886183321956,"c(-75.1181410925816, 39.9886183321956)"
3072 CEDAR ST,0.05,0.08,0.12,0.18,0.25,0.12,0.17,0.23,0.32,0.41,0.3,0.33,0.37,0.4,0.44,Richmond,-75.109152559813,39.9865618628594,"c(-75.109152559813, 39.9865618628594)"
