address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1945 PINE ST,0.02,0.04,0.06,0.09,0.14,0.41,0.51,0.62,0.71,0.79,0.2,0.22,0.25,0.28,0.31,Rittenhouse,-75.174490375146,39.946881103297,"c(-75.174490375146, 39.946881103297)"
1902 SANSOM ST,0.04,0.06,0.09,0.13,0.19,0.17,0.24,0.33,0.43,0.53,0.23,0.26,0.29,0.32,0.35,Rittenhouse,-75.1725948548687,39.9510028504139,"c(-75.1725948548687, 39.9510028504139)"
1917 WALNUT ST,0,0,0.01,0.01,0.01,0.36,0.46,0.56,0.66,0.75,0.24,0.27,0.3,0.33,0.37,Rittenhouse,-75.1731889067569,39.9507306758808,"c(-75.1731889067569, 39.9507306758808)"
1420 LOCUST ST,0.06,0.1,0.14,0.21,0.29,0.49,0.59,0.69,0.77,0.84,0.7,0.73,0.76,0.79,0.81,Rittenhouse,-75.1658299835584,39.9479280572632,"c(-75.1658299835584, 39.9479280572632)"
2232 LOCUST ST,0.03,0.04,0.06,0.09,0.14,0.28,0.37,0.47,0.57,0.67,0.23,0.26,0.29,0.32,0.35,Rittenhouse,-75.1786766058004,39.9497459247244,"c(-75.1786766058004, 39.9497459247244)"
108 S 20TH ST,0.05,0.07,0.11,0.16,0.23,0.32,0.42,0.52,0.62,0.72,0.34,0.37,0.41,0.45,0.48,Rittenhouse,-75.1737680958568,39.9517096027422,"c(-75.1737680958568, 39.9517096027422)"
2018-32 WALNUT ST,0.04,0.06,0.09,0.13,0.19,0.29,0.38,0.48,0.59,0.68,0.5,0.53,0.57,0.61,0.65,Rittenhouse,-75.1750840358734,39.9503246121648,"c(-75.1750840358734, 39.9503246121648)"
50 S 16TH ST,0.06,0.1,0.15,0.21,0.3,0.58,0.68,0.76,0.83,0.88,0.77,0.79,0.82,0.84,0.86,Rittenhouse,-75.166879102334,39.9517063727658,"c(-75.166879102334, 39.9517063727658)"
2101-17 CHESTNUT ST,0.03,0.05,0.08,0.12,0.18,0.17,0.24,0.32,0.42,0.53,0.34,0.37,0.41,0.44,0.48,Rittenhouse,-75.1757658590672,39.9526260239388,"c(-75.1757658590672, 39.9526260239388)"
1830 PINE ST,0,0,0.01,0.01,0.02,0.25,0.34,0.44,0.54,0.64,0.39,0.43,0.47,0.51,0.55,Rittenhouse,-75.1727622032808,39.9463160510969,"c(-75.1727622032808, 39.9463160510969)"
2429-41 LOCUST ST,0.02,0.04,0.06,0.09,0.13,0.26,0.35,0.45,0.55,0.65,0.5,0.53,0.57,0.61,0.65,Rittenhouse,-75.1806214738975,39.9504421883697,"c(-75.1806214738975, 39.9504421883697)"
2216 LOCUST ST,0.06,0.09,0.13,0.19,0.27,0.45,0.55,0.65,0.74,0.81,0.46,0.5,0.54,0.57,0.61,Rittenhouse,-75.1782344962606,39.9496919775954,"c(-75.1782344962606, 39.9496919775954)"
212-24 S 24TH ST,0.03,0.04,0.07,0.1,0.15,0.25,0.33,0.43,0.53,0.64,0.5,0.54,0.57,0.61,0.65,Rittenhouse,-75.1802587205177,39.9507332885405,"c(-75.1802587205177, 39.9507332885405)"
1806-18 RITTENHOUSE SQ,0.04,0.06,0.09,0.13,0.19,0.16,0.23,0.31,0.41,0.51,0.23,0.25,0.28,0.32,0.35,Rittenhouse,-75.1716823922282,39.9484139805147,"c(-75.1716823922282, 39.9484139805147)"
1906 NAUDAIN ST,0.02,0.03,0.05,0.07,0.11,0.3,0.4,0.5,0.6,0.7,0.46,0.5,0.53,0.57,0.61,Rittenhouse,-75.1737633821119,39.9451127813544,"c(-75.1737633821119, 39.9451127813544)"
1936 LOMBARD ST,0.04,0.06,0.09,0.13,0.2,0.21,0.29,0.39,0.49,0.59,0.5,0.54,0.57,0.61,0.65,Rittenhouse,-75.1744721624296,39.9456237115316,"c(-75.1744721624296, 39.9456237115316)"
512 S 22ND ST,0.03,0.04,0.07,0.1,0.16,0.18,0.26,0.34,0.44,0.55,0.34,0.37,0.41,0.45,0.48,Rittenhouse,-75.1785988496836,39.9459954917042,"c(-75.1785988496836, 39.9459954917042)"
1414 S PENN SQ,0.04,0.06,0.09,0.13,0.19,0.55,0.65,0.74,0.81,0.87,0.48,0.52,0.56,0.6,0.63,Rittenhouse,-75.1649372861668,39.9514844852266,"c(-75.1649372861668, 39.9514844852266)"
250 S 18TH ST,0.04,0.06,0.09,0.14,0.2,0.23,0.31,0.41,0.51,0.62,0.34,0.38,0.41,0.45,0.49,Rittenhouse,-75.171254196354,39.9483596017018,"c(-75.171254196354, 39.9483596017018)"
