address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
311-13 N FRONT ST,0.02,0.04,0.06,0.09,0.13,0.15,0.22,0.29,0.39,0.49,0.34,0.37,0.41,0.45,0.48,Riverfront,-75.1401179594713,39.9558460890319,"c(-75.1401179594713, 39.9558460890319)"
717 S CHRISTOPHER COLUMBUS BLVD,0.05,0.07,0.11,0.16,0.24,0.37,0.47,0.57,0.67,0.76,0.6,0.63,0.67,0.7,0.73,Riverfront,-75.1410178371013,39.9390845650118,"c(-75.1410178371013, 39.9390845650118)"
1 CHRISTIAN ST,0.02,0.04,0.06,0.09,0.14,0.2,0.27,0.36,0.46,0.57,0.36,0.4,0.44,0.47,0.51,Riverfront,-75.143143265176,39.9361387666392,"c(-75.143143265176, 39.9361387666392)"
1 QUEEN ST,0.02,0.04,0.06,0.09,0.13,0.22,0.3,0.39,0.49,0.6,0.36,0.4,0.44,0.47,0.51,Riverfront,-75.1431457413096,39.9364472547327,"c(-75.1431457413096, 39.9364472547327)"
740 S CHRISTOPHER COLUMBUS BLVD,0.06,0.09,0.14,0.2,0.29,0.35,0.45,0.56,0.66,0.75,0.48,0.51,0.55,0.59,0.63,Riverfront,-75.1428318005114,39.9377572606398,"c(-75.1428318005114, 39.9377572606398)"
17 CHRISTIAN ST,0.02,0.03,0.04,0.07,0.1,0.21,0.29,0.38,0.48,0.59,0.46,0.5,0.53,0.57,0.61,Riverfront,-75.144115794211,39.9354208297218,"c(-75.144115794211, 39.9354208297218)"
876 INDEPENDENCE CT,0.02,0.03,0.04,0.07,0.1,0.23,0.32,0.41,0.52,0.62,0.46,0.5,0.53,0.57,0.61,Riverfront,-75.1436819553198,39.9354323650955,"c(-75.1436819553198, 39.9354323650955)"
401-11 N FRONT ST,0.03,0.04,0.06,0.09,0.14,0.17,0.24,0.33,0.42,0.53,0.5,0.53,0.57,0.61,0.65,Riverfront,-75.1396972084313,39.9571595231221,"c(-75.1396972084313, 39.9571595231221)"
3 N CHRISTOPHER COLUMBUS BLVD,0.09,0.14,0.21,0.29,0.39,0.37,0.48,0.58,0.68,0.76,0.61,0.64,0.68,0.71,0.74,Riverfront,-75.1394447335802,39.9504078318224,"c(-75.1394447335802, 39.9504078318224)"
7 N CHRISTOPHER COLUMBUS BLVD,0.02,0.04,0.06,0.09,0.13,0.15,0.22,0.3,0.39,0.49,0.23,0.25,0.28,0.32,0.35,Riverfront,-75.1391050290635,39.9515125502736,"c(-75.1391050290635, 39.9515125502736)"
315-17 N FRONT ST,0.02,0.04,0.06,0.09,0.13,0.13,0.19,0.27,0.35,0.45,0.34,0.37,0.41,0.45,0.48,Riverfront,-75.1400871263776,39.9559440460255,"c(-75.1400871263776, 39.9559440460255)"
826 S SWANSON ST,0.03,0.04,0.07,0.1,0.15,0.43,0.54,0.64,0.73,0.8,0.36,0.4,0.44,0.48,0.51,Riverfront,-75.143480274746,39.9360971459176,"c(-75.143480274746, 39.9360971459176)"
854 INDEPENDENCE CT,0.02,0.03,0.04,0.07,0.1,0.22,0.3,0.39,0.5,0.6,0.33,0.36,0.4,0.43,0.47,Riverfront,-75.1440137011219,39.9356899150226,"c(-75.1440137011219, 39.9356899150226)"
814 S SWANSON ST,0.02,0.03,0.04,0.07,0.1,0.27,0.36,0.46,0.56,0.66,0.46,0.5,0.54,0.57,0.61,Riverfront,-75.14350152907,39.9367078934256,"c(-75.14350152907, 39.9367078934256)"
858 INDEPENDENCE CT,0.02,0.03,0.04,0.07,0.1,0.16,0.23,0.31,0.41,0.51,0.2,0.23,0.25,0.28,0.31,Riverfront,-75.1440485879462,39.9355777303321,"c(-75.1440485879462, 39.9355777303321)"
10 QUEEN ST,0.02,0.03,0.05,0.07,0.11,0.22,0.3,0.39,0.5,0.6,0.33,0.36,0.4,0.44,0.47,Riverfront,-75.1436975054156,39.9362507434035,"c(-75.1436975054156, 39.9362507434035)"
856 INDEPENDENCE CT,0.02,0.03,0.04,0.07,0.1,0.22,0.3,0.39,0.5,0.6,0.33,0.36,0.4,0.43,0.47,Riverfront,-75.144030691644,39.9356344773421,"c(-75.144030691644, 39.9356344773421)"
5 CHRISTIAN ST,0.02,0.03,0.04,0.07,0.1,0.21,0.29,0.38,0.48,0.59,0.46,0.5,0.53,0.57,0.61,Riverfront,-75.143701291103,39.9353026526973,"c(-75.143701291103, 39.9353026526973)"
7 CHRISTIAN ST,0.02,0.03,0.04,0.07,0.1,0.21,0.29,0.38,0.48,0.59,0.46,0.5,0.53,0.57,0.61,Riverfront,-75.1437689381466,39.9353201813498,"c(-75.1437689381466, 39.9353201813498)"
343 N FRONT ST,0.02,0.04,0.06,0.09,0.13,0.18,0.26,0.34,0.44,0.55,0.5,0.53,0.57,0.61,0.64,Riverfront,-75.1398400715503,39.9567231129636,"c(-75.1398400715503, 39.9567231129636)"
846 INDEPENDENCE CT,0.02,0.03,0.04,0.07,0.1,0.24,0.33,0.43,0.53,0.63,0.33,0.36,0.4,0.44,0.47,Riverfront,-75.1438866952449,39.9359207813069,"c(-75.1438866952449, 39.9359207813069)"
838 INDEPENDENCE CT,0.02,0.03,0.05,0.07,0.11,0.26,0.35,0.45,0.55,0.65,0.33,0.36,0.4,0.44,0.47,Riverfront,-75.143754136039,39.936137662642,"c(-75.143754136039, 39.936137662642)"
347 N WATER ST,0.03,0.04,0.07,0.1,0.15,0.27,0.36,0.46,0.56,0.66,0.5,0.53,0.57,0.61,0.64,Riverfront,-75.1395141092931,39.9567537292575,"c(-75.1395141092931, 39.9567537292575)"
9 CHRISTIAN ST,0.02,0.03,0.04,0.07,0.1,0.21,0.29,0.38,0.48,0.59,0.33,0.36,0.4,0.43,0.47,Riverfront,-75.1438361002003,39.9353383323593,"c(-75.1438361002003, 39.9353383323593)"
3 N CHRIS COLUMBUS BLVD,0.02,0.04,0.06,0.09,0.13,0.18,0.25,0.33,0.43,0.54,0.34,0.37,0.41,0.44,0.48,Riverfront,-75.1394447335802,39.9504078318224,"c(-75.1394447335802, 39.9504078318224)"
740 S CHRIS COLUMBUS BLVD,0.02,0.04,0.06,0.09,0.14,0.2,0.28,0.37,0.47,0.58,0.36,0.4,0.43,0.47,0.51,Riverfront,-75.1430676390694,39.9381220710983,"c(-75.1430676390694, 39.9381220710983)"
717 S CHRIS COLUMBUS BLVD,0.02,0.03,0.05,0.08,0.12,0.25,0.34,0.44,0.55,0.65,0.36,0.4,0.44,0.47,0.51,Riverfront,-75.1410178371013,39.9390845650118,"c(-75.1410178371013, 39.9390845650118)"
