"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","301 PAOLI AVE",0.02,0.03,0.04,0.07,0.1,0.22,0.3,0.39,0.49,0.6,0.22,0.3,0.39,0.49,0.6,"Roxborough Park","-75.234643777587","40.0396372838755",c(-75.234643777587, 40.0396372838755)
"2","100 PARKER AVE",0.06,0.09,0.13,0.2,0.28,0.26,0.35,0.45,0.55,0.65,0.26,0.35,0.45,0.55,0.65,"Roxborough Park","-75.2338458212061","40.0361512464935",c(-75.2338458212061, 40.0361512464935)
"3","6822 RIDGE AVE",0.04,0.06,0.09,0.14,0.2,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Roxborough Park","-75.2273522141873","40.042667352116",c(-75.2273522141873, 40.042667352116)
"4","6804 RIDGE AVE",0.04,0.06,0.1,0.14,0.21,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Roxborough Park","-75.2266564221884","40.0424472897901",c(-75.2266564221884, 40.0424472897901)
"5","419 LIVEZEY ST",0.03,0.04,0.06,0.09,0.14,0.26,0.35,0.45,0.55,0.65,0.26,0.35,0.45,0.55,0.65,"Roxborough Park","-75.2302137764155","40.0414659649983",c(-75.2302137764155, 40.0414659649983)
"6","6962 PAWLING ST",0.02,0.03,0.05,0.07,0.11,0.26,0.35,0.45,0.55,0.65,0.26,0.35,0.45,0.55,0.65,"Roxborough Park","-75.2331307229422","40.0407160665687",c(-75.2331307229422, 40.0407160665687)
"7","307 LODGE RD",0.02,0.03,0.05,0.07,0.11,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Roxborough Park","-75.2338654442013","40.0376165170227",c(-75.2338654442013, 40.0376165170227)
"8","364 LIVEZEY ST",0.03,0.04,0.07,0.1,0.15,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Roxborough Park","-75.2337795729847","40.0390632000597",c(-75.2337795729847, 40.0390632000597)
"9","262 PARKER AVE",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Roxborough Park","-75.2315982085335","40.0382103903768",c(-75.2315982085335, 40.0382103903768)
"10","415 ULMER ST",0.02,0.04,0.06,0.09,0.13,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"Roxborough Park","-75.2284954159929","40.0427667419966",c(-75.2284954159929, 40.0427667419966)
"11","6820 PECHIN ST",0.04,0.06,0.09,0.13,0.19,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Roxborough Park","-75.2290003892027","40.0415264762569",c(-75.2290003892027, 40.0415264762569)
"12","6936 RIDGE AVE",0.03,0.05,0.07,0.11,0.17,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Roxborough Park","-75.2286477390288","40.0436530076019",c(-75.2286477390288, 40.0436530076019)
"13","6945 MANTI ST",0.02,0.03,0.05,0.07,0.11,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Roxborough Park","-75.2327065409923","40.0396350832848",c(-75.2327065409923, 40.0396350832848)
"14","300 PARKER AVE",0.01,0.02,0.03,0.05,0.08,0.22,0.3,0.39,0.5,0.6,0.22,0.3,0.39,0.5,0.6,"Roxborough Park","-75.2295178241138","40.0400606956607",c(-75.2295178241138, 40.0400606956607)
"15","361 LIVEZEY ST",0.02,0.03,0.05,0.07,0.11,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Roxborough Park","-75.2335167476744","40.0387138242527",c(-75.2335167476744, 40.0387138242527)
"16","260 PARKER AVE",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Roxborough Park","-75.2316571430311","40.0381587716839",c(-75.2316571430311, 40.0381587716839)
"17","276 PARKER AVE",0.02,0.03,0.05,0.08,0.12,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Roxborough Park","-75.231259453617","40.0385077569461",c(-75.231259453617, 40.0385077569461)
"18","398 PARKER AVE",0.03,0.05,0.08,0.12,0.18,0.12,0.18,0.24,0.33,0.43,0.12,0.18,0.24,0.33,0.43,"Roxborough Park","-75.2284038152731","40.0410406848896",c(-75.2284038152731, 40.0410406848896)
