address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
419 GREEN LN,0.03,0.04,0.06,0.09,0.14,0.14,0.2,0.28,0.37,0.47,0.2,0.22,0.25,0.28,0.31,Roxborough,-75.2180413734766,40.0321794864368,"c(-75.2180413734766, 40.0321794864368)"
4096 PECHIN ST,0.04,0.06,0.09,0.13,0.19,0.18,0.25,0.34,0.44,0.54,0.5,0.53,0.57,0.61,0.64,Roxborough,-75.2128601093561,40.0251082468798,"c(-75.2128601093561, 40.0251082468798)"
431 RIPKA ST,0.02,0.04,0.06,0.09,0.14,0.23,0.31,0.4,0.51,0.61,0.46,0.49,0.53,0.57,0.61,Roxborough,-75.2205273266499,40.0347666500032,"c(-75.2205273266499, 40.0347666500032)"
512 KINGSLEY CT,0.03,0.04,0.06,0.09,0.14,0.22,0.3,0.39,0.5,0.6,0.46,0.49,0.53,0.57,0.61,Roxborough,-75.2082739942272,40.0263549414234,"c(-75.2082739942272, 40.0263549414234)"
3866 MANAYUNK AVE,0.03,0.05,0.07,0.11,0.17,0.13,0.18,0.26,0.34,0.44,0.34,0.37,0.41,0.44,0.48,Roxborough,-75.2120642161844,40.0212533541722,"c(-75.2120642161844, 40.0212533541722)"
360 GREEN LN,0.03,0.04,0.06,0.1,0.14,0.16,0.22,0.3,0.39,0.5,0.2,0.22,0.25,0.28,0.31,Roxborough,-75.2199524814706,40.0317913568552,"c(-75.2199524814706, 40.0317913568552)"
475 HERMITAGE ST,0.03,0.05,0.08,0.12,0.18,0.13,0.18,0.25,0.34,0.44,0.23,0.25,0.28,0.32,0.35,Roxborough,-75.2195593661904,40.036015362404,"c(-75.2195593661904, 40.036015362404)"
478 RIPKA ST,0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.33,0.43,0.54,0.3,0.33,0.37,0.41,0.44,Roxborough,-75.2193179940485,40.0357800595086,"c(-75.2193179940485, 40.0357800595086)"
4032 PECHIN ST,0.02,0.04,0.06,0.09,0.14,0.17,0.24,0.32,0.42,0.52,0.3,0.33,0.37,0.4,0.44,Roxborough,-75.2121111628031,40.0240701398553,"c(-75.2121111628031, 40.0240701398553)"
493 MARKLE ST,0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,Roxborough,-75.2091245189109,40.0249975633386,"c(-75.2091245189109, 40.0249975633386)"
341 HERMITAGE ST,0.03,0.05,0.07,0.11,0.16,0.19,0.26,0.35,0.44,0.55,0.36,0.4,0.43,0.47,0.51,Roxborough,-75.2238189235385,40.0341655767677,"c(-75.2238189235385, 40.0341655767677)"
4301 MANAYUNK AVE,0.03,0.04,0.06,0.1,0.14,0.12,0.17,0.24,0.33,0.42,0.34,0.37,0.41,0.44,0.48,Roxborough,-75.2165014157536,40.0277885503977,"c(-75.2165014157536, 40.0277885503977)"
338 RECTOR ST,0.03,0.04,0.07,0.1,0.15,0.13,0.19,0.26,0.35,0.45,0.34,0.37,0.41,0.44,0.48,Roxborough,-75.2151397142315,40.0275132075077,"c(-75.2151397142315, 40.0275132075077)"
3827 TERRACE ST,0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.39,0.49,0.59,0.46,0.49,0.53,0.57,0.61,Roxborough,-75.2119934398204,40.0200168189258,"c(-75.2119934398204, 40.0200168189258)"
533 DUPONT ST,0.02,0.03,0.04,0.07,0.1,0.15,0.22,0.3,0.39,0.49,0.3,0.33,0.37,0.41,0.44,Roxborough,-75.2150082403406,40.0349828805714,"c(-75.2150082403406, 40.0349828805714)"
672 JAMESTOWN AVE,0.03,0.04,0.07,0.1,0.15,0.14,0.19,0.27,0.36,0.46,0.23,0.25,0.28,0.31,0.35,Roxborough,-75.2045804280578,40.0308787040862,"c(-75.2045804280578, 40.0308787040862)"
611-15 ROXBOROUGH AVE,0.04,0.06,0.09,0.13,0.19,0.13,0.19,0.26,0.35,0.45,0.23,0.25,0.28,0.31,0.35,Roxborough,-75.2085735107007,40.0308104916973,"c(-75.2085735107007, 40.0308104916973)"
443 DUPONT ST,0.02,0.03,0.05,0.08,0.12,0.12,0.17,0.24,0.33,0.43,0.3,0.33,0.37,0.4,0.44,Roxborough,-75.2182358348862,40.0333136451115,"c(-75.2182358348862, 40.0333136451115)"
4206 HOUGHTON ST,0.03,0.05,0.08,0.12,0.18,0.13,0.19,0.26,0.35,0.45,0.34,0.37,0.41,0.44,0.48,Roxborough,-75.2082583699859,40.0295050287689,"c(-75.2082583699859, 40.0295050287689)"
5874 MAGDALENA ST,0.02,0.04,0.06,0.08,0.13,0.23,0.31,0.41,0.51,0.61,0.46,0.49,0.53,0.57,0.61,Roxborough,-75.2055268624748,40.031945127176,"c(-75.2055268624748, 40.031945127176)"
3869 MANAYUNK AVE,0.02,0.03,0.05,0.08,0.12,0.17,0.24,0.32,0.42,0.52,0.3,0.33,0.37,0.41,0.44,Roxborough,-75.2116311908808,40.0213995451715,"c(-75.2116311908808, 40.0213995451715)"
518 MARTIN ST,0.02,0.03,0.04,0.06,0.1,0.16,0.23,0.31,0.4,0.51,0.2,0.22,0.25,0.28,0.31,Roxborough,-75.2128193390846,40.032371102751,"c(-75.2128193390846, 40.032371102751)"
502 GERHARD ST,0.01,0.02,0.03,0.04,0.06,0.17,0.24,0.32,0.42,0.52,0.41,0.45,0.49,0.53,0.57,Roxborough,-75.211632500377,40.0311001146941,"c(-75.211632500377, 40.0311001146941)"
4070 MANAYUNK AVE,0.03,0.04,0.06,0.09,0.14,0.21,0.28,0.38,0.48,0.58,0.46,0.49,0.53,0.57,0.61,Roxborough,-75.2138134476952,40.0236175551851,"c(-75.2138134476952, 40.0236175551851)"
435 MARKLE ST,0.03,0.04,0.07,0.1,0.15,0.24,0.33,0.42,0.53,0.63,0.46,0.49,0.53,0.57,0.61,Roxborough,-75.2107019721187,40.0242294993718,"c(-75.2107019721187, 40.0242294993718)"
6170 LAWNTON ST,0.02,0.04,0.06,0.09,0.13,0.14,0.19,0.27,0.36,0.46,0.22,0.25,0.28,0.31,0.35,Roxborough,-75.2144499142143,40.0364281055234,"c(-75.2144499142143, 40.0364281055234)"
