"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","2440 HARLAN ST",0.03,0.05,0.08,0.11,0.17,0.12,0.17,0.24,0.33,0.42,0.12,0.17,0.24,0.33,0.42,"Sharswood","-75.1760671320914","39.9769713579026",c(-75.1760671320914, 39.9769713579026)
"2","1217 N TAYLOR ST",0.05,0.07,0.11,0.16,0.23,0.09,0.14,0.2,0.27,0.36,0.09,0.14,0.2,0.27,0.36,"Sharswood","-75.1762486381207","39.9750535701937",c(-75.1762486381207, 39.9750535701937)
"3","2352 W THOMPSON ST",0.12,0.18,0.26,0.36,0.47,0.13,0.19,0.26,0.34,0.44,0.13,0.19,0.26,0.34,0.44,"Sharswood","-75.1752019904169","39.9751189295405",c(-75.1752019904169, 39.9751189295405)
"4","2431 JEFFERSON ST",0.04,0.07,0.1,0.16,0.23,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Sharswood","-75.1756436259195","39.9782157435593",c(-75.1756436259195, 39.9782157435593)
"5","1333 N 21ST ST",0.05,0.08,0.12,0.18,0.25,0.07,0.11,0.16,0.22,0.3,0.07,0.11,0.16,0.22,0.3,"Sharswood","-75.170101919002","39.9753673657548",c(-75.170101919002, 39.9753673657548)
"6","2331 W THOMPSON ST",0.05,0.07,0.11,0.16,0.24,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Sharswood","-75.1746225968009","39.9753935067143",c(-75.1746225968009, 39.9753935067143)
"7","2227 W THOMPSON ST",0.05,0.08,0.13,0.18,0.26,0.1,0.15,0.21,0.28,0.38,0.1,0.15,0.21,0.28,0.38,"Sharswood","-75.1729338244572","39.9751712140974",c(-75.1729338244572, 39.9751712140974)
"8","2440 SHARSWOOD ST",0.05,0.07,0.11,0.16,0.24,0.09,0.14,0.19,0.27,0.36,0.09,0.14,0.19,0.27,0.36,"Sharswood","-75.1761803991991","39.9772939288297",c(-75.1761803991991, 39.9772939288297)
"9","1259 N 23RD ST",0.05,0.08,0.13,0.18,0.26,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Sharswood","-75.1735465554454","39.9748707112415",c(-75.1735465554454, 39.9748707112415)
"10","2426 W THOMPSON ST",0.05,0.08,0.12,0.18,0.26,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Sharswood","-75.1764278238971","39.9752836780691",c(-75.1764278238971, 39.9752836780691)
"11","2424 W THOMPSON ST",0.05,0.07,0.11,0.16,0.24,0.1,0.14,0.2,0.27,0.36,0.1,0.14,0.2,0.27,0.36,"Sharswood","-75.1762576940905","39.9752615529908",c(-75.1762576940905, 39.9752615529908)
"12","1307 N 25TH ST",0.05,0.07,0.11,0.17,0.24,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Sharswood","-75.1766353315268","39.9756964026411",c(-75.1766353315268, 39.9756964026411)
"13","2427 W THOMPSON ST",0.06,0.09,0.13,0.19,0.27,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Sharswood","-75.1762257962868","39.9756193250357",c(-75.1762257962868, 39.9756193250357)
