address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
13675 PHILMONT AVE,0.02,0.03,0.05,0.07,0.11,0.15,0.21,0.29,0.38,0.48,0.36,0.4,0.44,0.47,0.51,Somerton,-75.0079277023864,40.1323714325481,"c(-75.0079277023864, 40.1323714325481)"
10192 DEDAKER DR,0.02,0.04,0.06,0.09,0.14,0.18,0.25,0.34,0.44,0.54,0.23,0.25,0.28,0.32,0.35,Somerton,-75.0209499694929,40.1043594608271,"c(-75.0209499694929, 40.1043594608271)"
10229 SELMER PLZ,0.03,0.04,0.06,0.09,0.14,0.21,0.28,0.37,0.48,0.58,0.2,0.22,0.25,0.28,0.31,Somerton,-75.0284643659019,40.1103937049834,"c(-75.0284643659019, 40.1103937049834)"
11719 CENTENNIAL SQ W,0.03,0.05,0.07,0.11,0.16,0.24,0.32,0.42,0.52,0.62,0.36,0.4,0.43,0.47,0.51,Somerton,-75.0139361862705,40.1183469336775,"c(-75.0139361862705, 40.1183469336775)"
408 MAPLE AVE,0.01,0.02,0.03,0.05,0.08,0.21,0.29,0.38,0.48,0.58,0.3,0.33,0.37,0.4,0.44,Somerton,-75.0161066089022,40.1320141965636,"c(-75.0161066089022, 40.1320141965636)"
110-30 BYBERRY RD,0.03,0.04,0.07,0.1,0.15,0.15,0.22,0.3,0.39,0.49,0.34,0.37,0.41,0.44,0.48,Somerton,-75.0243483069683,40.1279938642901,"c(-75.0243483069683, 40.1279938642901)"
809 RED LION RD,0.04,0.06,0.09,0.13,0.19,0.22,0.3,0.39,0.49,0.6,0.36,0.4,0.43,0.47,0.51,Somerton,-75.0313504494362,40.1047686329693,"c(-75.0313504494362, 40.1047686329693)"
10163 FERNDALE ST,0.02,0.04,0.06,0.09,0.13,0.21,0.29,0.38,0.48,0.58,0.3,0.33,0.37,0.41,0.44,Somerton,-75.0287946443565,40.1077674314334,"c(-75.0287946443565, 40.1077674314334)"
10209 FERNDALE ST,0.04,0.06,0.09,0.13,0.2,0.16,0.22,0.3,0.39,0.5,0.34,0.37,0.41,0.44,0.48,Somerton,-75.0266656917475,40.1088496534592,"c(-75.0266656917475, 40.1088496534592)"
10230 SELMER PLZ,0.03,0.04,0.06,0.09,0.14,0.2,0.28,0.37,0.48,0.58,0.2,0.22,0.25,0.28,0.31,Somerton,-75.0288752488464,40.1107697998262,"c(-75.0288752488464, 40.1107697998262)"
