"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","176 HANSBERRY ST",0.06,0.09,0.13,0.19,0.28,0.07,0.11,0.15,0.22,0.3,0.07,0.11,0.15,0.22,0.3,"Southwest Germantown","-75.1704994099002","40.0275338882573",c(-75.1704994099002, 40.0275338882573)
"2","4908-14 GERMANTOWN AVE",0,0.01,0.01,0.02,0.03,0.17,0.23,0.31,0.41,0.52,0.17,0.23,0.31,0.41,0.52,"Southwest Germantown","-75.1626683206932","40.0281306111332",c(-75.1626683206932, 40.0281306111332)
"3","33 WYNEVA ST",0.04,0.06,0.08,0.13,0.19,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Southwest Germantown","-75.1620626942509","40.026706434152",c(-75.1620626942509, 40.026706434152)
"4","319 MANHEIM ST",0.03,0.05,0.08,0.12,0.17,0.12,0.18,0.24,0.33,0.43,0.12,0.18,0.24,0.33,0.43,"Southwest Germantown","-75.171469408054","40.0241696989932",c(-75.171469408054, 40.0241696989932)
"5","222 W ABBOTTSFORD AVE",0.05,0.08,0.11,0.17,0.24,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Southwest Germantown","-75.1650346518777","40.0231006881879",c(-75.1650346518777, 40.0231006881879)
"6","174 W SEYMOUR ST",0.03,0.04,0.07,0.1,0.15,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Southwest Germantown","-75.1670278067422","40.0256562881796",c(-75.1670278067422, 40.0256562881796)
"7","163 WYNEVA ST",0.05,0.07,0.11,0.16,0.23,0.09,0.13,0.19,0.26,0.34,0.09,0.13,0.19,0.26,0.34,"Southwest Germantown","-75.1646280365459","40.0248855864375",c(-75.1646280365459, 40.0248855864375)
"8","309 ZERALDA ST",0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Southwest Germantown","-75.1649678409369","40.0212252501731",c(-75.1649678409369, 40.0212252501731)
"9","223 W CLAPIER ST",0.04,0.06,0.09,0.13,0.19,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Southwest Germantown","-75.1676112860561","40.0246577440298",c(-75.1676112860561, 40.0246577440298)
"10","5109 MARION ST",0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Southwest Germantown","-75.1677601546382","40.0283018728542",c(-75.1677601546382, 40.0283018728542)
"11","141 APSLEY ST",0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Southwest Germantown","-75.1625470108841","40.0236911702818",c(-75.1625470108841, 40.0236911702818)
"12","4532 FERNHILL RD",0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Southwest Germantown","-75.1656595010636","40.0202639465718",c(-75.1656595010636, 40.0202639465718)
"13","138 HANSBERRY ST",0.05,0.08,0.13,0.19,0.27,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Southwest Germantown","-75.1694144679699","40.0285526267115",c(-75.1694144679699, 40.0285526267115)
"14","4632 NEWHALL ST",0.05,0.08,0.11,0.17,0.24,0.09,0.14,0.19,0.27,0.36,0.09,0.14,0.19,0.27,0.36,"Southwest Germantown","-75.1651932815524","40.022633169242",c(-75.1651932815524, 40.022633169242)
"15","150 MANHEIM ST",0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.22,0.3,0.08,0.11,0.16,0.22,0.3,"Southwest Germantown","-75.1678913897153","40.0272384154985",c(-75.1678913897153, 40.0272384154985)
"16","5006 ERRINGER PL",0.04,0.07,0.1,0.15,0.22,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Southwest Germantown","-75.1715220351274","40.0206813976069",c(-75.1715220351274, 40.0206813976069)
"17","25 W ROCKLAND ST",0.05,0.08,0.11,0.17,0.24,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Southwest Germantown","-75.1621807029714","40.0274582383336",c(-75.1621807029714, 40.0274582383336)
"18","4931 PORTICO ST",0.05,0.07,0.11,0.16,0.23,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Southwest Germantown","-75.1634383458023","40.0285041365544",c(-75.1634383458023, 40.0285041365544)
"19","4520 FERNHILL RD",0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Southwest Germantown","-75.1654112870108","40.0200791438795",c(-75.1654112870108, 40.0200791438795)
"20","4940 WAYNE AVE",0.03,0.04,0.06,0.09,0.14,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Southwest Germantown","-75.1675164756221","40.0250457478792",c(-75.1675164756221, 40.0250457478792)
"21","133 WYNEVA ST",0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Southwest Germantown","-75.1639103724265","40.0254487008561",c(-75.1639103724265, 40.0254487008561)
"22","4944 WAYNE AVE",0.03,0.04,0.06,0.09,0.14,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Southwest Germantown","-75.1676029394288","40.025094070093",c(-75.1676029394288, 40.025094070093)
"23","4942 WAYNE AVE",0.03,0.04,0.06,0.09,0.14,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Southwest Germantown","-75.1675600091604","40.0250695891605",c(-75.1675600091604, 40.0250695891605)
"24","236 BERKLEY ST",0.04,0.07,0.1,0.15,0.22,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Southwest Germantown","-75.1628610067918","40.0215185789941",c(-75.1628610067918, 40.0215185789941)
"25","4551 PULASKI AVE",0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Southwest Germantown","-75.1647099867785","40.0217029815409",c(-75.1647099867785, 40.0217029815409)
