"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1843 S YEWDALL ST",0.03,0.05,0.07,0.11,0.17,0.09,0.14,0.19,0.27,0.36,0.09,0.14,0.19,0.27,0.36,"Southwest Schuylkill","-75.2183933062931","39.9353831400618",c(-75.2183933062931, 39.9353831400618)
"2","5302 GRAYS AVE",0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.22,0.31,0.08,0.11,0.16,0.22,0.31,"Southwest Schuylkill","-75.2148696440955","39.9350291746608",c(-75.2148696440955, 39.9350291746608)
"3","5226 REINHARD ST",0.06,0.1,0.14,0.21,0.29,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Southwest Schuylkill","-75.2189266198514","39.9395635564741",c(-75.2189266198514, 39.9395635564741)
"4","1216 S 50TH ST",0.04,0.06,0.1,0.15,0.21,0.11,0.15,0.22,0.29,0.39,0.11,0.15,0.22,0.29,0.39,"Southwest Schuylkill","-75.2163163305874","39.9417648404939",c(-75.2163163305874, 39.9417648404939)
"5","1907 S ITHAN ST",0.04,0.06,0.1,0.14,0.21,0.08,0.11,0.16,0.22,0.31,0.08,0.11,0.16,0.22,0.31,"Southwest Schuylkill","-75.2245266603541","39.9361968316103",c(-75.2245266603541, 39.9361968316103)
"6","1720 S RUBY ST",0.05,0.07,0.11,0.16,0.23,0.08,0.11,0.16,0.22,0.3,0.08,0.11,0.16,0.22,0.3,"Southwest Schuylkill","-75.2176845970656","39.9364897153691",c(-75.2176845970656, 39.9364897153691)
"7","5134 GREENWAY AVE",0.06,0.09,0.13,0.19,0.28,0.15,0.21,0.28,0.37,0.48,0.15,0.21,0.28,0.37,0.48,"Southwest Schuylkill","-75.2171201341824","39.9393971023596",c(-75.2171201341824, 39.9393971023596)
"8","5320 GLENMORE AVE",0.05,0.08,0.12,0.17,0.25,0.08,0.11,0.16,0.22,0.31,0.08,0.11,0.16,0.22,0.31,"Southwest Schuylkill","-75.2157704359314","39.9350399062823",c(-75.2157704359314, 39.9350399062823)
"9","1624 S CONESTOGA ST",0.12,0.17,0.25,0.34,0.45,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Southwest Schuylkill","-75.2221381530829","39.9374409844661",c(-75.2221381530829, 39.9374409844661)
"10","4640 LINMORE AVE",0.06,0.09,0.14,0.21,0.29,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Southwest Schuylkill","-75.2092076993823","39.9427543470458",c(-75.2092076993823, 39.9427543470458)
"11","1352 S 46TH ST",0.07,0.1,0.15,0.22,0.3,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Southwest Schuylkill","-75.2088089625386","39.9433333073671",c(-75.2088089625386, 39.9433333073671)
"12","5420 KINGSESSING AVE",0.04,0.05,0.08,0.13,0.18,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Southwest Schuylkill","-75.2220945756788","39.9380219073723",c(-75.2220945756788, 39.9380219073723)
"13","1443 S 52ND ST",0.04,0.06,0.09,0.14,0.21,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Southwest Schuylkill","-75.2177962994045","39.9399677220433",c(-75.2177962994045, 39.9399677220433)
