address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1909 MOUNT VERNON ST,0.04,0.06,0.09,0.14,0.2,0.15,0.21,0.28,0.37,0.48,0.36,0.4,0.43,0.47,0.51,Spring Garden,-75.1693156610613,39.9657248451039,"c(-75.1693156610613, 39.9657248451039)"
1811 NORTH ST,0.09,0.14,0.21,0.29,0.39,0.1,0.15,0.21,0.29,0.38,0.22,0.25,0.28,0.31,0.35,Spring Garden,-75.1674895597872,39.9667441981664,"c(-75.1674895597872, 39.9667441981664)"
2401 PENNSYLVANIA AVE,0.07,0.11,0.16,0.23,0.32,0.39,0.5,0.6,0.7,0.78,0.69,0.72,0.75,0.78,0.8,Spring Garden,-75.1778465130097,39.9667679495966,"c(-75.1778465130097, 39.9667679495966)"
1710 WALLACE ST,0.04,0.06,0.09,0.13,0.2,0.22,0.3,0.39,0.49,0.6,0.36,0.4,0.44,0.47,0.51,Spring Garden,-75.166166308428,39.9656303749974,"c(-75.166166308428, 39.9656303749974)"
1601 SPRING GARDEN ST,0.04,0.06,0.09,0.13,0.19,0.21,0.29,0.39,0.49,0.59,0.5,0.53,0.57,0.61,0.64,Spring Garden,-75.1650232060037,39.9633087626012,"c(-75.1650232060037, 39.9633087626012)"
1629 GREEN ST,0.04,0.06,0.09,0.13,0.19,0.23,0.31,0.41,0.51,0.61,0.36,0.4,0.44,0.47,0.51,Spring Garden,-75.1656969875341,39.9645939044295,"c(-75.1656969875341, 39.9645939044295)"
2053 NORTH ST,0.03,0.04,0.07,0.1,0.15,0.31,0.4,0.51,0.61,0.71,0.33,0.36,0.4,0.43,0.47,Spring Garden,-75.1719314645513,39.96695980531,"c(-75.1719314645513, 39.96695980531)"
560 JUDSON ST,0.03,0.05,0.07,0.11,0.16,0.26,0.35,0.45,0.55,0.65,0.36,0.4,0.44,0.47,0.51,Spring Garden,-75.1765499829816,39.9651116287414,"c(-75.1765499829816, 39.9651116287414)"
2201 MOUNT VERNON ST,0.04,0.06,0.08,0.13,0.19,0.22,0.29,0.39,0.49,0.59,0.5,0.54,0.57,0.61,0.65,Spring Garden,-75.174509676916,39.9663992848995,"c(-75.174509676916, 39.9663992848995)"
520 N 19TH ST,0.04,0.06,0.09,0.14,0.2,0.22,0.3,0.4,0.5,0.6,0.34,0.37,0.41,0.44,0.48,Spring Garden,-75.1695081936154,39.9639542691053,"c(-75.1695081936154, 39.9639542691053)"
1517 MELON ST,0.03,0.04,0.07,0.1,0.15,0.24,0.33,0.43,0.53,0.63,0.46,0.5,0.53,0.57,0.61,Spring Garden,-75.162830520104,39.9667290093111,"c(-75.162830520104, 39.9667290093111)"
1715 WALLACE ST,0.04,0.06,0.09,0.14,0.2,0.24,0.32,0.42,0.52,0.62,0.5,0.53,0.57,0.61,0.64,Spring Garden,-75.1662126669211,39.96606065453,"c(-75.1662126669211, 39.96606065453)"
1518 NORTH ST,0.04,0.05,0.08,0.13,0.18,0.18,0.25,0.33,0.43,0.54,0.5,0.53,0.57,0.61,0.64,Spring Garden,-75.1631299005666,39.9659175835897,"c(-75.1631299005666, 39.9659175835897)"
642 N 23RD ST,0.02,0.03,0.05,0.08,0.11,0.23,0.31,0.4,0.51,0.61,0.3,0.33,0.37,0.41,0.44,Spring Garden,-75.1756909437307,39.9669251614254,"c(-75.1756909437307, 39.9669251614254)"
2038 GREEN ST,0.03,0.04,0.06,0.1,0.14,0.31,0.4,0.51,0.61,0.7,0.46,0.5,0.53,0.57,0.61,Spring Garden,-75.1724529309285,39.9650359044121,"c(-75.1724529309285, 39.9650359044121)"
1629 NORTH ST,0.03,0.04,0.06,0.1,0.14,0.23,0.31,0.4,0.51,0.61,0.46,0.5,0.53,0.57,0.61,Spring Garden,-75.1648853501518,39.9664191928988,"c(-75.1648853501518, 39.9664191928988)"
1904 MOUNT VERNON ST,0.03,0.05,0.07,0.11,0.16,0.26,0.34,0.44,0.55,0.65,0.33,0.36,0.4,0.43,0.47,Spring Garden,-75.1692571624592,39.9653052036762,"c(-75.1692571624592, 39.9653052036762)"
552 N 18TH ST,0.05,0.07,0.11,0.16,0.23,0.16,0.23,0.31,0.41,0.51,0.23,0.26,0.29,0.32,0.35,Spring Garden,-75.1678776216099,39.9640433821893,"c(-75.1678776216099, 39.9640433821893)"
2010 MOUNT VERNON ST,0.03,0.05,0.07,0.11,0.16,0.3,0.39,0.5,0.6,0.69,0.46,0.5,0.53,0.57,0.61,Spring Garden,-75.1710356524964,39.9655304955022,"c(-75.1710356524964, 39.9655304955022)"
1903-05 GREEN ST,0.04,0.06,0.09,0.14,0.2,0.21,0.29,0.38,0.48,0.59,0.5,0.54,0.57,0.61,0.65,Spring Garden,-75.1693895415532,39.9650558926479,"c(-75.1693895415532, 39.9650558926479)"
1924 BRANDYWINE ST,0.03,0.05,0.07,0.11,0.16,0.29,0.38,0.49,0.59,0.69,0.46,0.5,0.54,0.57,0.61,Spring Garden,-75.1700746572725,39.9640986417054,"c(-75.1700746572725, 39.9640986417054)"
2222 WALLACE ST,0.02,0.03,0.05,0.08,0.12,0.29,0.38,0.48,0.59,0.68,0.46,0.5,0.53,0.57,0.61,Spring Garden,-75.1752090693141,39.9666833059789,"c(-75.1752090693141, 39.9666833059789)"
569 N 20TH ST,0.04,0.07,0.1,0.15,0.22,0.14,0.2,0.27,0.37,0.47,0.23,0.25,0.29,0.32,0.35,Spring Garden,-75.170482610596,39.9645324666444,"c(-75.170482610596, 39.9645324666444)"
1714 WALLACE ST,0.04,0.06,0.09,0.13,0.19,0.22,0.3,0.39,0.5,0.6,0.5,0.53,0.57,0.61,0.65,Spring Garden,-75.1663081330678,39.9656372475877,"c(-75.1663081330678, 39.9656372475877)"
1611 GREEN ST,0.04,0.06,0.09,0.13,0.19,0.21,0.29,0.39,0.49,0.59,0.5,0.53,0.57,0.61,0.65,Spring Garden,-75.1648815291547,39.9645162130487,"c(-75.1648815291547, 39.9645162130487)"
1901 GREEN ST,0.04,0.06,0.09,0.14,0.2,0.22,0.3,0.39,0.49,0.6,0.5,0.53,0.57,0.61,0.65,Spring Garden,-75.1691976063312,39.9650334723615,"c(-75.1691976063312, 39.9650334723615)"
1800 GREEN ST,0.04,0.06,0.1,0.14,0.21,0.21,0.29,0.39,0.49,0.59,0.5,0.53,0.57,0.61,0.64,Spring Garden,-75.1676903179293,39.9643591774799,"c(-75.1676903179293, 39.9643591774799)"
1512 GREEN ST,0.04,0.06,0.08,0.13,0.19,0.19,0.26,0.35,0.45,0.55,0.5,0.53,0.57,0.61,0.64,Spring Garden,-75.1633965085965,39.9638283676834,"c(-75.1633965085965, 39.9638283676834)"
1707 WALLACE ST,0.04,0.06,0.09,0.14,0.2,0.21,0.29,0.38,0.49,0.59,0.36,0.4,0.44,0.47,0.51,Spring Garden,-75.1659386010522,39.9660050239663,"c(-75.1659386010522, 39.9660050239663)"
2051 BRANDYWINE ST,0.03,0.04,0.07,0.1,0.15,0.27,0.36,0.46,0.56,0.66,0.33,0.36,0.4,0.43,0.47,Spring Garden,-75.1722176060297,39.964660287538,"c(-75.1722176060297, 39.964660287538)"
627-37 N 18TH ST,0.12,0.18,0.26,0.36,0.47,0.39,0.49,0.59,0.69,0.77,0.7,0.73,0.76,0.79,0.81,Spring Garden,-75.166787344751,39.966710161445,"c(-75.166787344751, 39.966710161445)"
1938 GREEN ST,0.04,0.06,0.09,0.14,0.2,0.26,0.35,0.45,0.56,0.66,0.5,0.53,0.57,0.61,0.64,Spring Garden,-75.1705288717891,39.9647436303704,"c(-75.1705288717891, 39.9647436303704)"
1714 GREEN ST,0.04,0.06,0.09,0.14,0.21,0.22,0.3,0.4,0.5,0.6,0.36,0.4,0.44,0.47,0.51,Spring Garden,-75.1665672932336,39.9642129386838,"c(-75.1665672932336, 39.9642129386838)"
554 N 18TH ST,0.03,0.05,0.07,0.11,0.17,0.26,0.35,0.45,0.56,0.66,0.33,0.36,0.4,0.44,0.47,Spring Garden,-75.1678679538284,39.9640933646544,"c(-75.1678679538284, 39.9640933646544)"
521 N 21ST ST,0.03,0.04,0.06,0.1,0.14,0.33,0.42,0.53,0.63,0.72,0.46,0.5,0.53,0.57,0.61,Spring Garden,-75.1724466744128,39.9648942533922,"c(-75.1724466744128, 39.9648942533922)"
2036 BRANDYWINE ST,0.04,0.06,0.09,0.13,0.19,0.17,0.24,0.32,0.42,0.52,0.36,0.4,0.44,0.47,0.51,Spring Garden,-75.1722814862446,39.9643797938011,"c(-75.1722814862446, 39.9643797938011)"
556 N 17TH ST,0.05,0.07,0.11,0.16,0.23,0.21,0.29,0.38,0.48,0.59,0.36,0.4,0.44,0.47,0.51,Spring Garden,-75.1662935777389,39.9639458844444,"c(-75.1662935777389, 39.9639458844444)"
1703 MOUNT VERNON ST,0.04,0.07,0.1,0.15,0.22,0.16,0.22,0.3,0.39,0.5,0.23,0.25,0.28,0.32,0.35,Spring Garden,-75.1659703699918,39.9652656066907,"c(-75.1659703699918, 39.9652656066907)"
605 N 17TH ST,0.02,0.04,0.06,0.09,0.13,0.14,0.19,0.27,0.35,0.46,0.3,0.33,0.37,0.41,0.44,Spring Garden,-75.1655580421341,39.9652502009435,"c(-75.1655580421341, 39.9652502009435)"
2133 GREEN ST,0.02,0.04,0.06,0.09,0.13,0.3,0.39,0.49,0.6,0.69,0.46,0.5,0.54,0.57,0.61,Spring Garden,-75.1737430057649,39.965599137021,"c(-75.1737430057649, 39.965599137021)"
1929 WALLACE ST,0.04,0.06,0.09,0.14,0.2,0.21,0.29,0.38,0.48,0.59,0.5,0.53,0.57,0.61,0.65,Spring Garden,-75.1698710746317,39.9665573275499,"c(-75.1698710746317, 39.9665573275499)"
630-32 N 17TH ST,0.04,0.06,0.09,0.14,0.2,0.18,0.25,0.34,0.44,0.54,0.5,0.53,0.57,0.61,0.65,Spring Garden,-75.1658274795272,39.9661961485993,"c(-75.1658274795272, 39.9661961485993)"
1717-19 MOUNT VERNON ST,0.04,0.07,0.1,0.15,0.22,0.15,0.21,0.29,0.38,0.48,0.34,0.37,0.41,0.45,0.48,Spring Garden,-75.1665419104891,39.9653922087121,"c(-75.1665419104891, 39.9653922087121)"
2235 WALLACE ST,0.06,0.09,0.14,0.2,0.28,0.36,0.46,0.56,0.66,0.75,0.58,0.61,0.65,0.68,0.71,Spring Garden,-75.1750852404669,39.966947321483,"c(-75.1750852404669, 39.966947321483)"
