address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
514 S MELVILLE ST,0.03,0.05,0.07,0.11,0.16,0.18,0.25,0.33,0.43,0.53,0.3,0.33,0.37,0.41,0.44,Spruce Hill,-75.2140681409437,39.9500536340722,"c(-75.2140681409437, 39.9500536340722)"
15 UNIVERSITY MEWS,0.03,0.05,0.08,0.11,0.17,0.3,0.39,0.5,0.6,0.69,0.46,0.49,0.53,0.57,0.61,Spruce Hill,-75.2127884608812,39.952739752827,"c(-75.2127884608812, 39.952739752827)"
26 UNIVERSITY MEWS,0.05,0.08,0.12,0.17,0.25,0.25,0.33,0.43,0.54,0.64,0.5,0.53,0.57,0.61,0.65,Spruce Hill,-75.2131731550367,39.9523630976512,"c(-75.2131731550367, 39.9523630976512)"
4401 PINE ST,0.03,0.05,0.07,0.11,0.16,0.2,0.28,0.37,0.47,0.57,0.3,0.33,0.37,0.41,0.44,Spruce Hill,-75.2108898594148,39.9518667283019,"c(-75.2108898594148, 39.9518667283019)"
254 S 45TH ST,0.05,0.08,0.13,0.19,0.26,0.15,0.21,0.29,0.38,0.48,0.23,0.25,0.28,0.32,0.35,Spruce Hill,-75.2123377075831,39.9535102718244,"c(-75.2123377075831, 39.9535102718244)"
4524 SPRUCE ST,0.04,0.06,0.09,0.13,0.2,0.28,0.38,0.48,0.58,0.68,0.33,0.36,0.4,0.44,0.47,Spruce Hill,-75.2134966278559,39.9526997890953,"c(-75.2134966278559, 39.9526997890953)"
4312-14 OSAGE AVE,0.03,0.05,0.07,0.11,0.17,0.18,0.25,0.34,0.44,0.54,0.3,0.34,0.37,0.41,0.44,Spruce Hill,-75.2100726577557,39.95051658792,"c(-75.2100726577557, 39.95051658792)"
4418 LOCUST ST,0.04,0.06,0.09,0.14,0.2,0.15,0.21,0.29,0.38,0.48,0.34,0.37,0.41,0.44,0.48,Spruce Hill,-75.2113534508745,39.9538224721266,"c(-75.2113534508745, 39.9538224721266)"
4411 PINE ST,0.04,0.07,0.1,0.15,0.22,0.22,0.3,0.39,0.5,0.6,0.5,0.54,0.57,0.61,0.65,Spruce Hill,-75.211313496992,39.9519909758207,"c(-75.211313496992, 39.9519909758207)"
4208 CHESTNUT ST,0.05,0.07,0.11,0.16,0.24,0.07,0.1,0.14,0.2,0.28,0.34,0.37,0.41,0.44,0.48,Spruce Hill,-75.206571743894,39.9559378812472,"c(-75.206571743894, 39.9559378812472)"
4206 CHESTNUT ST,0.05,0.07,0.11,0.16,0.24,0.1,0.15,0.21,0.29,0.38,0.34,0.37,0.41,0.44,0.48,Spruce Hill,-75.2065157908524,39.9559248447934,"c(-75.2065157908524, 39.9559248447934)"
