"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","2835 S MILDRED ST",0.02,0.03,0.05,0.08,0.12,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Stadium District","-75.1630646074857","39.9134778027741",c(-75.1630646074857, 39.9134778027741)
"2","2810 S BEULAH ST",0.03,0.05,0.07,0.11,0.17,0.22,0.3,0.39,0.49,0.6,0.22,0.3,0.39,0.49,0.6,"Stadium District","-75.1609828529711","39.9137479514251",c(-75.1609828529711, 39.9137479514251)
"3","2834 S MARSHALL ST",0.02,0.03,0.04,0.07,0.1,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Stadium District","-75.1592616074356","39.9131347025604",c(-75.1592616074356, 39.9131347025604)
"4","2932 S JUNIPER ST",0.02,0.03,0.05,0.08,0.12,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Stadium District","-75.1710477745168","39.9133318521256",c(-75.1710477745168, 39.9133318521256)
"5","2819 S ISEMINGER ST",0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Stadium District","-75.1688729368196","39.9145678398081",c(-75.1688729368196, 39.9145678398081)
"6","719 MOLLBORE TER",0.02,0.04,0.05,0.08,0.13,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Stadium District","-75.1612086102104","39.9150682899343",c(-75.1612086102104, 39.9150682899343)
"7","2720 S 10TH ST",0.03,0.05,0.08,0.11,0.17,0.23,0.32,0.41,0.52,0.62,0.23,0.32,0.41,0.52,0.62,"Stadium District","-75.1649459356977","39.9153028572763",c(-75.1649459356977, 39.9153028572763)
"8","720 BIGLER ST",0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Stadium District","-75.1613457062172","39.9126671578189",c(-75.1613457062172, 39.9126671578189)
"9","743 STELLA MARIS ST",0.03,0.05,0.08,0.12,0.18,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Stadium District","-75.1624784720463","39.912613729809",c(-75.1624784720463, 39.912613729809)
"10","1216 MOLLBORE TER",0.03,0.05,0.08,0.12,0.18,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Stadium District","-75.1684149600549","39.9154407462197",c(-75.1684149600549, 39.9154407462197)
"11","2706 S 10TH ST",0.03,0.05,0.07,0.11,0.17,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Stadium District","-75.1648729800429","39.9156344469829",c(-75.1648729800429, 39.9156344469829)
"12","1000 JOHNSTON ST",0.03,0.05,0.08,0.12,0.17,0.27,0.36,0.46,0.56,0.66,0.27,0.36,0.46,0.56,0.66,"Stadium District","-75.1650392483267","39.9144871652521",c(-75.1650392483267, 39.9144871652521)
"13","1006 OREGON AVE",0.02,0.03,0.05,0.08,0.12,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"Stadium District","-75.1655606980497","39.915812263901",c(-75.1655606980497, 39.915812263901)
"14","1027 MOLLBORE TER",0.02,0.03,0.05,0.08,0.12,0.28,0.38,0.48,0.58,0.68,0.28,0.38,0.48,0.58,0.68,"Stadium District","-75.1661549932977","39.9157054900863",c(-75.1661549932977, 39.9157054900863)
"15","2830 S CAMAC ST",0.02,0.04,0.06,0.08,0.13,0.22,0.3,0.39,0.5,0.6,0.22,0.3,0.39,0.5,0.6,"Stadium District","-75.1687104445325","39.9143055045032",c(-75.1687104445325, 39.9143055045032)
"16","628 JOHNSTON ST",0.02,0.03,0.04,0.07,0.11,0.18,0.25,0.34,0.44,0.55,0.18,0.25,0.34,0.44,0.55,"Stadium District","-75.1593931507715","39.9137252686109",c(-75.1593931507715, 39.9137252686109)
"17","1320 BIGLER ST",0.02,0.03,0.05,0.08,0.12,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Stadium District","-75.1705131153413","39.9138545097183",c(-75.1705131153413, 39.9138545097183)
"18","2843 S 7TH ST",0.02,0.03,0.05,0.07,0.11,0.28,0.38,0.48,0.58,0.68,0.28,0.38,0.48,0.58,0.68,"Stadium District","-75.1601429548901","39.9129096951032",c(-75.1601429548901, 39.9129096951032)
"19","710 BIGLER ST",0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.38,0.48,0.58,0.21,0.29,0.38,0.48,0.58,"Stadium District","-75.1610278915869","39.9126268996001",c(-75.1610278915869, 39.9126268996001)
"20","2715 S DARIEN ST",0.02,0.04,0.06,0.09,0.13,0.28,0.37,0.47,0.57,0.67,0.28,0.37,0.47,0.57,0.67,"Stadium District","-75.162028373673","39.915098315565",c(-75.162028373673, 39.915098315565)
"21","2709 S 7TH ST",0.02,0.03,0.05,0.07,0.11,0.25,0.34,0.44,0.55,0.65,0.25,0.34,0.44,0.55,0.65,"Stadium District","-75.1596929913261","39.9149356296654",c(-75.1596929913261, 39.9149356296654)
"22","2829 S MARSHALL ST",0.04,0.07,0.1,0.15,0.22,0.18,0.25,0.34,0.43,0.54,0.18,0.25,0.34,0.43,0.54,"Stadium District","-75.1589028960018","39.9132017923872",c(-75.1589028960018, 39.9132017923872)
"23","2836 S 11TH ST",0.02,0.04,0.05,0.08,0.13,0.22,0.3,0.39,0.5,0.6,0.22,0.3,0.39,0.5,0.6,"Stadium District","-75.166934585171","39.9139809908861",c(-75.166934585171, 39.9139809908861)
"24","2729 S 10TH ST",0.03,0.05,0.08,0.11,0.17,0.17,0.23,0.31,0.41,0.52,0.17,0.23,0.31,0.41,0.52,"Stadium District","-75.1644302577148","39.9150849503987",c(-75.1644302577148, 39.9150849503987)
"25","2819 S 12TH ST",0.02,0.04,0.06,0.08,0.13,0.23,0.31,0.41,0.51,0.62,0.23,0.31,0.41,0.51,0.62,"Stadium District","-75.1677231445324","39.9144314158598",c(-75.1677231445324, 39.9144314158598)
"26","748 BIGLER ST",0.04,0.05,0.08,0.13,0.18,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Stadium District","-75.1626416232443","39.9128572230523",c(-75.1626416232443, 39.9128572230523)
"27","3113 S 13TH ST",0.03,0.05,0.08,0.12,0.17,0.22,0.3,0.4,0.5,0.61,0.22,0.3,0.4,0.5,0.61,"Stadium District","-75.170175510775","39.9108990772248",c(-75.170175510775, 39.9108990772248)
"28","2709 S SHERIDAN ST",0.02,0.03,0.05,0.07,0.11,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Stadium District","-75.1591030975889","39.9148732420899",c(-75.1591030975889, 39.9148732420899)
"29","2949 S 13TH ST",0.03,0.05,0.08,0.12,0.18,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Stadium District","-75.1697823335473","39.9128085396799",c(-75.1697823335473, 39.9128085396799)
"30","1126 JOHNSTON ST",0.02,0.04,0.05,0.08,0.13,0.23,0.32,0.41,0.52,0.62,0.23,0.32,0.41,0.52,0.62,"Stadium District","-75.1675339217574","39.9147933014102",c(-75.1675339217574, 39.9147933014102)
"31","2743 S DARIEN ST",0.02,0.04,0.06,0.09,0.13,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Stadium District","-75.1621660304115","39.9144888958258",c(-75.1621660304115, 39.9144888958258)
"32","3120 S 13TH ST",0.03,0.05,0.08,0.12,0.17,0.22,0.3,0.4,0.5,0.6,0.22,0.3,0.4,0.5,0.6,"Stadium District","-75.1707455905186","39.9107665515613",c(-75.1707455905186, 39.9107665515613)
"33","730 JOHNSTON ST",0.02,0.03,0.05,0.08,0.12,0.31,0.4,0.51,0.61,0.7,0.31,0.4,0.51,0.61,0.7,"Stadium District","-75.1611648186638","39.9139608748832",c(-75.1611648186638, 39.9139608748832)
"34","3117 S BROAD ST",0.02,0.03,0.05,0.08,0.12,0.27,0.36,0.46,0.56,0.66,0.27,0.36,0.46,0.56,0.66,"Stadium District","-75.1718423327236","39.9110480340845",c(-75.1718423327236, 39.9110480340845)
"35","2830 S SHERIDAN ST",0.03,0.04,0.07,0.1,0.15,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Stadium District","-75.1598502647039","39.9132182491643",c(-75.1598502647039, 39.9132182491643)
"36","2825 S CAMAC ST",0.02,0.04,0.05,0.08,0.13,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Stadium District","-75.1683378977096","39.9143778616277",c(-75.1683378977096, 39.9143778616277)
"37","2747 S BEULAH ST",0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.41,0.51,0.62,0.23,0.31,0.41,0.51,0.62,"Stadium District","-75.1605661778224","39.914174597881",c(-75.1605661778224, 39.914174597881)
"38","3224 S 13TH ST",0.02,0.03,0.05,0.08,0.12,0.26,0.35,0.45,0.56,0.66,0.26,0.35,0.45,0.56,0.66,"Stadium District","-75.1710177014768","39.9095377459361",c(-75.1710177014768, 39.9095377459361)
"39","2839 S DARIEN ST",0.02,0.04,0.06,0.09,0.13,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Stadium District","-75.1624264329778","39.9133368686881",c(-75.1624264329778, 39.9133368686881)
"40","2816 S FRANKLIN ST",0.03,0.05,0.08,0.12,0.17,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Stadium District","-75.1615873511949","39.913650567343",c(-75.1615873511949, 39.913650567343)
"41","2842 S MILDRED ST",0.02,0.03,0.05,0.08,0.12,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Stadium District","-75.1634540966096","39.9133389661075",c(-75.1634540966096, 39.9133389661075)
"42","2824 S 11TH ST",0.02,0.04,0.05,0.08,0.13,0.32,0.41,0.52,0.62,0.71,0.32,0.41,0.52,0.62,0.71,"Stadium District","-75.1668855835007","39.914209462125",c(-75.1668855835007, 39.914209462125)
"43","2830 S 10TH ST",0.02,0.03,0.05,0.08,0.12,0.22,0.3,0.39,0.5,0.6,0.22,0.3,0.39,0.5,0.6,"Stadium District","-75.1652482059476","39.9138565624093",c(-75.1652482059476, 39.9138565624093)
"44","3137 S BROAD ST",0.02,0.03,0.05,0.08,0.12,0.27,0.36,0.46,0.56,0.66,0.27,0.36,0.46,0.56,0.66,"Stadium District","-75.1719335131622","39.91062199904",c(-75.1719335131622, 39.91062199904)
"45","2817 S FAIRHILL ST",0.02,0.03,0.04,0.06,0.1,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Stadium District","-75.1582821320017","39.9133841111601",c(-75.1582821320017, 39.9133841111601)
"46","2822 S FAIRHILL ST",0.02,0.03,0.04,0.06,0.1,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Stadium District","-75.1586260641731","39.9133375126252",c(-75.1586260641731, 39.9133375126252)
