address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1642 W YORK ST,0.06,0.09,0.14,0.2,0.28,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Stanton,-75.1601701838472,39.9898000684544,"c(-75.1601701838472, 39.9898000684544)"
1615 W YORK ST,0.04,0.06,0.09,0.14,0.2,0.1,0.14,0.2,0.27,0.36,0.2,0.22,0.25,0.28,0.31,Stanton,-75.1596449359048,39.9900532496715,"c(-75.1596449359048, 39.9900532496715)"
2522 N COLORADO ST,0.15,0.21,0.3,0.4,0.51,0.06,0.09,0.13,0.18,0.25,0.22,0.25,0.28,0.31,0.35,Stanton,-75.1606144484596,39.9920799005437,"c(-75.1606144484596, 39.9920799005437)"
2331 N CARLISLE ST,0.06,0.09,0.13,0.19,0.27,0.11,0.16,0.23,0.31,0.41,0.36,0.4,0.44,0.47,0.51,Stanton,-75.1563706258765,39.9887650517475,"c(-75.1563706258765, 39.9887650517475)"
2338 N SMEDLEY ST,0.04,0.06,0.09,0.14,0.21,0.1,0.14,0.2,0.27,0.36,0.3,0.33,0.37,0.4,0.44,Stanton,-75.1599163663584,39.9893675106331,"c(-75.1599163663584, 39.9893675106331)"
2622 N BANCROFT ST,0.18,0.26,0.35,0.46,0.58,0.09,0.13,0.19,0.26,0.35,0.22,0.25,0.28,0.31,0.35,Stanton,-75.1587224305127,39.9933618413334,"c(-75.1587224305127, 39.9933618413334)"
2427 N GRATZ ST,0.05,0.08,0.12,0.18,0.26,0.08,0.12,0.17,0.23,0.32,0.34,0.37,0.41,0.44,0.48,Stanton,-75.1626796824838,39.9908930239238,"c(-75.1626796824838, 39.9908930239238)"
2315 N CLEVELAND ST,0.03,0.05,0.08,0.12,0.18,0.16,0.22,0.3,0.39,0.5,0.46,0.49,0.53,0.57,0.61,Stanton,-75.162618654917,39.9891168023078,"c(-75.162618654917, 39.9891168023078)"
2316 N GARNET ST,0.04,0.07,0.1,0.15,0.22,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Stanton,-75.1644422196204,39.9894308106976,"c(-75.1644422196204, 39.9894308106976)"
2163 N 15TH ST,0.05,0.08,0.12,0.17,0.24,0.13,0.18,0.25,0.33,0.43,0.23,0.25,0.28,0.32,0.35,Stanton,-75.1577072656942,39.9863616017544,"c(-75.1577072656942, 39.9863616017544)"
