address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1104 E CHELTENHAM AVE,0.04,0.07,0.1,0.15,0.22,0.11,0.15,0.21,0.29,0.39,0.23,0.25,0.28,0.31,0.35,Summerdale,-75.0892670585418,40.0343551301171,"c(-75.0892670585418, 40.0343551301171)"
1267 ALCOTT ST,0.04,0.07,0.11,0.16,0.23,0.11,0.15,0.21,0.29,0.39,0.23,0.25,0.28,0.31,0.35,Summerdale,-75.0859529885068,40.0334755764882,"c(-75.0859529885068, 40.0334755764882)"
977 CARVER ST,0.06,0.09,0.13,0.19,0.27,0.11,0.15,0.22,0.29,0.39,0.22,0.25,0.28,0.31,0.35,Summerdale,-75.0880339700396,40.0327520862094,"c(-75.0880339700396, 40.0327520862094)"
964 ANCHOR ST,0.04,0.06,0.08,0.13,0.19,0.13,0.19,0.26,0.35,0.45,0.2,0.22,0.25,0.28,0.31,Summerdale,-75.0880561430436,40.0330229940547,"c(-75.0880561430436, 40.0330229940547)"
1269 ALCOTT ST,0.05,0.07,0.11,0.16,0.23,0.11,0.15,0.21,0.29,0.39,0.34,0.37,0.41,0.44,0.48,Summerdale,-75.0859119479376,40.0334470779939,"c(-75.0859119479376, 40.0334470779939)"
1243 E CHELTENHAM AVE,0.03,0.05,0.08,0.11,0.17,0.13,0.19,0.26,0.35,0.45,0.3,0.33,0.37,0.4,0.44,Summerdale,-75.0868792216434,40.033414220689,"c(-75.0868792216434, 40.033414220689)"
947 BRIDGE ST,0.08,0.12,0.18,0.25,0.35,0.14,0.19,0.27,0.35,0.46,0.23,0.25,0.28,0.31,0.35,Summerdale,-75.0905171053406,40.0316473282986,"c(-75.0905171053406, 40.0316473282986)"
950 SANGER ST,0.05,0.08,0.13,0.19,0.27,0.08,0.12,0.18,0.25,0.33,0.22,0.25,0.28,0.31,0.35,Summerdale,-75.0892543647029,40.0323861679937,"c(-75.0892543647029, 40.0323861679937)"
922 GRANITE ST,0.04,0.07,0.1,0.16,0.23,0.09,0.13,0.19,0.26,0.34,0.22,0.25,0.28,0.31,0.35,Summerdale,-75.0917575946416,40.0312507971763,"c(-75.0917575946416, 40.0312507971763)"
5527 LORETTO AVE,0.03,0.04,0.06,0.09,0.14,0.11,0.16,0.22,0.3,0.4,0.3,0.33,0.37,0.4,0.44,Summerdale,-75.090651293864,40.0303388587011,"c(-75.090651293864, 40.0303388587011)"
1212 E CHELTENHAM AVE,0.03,0.05,0.08,0.12,0.17,0.13,0.18,0.26,0.34,0.44,0.2,0.22,0.25,0.28,0.31,Summerdale,-75.0877665398095,40.0334880894631,"c(-75.0877665398095, 40.0334880894631)"
950 MARCELLA ST,0.04,0.06,0.1,0.15,0.21,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Summerdale,-75.0915278215025,40.0305253338718,"c(-75.0915278215025, 40.0305253338718)"
1200 ALCOTT ST,0.03,0.04,0.07,0.11,0.16,0.18,0.25,0.34,0.44,0.54,0.33,0.36,0.4,0.43,0.47,Summerdale,-75.0875966470034,40.0341547956459,"c(-75.0875966470034, 40.0341547956459)"
873 MARCELLA ST,0.03,0.05,0.08,0.12,0.18,0.11,0.15,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Summerdale,-75.0932221680442,40.0318201595504,"c(-75.0932221680442, 40.0318201595504)"
849 ANCHOR ST,0.03,0.04,0.06,0.1,0.15,0.13,0.19,0.26,0.35,0.45,0.2,0.22,0.25,0.28,0.31,Summerdale,-75.0909204170737,40.0350386194537,"c(-75.0909204170737, 40.0350386194537)"
910 1/2 SANGER ST,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.18,0.24,0.33,0.34,0.37,0.41,0.44,0.48,Summerdale,-75.0903534902473,40.0330178662836,"c(-75.0903534902473, 40.0330178662836)"
5600 MIRIAM RD,0.03,0.04,0.07,0.1,0.15,0.09,0.14,0.19,0.27,0.35,0.3,0.33,0.37,0.4,0.44,Summerdale,-75.0892079677139,40.0308573326148,"c(-75.0892079677139, 40.0308573326148)"
976 PRATT ST,0.03,0.04,0.06,0.1,0.14,0.11,0.16,0.22,0.3,0.4,0.2,0.22,0.25,0.28,0.31,Summerdale,-75.09122081085,40.0295534830381,"c(-75.09122081085, 40.0295534830381)"
932 CARVER ST,0.05,0.08,0.13,0.19,0.27,0.1,0.15,0.21,0.29,0.38,0.34,0.37,0.41,0.44,0.48,Summerdale,-75.0894565487572,40.0332354365105,"c(-75.0894565487572, 40.0332354365105)"
937 CARVER ST,0.04,0.05,0.08,0.13,0.19,0.13,0.19,0.26,0.35,0.45,0.3,0.33,0.37,0.4,0.44,Summerdale,-75.0890992257977,40.0334067394761,"c(-75.0890992257977, 40.0334067394761)"
985 CARVER ST,0.04,0.06,0.09,0.13,0.2,0.13,0.19,0.26,0.35,0.45,0.2,0.22,0.25,0.28,0.31,Summerdale,-75.0878576074112,40.0326537886352,"c(-75.0878576074112, 40.0326537886352)"
1119 ALCOTT ST,0.02,0.04,0.06,0.09,0.13,0.13,0.19,0.26,0.35,0.45,0.3,0.33,0.37,0.4,0.44,Summerdale,-75.0879102154923,40.0352427459692,"c(-75.0879102154923, 40.0352427459692)"
1053 ALCOTT ST,0.02,0.03,0.05,0.08,0.12,0.13,0.19,0.26,0.35,0.45,0.3,0.33,0.37,0.4,0.44,Summerdale,-75.0894850229653,40.0361732535069,"c(-75.0894850229653, 40.0361732535069)"
5616 MIRIAM RD,0.03,0.05,0.07,0.11,0.16,0.09,0.14,0.19,0.27,0.36,0.3,0.33,0.37,0.4,0.44,Summerdale,-75.0887940095148,40.0310546299316,"c(-75.0887940095148, 40.0310546299316)"
5514 MIRIAM RD,0.04,0.06,0.09,0.14,0.2,0.07,0.11,0.16,0.22,0.3,0.23,0.25,0.28,0.31,0.35,Summerdale,-75.0905817899335,40.0300478211362,"c(-75.0905817899335, 40.0300478211362)"
