"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","4320 LONGSHORE AVE",0.03,0.05,0.08,0.12,0.18,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Tacony","-75.0462629368426","40.0294440594212",c(-75.0462629368426, 40.0294440594212)
"2","6642 TULIP ST",0.05,0.07,0.11,0.17,0.24,0.12,0.18,0.24,0.33,0.43,0.12,0.18,0.24,0.33,0.43,"Tacony","-75.0457128981987","40.0219543914376",c(-75.0457128981987, 40.0219543914376)
"3","4523 TYSON AVE",0.03,0.04,0.06,0.09,0.14,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Tacony","-75.0416795282467","40.0284151651308",c(-75.0416795282467, 40.0284151651308)
"4","4832 UNRUH AVE",0.04,0.07,0.1,0.15,0.22,0.12,0.17,0.24,0.33,0.42,0.12,0.17,0.24,0.33,0.42,"Tacony","-75.0452013490893","40.0224531341743",c(-75.0452013490893, 40.0224531341743)
"5","6553 VANDIKE ST",0.07,0.1,0.15,0.22,0.3,0.08,0.12,0.17,0.24,0.32,0.08,0.12,0.17,0.24,0.32,"Tacony","-75.0480999823663","40.0225047434548",c(-75.0480999823663, 40.0225047434548)
"6","6640 VANDIKE ST",0.05,0.07,0.11,0.16,0.23,0.12,0.18,0.24,0.33,0.43,0.12,0.18,0.24,0.33,0.43,"Tacony","-75.0467365325323","40.0235955101158",c(-75.0467365325323, 40.0235955101158)
"7","4552 UNRUH AVE",0.03,0.05,0.08,0.12,0.18,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"Tacony","-75.048024783116","40.0256262405459",c(-75.048024783116, 40.0256262405459)
"8","7137 JACKSON ST",0.04,0.06,0.09,0.14,0.2,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Tacony","-75.0393056231906","40.0307843446263",c(-75.0393056231906, 40.0307843446263)
"9","4210 ELBRIDGE ST",0.05,0.08,0.12,0.17,0.25,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Tacony","-75.0556200523663","40.026612653823",c(-75.0556200523663, 40.026612653823)
"10","6535 WALKER ST",0.03,0.05,0.08,0.12,0.17,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Tacony","-75.0525048865316","40.0269549986957",c(-75.0525048865316, 40.0269549986957)
"11","4143 PASSMORE ST",0.03,0.05,0.08,0.12,0.17,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Tacony","-75.0553044632705","40.0277824831631",c(-75.0553044632705, 40.0277824831631)
"12","6647 WALKER ST",0.05,0.08,0.11,0.17,0.24,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"Tacony","-75.0505714276927","40.027978682999",c(-75.0505714276927, 40.027978682999)
"13","4238 ELBRIDGE ST",0.03,0.05,0.08,0.12,0.18,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Tacony","-75.0551137872261","40.0260373622334",c(-75.0551137872261, 40.0260373622334)
"14","4604 MAGEE AVE",0.06,0.1,0.14,0.21,0.3,0.08,0.12,0.17,0.24,0.32,0.08,0.12,0.17,0.24,0.32,"Tacony","-75.0493787515456","40.0241079388382",c(-75.0493787515456, 40.0241079388382)
"15","6446 MARSDEN ST",0.06,0.1,0.14,0.21,0.3,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Tacony","-75.0508945640683","40.0230093688595",c(-75.0508945640683, 40.0230093688595)
"16","7207 COTTAGE ST",0.04,0.06,0.09,0.14,0.2,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Tacony","-75.0389536389087","40.0324523686804",c(-75.0389536389087, 40.0324523686804)
"17","7025 COTTAGE ST",0.04,0.07,0.1,0.15,0.22,0.14,0.19,0.27,0.35,0.46,0.14,0.19,0.27,0.35,0.46,"Tacony","-75.0425234345941","40.0306057150126",c(-75.0425234345941, 40.0306057150126)
"18","6531 VANDIKE ST",0.04,0.07,0.1,0.16,0.23,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Tacony","-75.0486215060617","40.02223382984",c(-75.0486215060617, 40.02223382984)
"19","4922 PRINCETON AVE",0.04,0.06,0.09,0.13,0.19,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Tacony","-75.0369470761591","40.0255917579127",c(-75.0369470761591, 40.0255917579127)
"20","4815 LEVICK ST",0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Tacony","-75.0501110434795","40.0200136080414",c(-75.0501110434795, 40.0200136080414)
"21","7132 MARSDEN ST",0.02,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Tacony","-75.0381819254913","40.0295775944294",c(-75.0381819254913, 40.0295775944294)
"22","6437 TULIP ST",0.07,0.1,0.15,0.22,0.3,0.09,0.13,0.18,0.25,0.33,0.09,0.13,0.18,0.25,0.33,"Tacony","-75.0486445276781","40.0199694610955",c(-75.0486445276781, 40.0199694610955)
"23","4014 HELLERMAN ST",0.05,0.07,0.11,0.16,0.24,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Tacony","-75.0559970761409","40.0289426004219",c(-75.0559970761409, 40.0289426004219)
"24","6751 DITMAN ST",0.03,0.05,0.07,0.11,0.16,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"Tacony","-75.0456438362331","40.0260245273485",c(-75.0456438362331, 40.0260245273485)
"25","4412 UNRUH AVE",0.05,0.07,0.11,0.17,0.24,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Tacony","-75.0491183014022","40.0268608554909",c(-75.0491183014022, 40.0268608554909)
"26","6831 WALKER ST",0.03,0.05,0.08,0.12,0.18,0.18,0.25,0.34,0.43,0.54,0.18,0.25,0.34,0.43,0.54,"Tacony","-75.0470666921074","40.02974065863",c(-75.0470666921074, 40.02974065863)
"27","7004 HEGERMAN ST",0.02,0.03,0.05,0.08,0.12,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Tacony","-75.0401615838469","40.0264567185425",c(-75.0401615838469, 40.0264567185425)
"28","6762 HEGERMAN ST",0.04,0.06,0.09,0.14,0.21,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Tacony","-75.0445377488303","40.0240304822658",c(-75.0445377488303, 40.0240304822658)
"29","6716 TORRESDALE AVE",0.03,0.05,0.07,0.11,0.16,0.16,0.22,0.31,0.4,0.51,0.16,0.22,0.31,0.4,0.51,"Tacony","-75.046015051645","40.0247957602315",c(-75.046015051645, 40.0247957602315)
