address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
3924 ELSER ST,0.05,0.08,0.13,0.19,0.27,0.14,0.2,0.28,0.37,0.47,0.22,0.25,0.28,0.31,0.35,Tioga,-75.150749205171,40.0135434697553,"c(-75.150749205171, 40.0135434697553)"
3536 N 15TH ST,0.04,0.06,0.1,0.14,0.21,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Tioga,-75.1536248262667,40.0072910986817,"c(-75.1536248262667, 40.0072910986817)"
2257 YELLAND ST,0.04,0.06,0.09,0.13,0.2,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Tioga,-75.1662589771028,40.0112927395518,"c(-75.1662589771028, 40.0112927395518)"
3850 N GRATZ ST,0.03,0.05,0.08,0.12,0.18,0.09,0.14,0.19,0.27,0.36,0.3,0.33,0.37,0.4,0.44,Tioga,-75.1580106654567,40.0129133078996,"c(-75.1580106654567, 40.0129133078996)"
3807 GERMANTOWN AVE,0.05,0.08,0.12,0.18,0.25,0.14,0.2,0.27,0.36,0.47,0.34,0.37,0.41,0.44,0.48,Tioga,-75.1512605583599,40.0111679938505,"c(-75.1512605583599, 40.0111679938505)"
1731 W VENANGO ST,0.05,0.08,0.12,0.18,0.25,0.1,0.14,0.2,0.28,0.37,0.23,0.25,0.28,0.32,0.35,Tioga,-75.1574265783486,40.0086613937001,"c(-75.1574265783486, 40.0086613937001)"
1633 W VICTORIA ST,0.05,0.08,0.11,0.17,0.24,0.08,0.12,0.17,0.23,0.32,0.22,0.25,0.28,0.31,0.35,Tioga,-75.1557706589064,40.0087818612708,"c(-75.1557706589064, 40.0087818612708)"
3323 N 22ND ST,0.07,0.1,0.15,0.22,0.3,0.11,0.16,0.22,0.3,0.39,0.23,0.25,0.28,0.32,0.35,Tioga,-75.1651883613861,40.0054078229817,"c(-75.1651883613861, 40.0054078229817)"
3836 GERMANTOWN AVE,0.05,0.07,0.11,0.16,0.24,0.14,0.2,0.28,0.37,0.47,0.34,0.37,0.41,0.44,0.48,Tioga,-75.1520646680925,40.0117849874755,"c(-75.1520646680925, 40.0117849874755)"
2237 YELLAND ST,0.04,0.06,0.09,0.13,0.2,0.09,0.13,0.19,0.26,0.35,0.3,0.33,0.37,0.4,0.44,Tioga,-75.165789449309,40.0115087279906,"c(-75.165789449309, 40.0115087279906)"
