"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","9965 LACKLAND DR",0.04,0.06,0.09,0.13,0.19,0.13,0.18,0.26,0.34,0.44,0.13,0.18,0.26,0.34,0.44,"Torresdale","-74.982087060317","40.0629193945034",c(-74.982087060317, 40.0629193945034)
"2","4448 TOLBUT ST",0.04,0.06,0.09,0.13,0.2,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Torresdale","-75.0083837050266","40.0498213102309",c(-75.0083837050266, 40.0498213102309)
"3","9311 STATE RD",0.03,0.04,0.06,0.1,0.14,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Torresdale","-74.9920786196771","40.0471148201787",c(-74.9920786196771, 40.0471148201787)
"4","9244 CAMBRIDGE ST",0.02,0.04,0.06,0.09,0.14,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Torresdale","-74.9913238383729","40.045424708812",c(-74.9913238383729, 40.045424708812)
"5","9232 EDMUND ST",0.02,0.03,0.05,0.08,0.12,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Torresdale","-74.9969565547549","40.0497556059282",c(-74.9969565547549, 40.0497556059282)
"6","9574 STATE RD",0.04,0.06,0.09,0.14,0.21,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Torresdale","-74.9869487381239","40.0509113331698",c(-74.9869487381239, 40.0509113331698)
"7","9231 MILNOR ST",0.04,0.06,0.08,0.13,0.19,0.22,0.3,0.39,0.49,0.6,0.22,0.3,0.39,0.49,0.6,"Torresdale","-74.990862502081","40.0442399142491",c(-74.990862502081, 40.0442399142491)
"8","3102 DELAIRE LANDING RD",0.04,0.05,0.08,0.13,0.18,0.14,0.2,0.27,0.36,0.47,0.14,0.2,0.27,0.36,0.47,"Torresdale","-74.9881159577154","40.0464881493759",c(-74.9881159577154, 40.0464881493759)
"9","43302 DELAIRE LANDING RD",0.04,0.05,0.08,0.13,0.18,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Torresdale","-74.9881159577154","40.0464881493759",c(-74.9881159577154, 40.0464881493759)
"10","9214 MELROSE ST",0.03,0.04,0.06,0.1,0.14,0.32,0.41,0.52,0.62,0.71,0.32,0.41,0.52,0.62,0.71,"Torresdale","-74.9937157328607","40.0458177631047",c(-74.9937157328607, 40.0458177631047)
"11","4506 CARWITHAN RD",0.04,0.06,0.1,0.15,0.21,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Torresdale","-75.0057853024356","40.0497408552066",c(-75.0057853024356, 40.0497408552066)
"12","9215 HEGERMAN ST",0.03,0.05,0.08,0.12,0.17,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Torresdale","-74.9976028609968","40.0496934898918",c(-74.9976028609968, 40.0496934898918)
"13","4515 PENNYPACK ST",0.03,0.04,0.07,0.1,0.15,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Torresdale","-75.0115590509944","40.0458208671268",c(-75.0115590509944, 40.0458208671268)
"14","8727 JACKSON ST",0.03,0.04,0.06,0.1,0.15,0.18,0.25,0.33,0.43,0.53,0.18,0.25,0.33,0.43,0.53,"Torresdale","-75.0113389806867","40.0464606615129",c(-75.0113389806867, 40.0464606615129)
"15","8746 JACKSON ST",0.03,0.04,0.06,0.1,0.15,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Torresdale","-75.0112990855743","40.0469811358106",c(-75.0112990855743, 40.0469811358106)
"16","9559 JAMES ST",0.04,0.06,0.09,0.14,0.2,0.21,0.28,0.37,0.48,0.58,0.21,0.28,0.37,0.48,0.58,"Torresdale","-74.9852498982673","40.0528476410489",c(-74.9852498982673, 40.0528476410489)
"17","4461 TOLBUT ST",0.03,0.04,0.07,0.1,0.15,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Torresdale","-75.0076618080027","40.0498016896009",c(-75.0076618080027, 40.0498016896009)
"18","4517 PENNYPACK ST",0.03,0.04,0.07,0.1,0.15,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Torresdale","-75.0114977314406","40.0457773861371",c(-75.0114977314406, 40.0457773861371)
"19","4467 TOLBUT ST",0.03,0.04,0.07,0.1,0.15,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Torresdale","-75.0075477486713","40.0497016286625",c(-75.0075477486713, 40.0497016286625)
"20","9231 GERMANIA ST",0.02,0.04,0.06,0.09,0.13,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Torresdale","-74.9902023739858","40.0437211153014",c(-74.9902023739858, 40.0437211153014)
"21","9328 HEGERMAN ST",0.02,0.03,0.05,0.08,0.12,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Torresdale","-74.9959768998765","40.051369921715",c(-74.9959768998765, 40.051369921715)
"22","4505 PEARSON AVE",0.02,0.03,0.05,0.08,0.13,0.26,0.34,0.44,0.55,0.65,0.26,0.34,0.44,0.55,0.65,"Torresdale","-74.9982106406728","40.0549488298106",c(-74.9982106406728, 40.0549488298106)
"23","4201 SAINT DENIS DR",0.03,0.05,0.08,0.12,0.17,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Torresdale","-74.9839156942395","40.0618318196868",c(-74.9839156942395, 40.0618318196868)
"24","4606 ARENDELL AVE",0.03,0.04,0.07,0.1,0.15,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Torresdale","-74.9992973788191","40.052347659961",c(-74.9992973788191, 40.052347659961)
"25","4400 AUBREY AVE",0.02,0.03,0.05,0.08,0.12,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Torresdale","-74.9992418415106","40.05648880319",c(-74.9992418415106, 40.05648880319)
"26","4409 PENNYPACK ST",0.03,0.04,0.07,0.1,0.15,0.17,0.24,0.32,0.42,0.53,0.17,0.24,0.32,0.42,0.53,"Torresdale","-75.0129643232935","40.0469613042557",c(-75.0129643232935, 40.0469613042557)
"27","49303 DELAIRE LANDING RD",0.04,0.05,0.08,0.13,0.18,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Torresdale","-74.9881159577154","40.0464881493759",c(-74.9881159577154, 40.0464881493759)
"28","5100 CONVENT LN",0.03,0.05,0.08,0.12,0.18,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Torresdale","-74.9908762412565","40.0511359326247",c(-74.9908762412565, 40.0511359326247)
"29","9241 DITMAN ST",0.03,0.04,0.07,0.1,0.15,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Torresdale","-74.9995089368602","40.0523899717146",c(-74.9995089368602, 40.0523899717146)
"30","8726 DITMAN ST",0.03,0.04,0.07,0.1,0.15,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Torresdale","-75.0104024523233","40.0455901307612",c(-75.0104024523233, 40.0455901307612)
"31","4646 TOLBUT ST",0.04,0.07,0.1,0.16,0.23,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Torresdale","-75.0053065742136","40.0471929332675",c(-75.0053065742136, 40.0471929332675)
"32","68204 DELAIRE LANDING RD",0.04,0.05,0.08,0.13,0.18,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Torresdale","-74.9881159577154","40.0464881493759",c(-74.9881159577154, 40.0464881493759)
"33","9300 COTTAGE ST",0.02,0.03,0.04,0.07,0.1,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Torresdale","-75.0017470154783","40.0551228665425",c(-75.0017470154783, 40.0551228665425)
"34","9226 GLENLOCH ST",0.02,0.03,0.04,0.07,0.1,0.25,0.33,0.43,0.54,0.64,0.25,0.33,0.43,0.54,0.64,"Torresdale","-75.0008929498719","40.0528988278447",c(-75.0008929498719, 40.0528988278447)
"35","53104 DELAIRE LANDING RD",0.04,0.05,0.08,0.13,0.18,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Torresdale","-74.9881159577154","40.0464881493759",c(-74.9881159577154, 40.0464881493759)
"36","6209 DELAIRE LANDING RD",0.04,0.05,0.08,0.13,0.18,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Torresdale","-74.9881159577154","40.0464881493759",c(-74.9881159577154, 40.0464881493759)
"37","4506 TOLBUT ST",0.03,0.04,0.06,0.1,0.15,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Torresdale","-75.0073617064721","40.0489257128726",c(-75.0073617064721, 40.0489257128726)
"38","46202 DELAIRE LANDING RD",0.04,0.05,0.08,0.13,0.18,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Torresdale","-74.9881159577154","40.0464881493759",c(-74.9881159577154, 40.0464881493759)
"39","9225 COTTAGE ST",0.03,0.04,0.06,0.09,0.14,0.22,0.3,0.4,0.5,0.61,0.22,0.3,0.4,0.5,0.61,"Torresdale","-75.0024505307559","40.0541137043338",c(-75.0024505307559, 40.0541137043338)
"40","58101 DELAIRE LANDING RD",0.04,0.05,0.08,0.13,0.18,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Torresdale","-74.9881159577154","40.0464881493759",c(-74.9881159577154, 40.0464881493759)
"41","5012 CONVENT LN",0.03,0.05,0.08,0.12,0.18,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Torresdale","-74.9908762412565","40.0511359326247",c(-74.9908762412565, 40.0511359326247)
"42","5008 CONVENT LN",0.03,0.05,0.08,0.12,0.18,0.14,0.19,0.27,0.35,0.46,0.14,0.19,0.27,0.35,0.46,"Torresdale","-74.9908762412565","40.0511359326247",c(-74.9908762412565, 40.0511359326247)
"43","9533 JAMES ST",0.04,0.06,0.09,0.14,0.2,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Torresdale","-74.9852498982673","40.0528476410489",c(-74.9852498982673, 40.0528476410489)
"44","5015 CONVENT LN",0.03,0.05,0.08,0.12,0.18,0.18,0.26,0.34,0.44,0.55,0.18,0.26,0.34,0.44,0.55,"Torresdale","-74.9908762412565","40.0511359326247",c(-74.9908762412565, 40.0511359326247)
"45","4733 HEGERMAN TER",0.03,0.05,0.07,0.11,0.16,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Torresdale","-74.9818368109948","40.0614991761112",c(-74.9818368109948, 40.0614991761112)
"46","63002 DELAIRE LANDING RD",0.04,0.05,0.08,0.13,0.18,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Torresdale","-74.9881159577154","40.0464881493759",c(-74.9881159577154, 40.0464881493759)
"47","70207 DELAIRE LANDING RD",0.04,0.05,0.08,0.13,0.18,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Torresdale","-74.9881159577154","40.0464881493759",c(-74.9881159577154, 40.0464881493759)
"48","9318 STATE RD",0.04,0.06,0.09,0.14,0.2,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Torresdale","-74.9921243562069","40.0476830006377",c(-74.9921243562069, 40.0476830006377)
"49","9227 MARSDEN ST",0.02,0.03,0.05,0.07,0.11,0.26,0.35,0.45,0.55,0.65,0.26,0.35,0.45,0.55,0.65,"Torresdale","-74.9993886574862","40.0514315310168",c(-74.9993886574862, 40.0514315310168)
"50","9230 WISSINOMING ST",0.04,0.06,0.09,0.14,0.2,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Torresdale","-74.9925291201776","40.0456107332986",c(-74.9925291201776, 40.0456107332986)
"51","9312 WISSINOMING ST",0.02,0.04,0.06,0.09,0.14,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Torresdale","-74.9909307851054","40.0465341770021",c(-74.9909307851054, 40.0465341770021)
"52","50204 DELAIRE LANDING RD",0.04,0.05,0.08,0.13,0.18,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Torresdale","-74.9881159577154","40.0464881493759",c(-74.9881159577154, 40.0464881493759)
"53","5016 CONVENT LN",0.03,0.05,0.08,0.12,0.18,0.14,0.19,0.27,0.35,0.46,0.14,0.19,0.27,0.35,0.46,"Torresdale","-74.9908762412565","40.0511359326247",c(-74.9908762412565, 40.0511359326247)
"54","4200 LYMAN DR",0.04,0.06,0.09,0.13,0.19,0.14,0.2,0.27,0.36,0.47,0.14,0.2,0.27,0.36,0.47,"Torresdale","-74.9829463318267","40.0627272906099",c(-74.9829463318267, 40.0627272906099)
"55","9312 VANDIKE ST",0.03,0.05,0.08,0.12,0.18,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Torresdale","-74.9969957968753","40.0516377995601",c(-74.9969957968753, 40.0516377995601)
"56","4411 PENNYPACK ST",0.03,0.04,0.07,0.1,0.15,0.17,0.24,0.32,0.42,0.53,0.17,0.24,0.32,0.42,0.53,"Torresdale","-75.0129190271871","40.0469243186516",c(-75.0129190271871, 40.0469243186516)
"57","9580 JAMES ST",0.04,0.06,0.09,0.14,0.2,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Torresdale","-74.9852498982673","40.0528476410489",c(-74.9852498982673, 40.0528476410489)
"58","6206 DELAIRE LANDING RD",0.04,0.05,0.08,0.13,0.18,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Torresdale","-74.9881159577154","40.0464881493759",c(-74.9881159577154, 40.0464881493759)
"59","4711 AUBREY AVE",0.02,0.04,0.06,0.09,0.13,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Torresdale","-74.9943581746376","40.0532687076496",c(-74.9943581746376, 40.0532687076496)
"60","9319 TORRESDALE AVE",0.03,0.05,0.08,0.12,0.18,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Torresdale","-74.9970924875117","40.0519329968221",c(-74.9970924875117, 40.0519329968221)
"61","9207 WISSINOMING ST",0.03,0.04,0.06,0.09,0.14,0.18,0.26,0.34,0.44,0.55,0.18,0.26,0.34,0.44,0.55,"Torresdale","-74.9929333680411","40.0448372959796",c(-74.9929333680411, 40.0448372959796)
"62","8764 JACKSON ST",0.03,0.04,0.06,0.1,0.15,0.23,0.32,0.41,0.52,0.62,0.23,0.32,0.41,0.52,0.62,"Torresdale","-75.0107847225394","40.0472883333512",c(-75.0107847225394, 40.0472883333512)
