address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
217 S 41ST ST,0,0.01,0.01,0.02,0.02,0.08,0.12,0.17,0.23,0.32,0.27,0.3,0.34,0.37,0.41,University City,-75.2048946995663,39.9537725860152,"c(-75.2048946995663, 39.9537725860152)"
3920 SPRUCE ST,0.05,0.07,0.11,0.16,0.23,0.15,0.22,0.3,0.39,0.49,0.23,0.25,0.28,0.32,0.35,University City,-75.2018889341876,39.9512750581143,"c(-75.2018889341876, 39.9512750581143)"
3959 BALTIMORE AVE,0.02,0.04,0.06,0.09,0.14,0.22,0.3,0.39,0.49,0.6,0.2,0.22,0.25,0.28,0.31,University City,-75.2028955885667,39.950176769823,"c(-75.2028955885667, 39.950176769823)"
110 S 40TH ST,0.04,0.06,0.09,0.14,0.21,0.16,0.22,0.3,0.4,0.5,0.23,0.25,0.28,0.32,0.35,University City,-75.2026981474079,39.9549897201185,"c(-75.2026981474079, 39.9549897201185)"
4008 CHESTNUT ST,0.05,0.07,0.11,0.16,0.23,0.17,0.24,0.32,0.42,0.52,0.34,0.37,0.41,0.45,0.48,University City,-75.2027545713256,39.955406810055,"c(-75.2027545713256, 39.955406810055)"
3816-36 CHESTNUT ST,0.01,0.02,0.03,0.05,0.08,0.24,0.32,0.42,0.52,0.62,0.5,0.54,0.58,0.61,0.65,University City,-75.1995685045116,39.9548820852933,"c(-75.1995685045116, 39.9548820852933)"
4012 MARKET ST,0.05,0.07,0.11,0.17,0.24,0.16,0.22,0.3,0.4,0.5,0.34,0.37,0.41,0.45,0.48,University City,-75.2025877282636,39.9569365532153,"c(-75.2025877282636, 39.9569365532153)"
4057 SANSOM ST,0.04,0.07,0.1,0.15,0.22,0.09,0.13,0.19,0.27,0.35,0.34,0.37,0.41,0.44,0.48,University City,-75.2045231968413,39.9553150832556,"c(-75.2045231968413, 39.9553150832556)"
3600-30 LANCASTER AVE,0.02,0.02,0.04,0.06,0.09,0.22,0.3,0.4,0.5,0.61,0.43,0.46,0.5,0.54,0.58,University City,-75.1942687638151,39.9585175328341,"c(-75.1942687638151, 39.9585175328341)"
4030 IRVING ST,0,0.01,0.01,0.02,0.03,0.15,0.22,0.3,0.39,0.49,0.27,0.3,0.33,0.37,0.4,University City,-75.2042127436983,39.9524137415368,"c(-75.2042127436983, 39.9524137415368)"
4031 SPRUCE ST,0,0.01,0.01,0.02,0.03,0.17,0.24,0.33,0.42,0.53,0.27,0.3,0.34,0.37,0.41,University City,-75.2043096551443,39.9521720975279,"c(-75.2043096551443, 39.9521720975279)"
4029 SPRUCE ST,0.01,0.01,0.02,0.03,0.05,0.27,0.36,0.46,0.57,0.67,0.29,0.32,0.35,0.39,0.43,University City,-75.2042253870956,39.952161873362,"c(-75.2042253870956, 39.952161873362)"
316 S 40TH ST,0.04,0.06,0.09,0.13,0.19,0.09,0.13,0.18,0.25,0.34,0.34,0.37,0.41,0.45,0.48,University City,-75.2036238639931,39.9512068883275,"c(-75.2036238639931, 39.9512068883275)"
4026 LUDLOW ST,0.04,0.06,0.1,0.15,0.21,0.1,0.15,0.21,0.28,0.37,0.34,0.37,0.41,0.45,0.48,University City,-75.2032828406165,39.9563769838085,"c(-75.2032828406165, 39.9563769838085)"
4001 BALTIMORE AVE,0.04,0.06,0.09,0.13,0.2,0.08,0.12,0.17,0.24,0.32,0.34,0.37,0.41,0.44,0.48,University City,-75.2035790174808,39.950192486186,"c(-75.2035790174808, 39.950192486186)"
3930 PINE ST,0.04,0.06,0.09,0.13,0.19,0.09,0.14,0.19,0.27,0.36,0.34,0.37,0.41,0.45,0.48,University City,-75.2018672552002,39.9503351526775,"c(-75.2018672552002, 39.9503351526775)"
4032 WALNUT ST,0.04,0.07,0.1,0.16,0.23,1,1,1,1,1,0.34,0.37,0.41,0.45,0.48,University City,-75.2042339745958,39.9539086823737,"c(-75.2042339745958, 39.9539086823737)"
4045 LUDLOW ST,0.04,0.06,0.1,0.15,0.21,0.13,0.19,0.26,0.35,0.45,0.5,0.54,0.57,0.61,0.65,University City,-75.2037539495128,39.9567388407686,"c(-75.2037539495128, 39.9567388407686)"
4019 PINE ST,0.04,0.06,0.1,0.14,0.21,0.19,0.26,0.35,0.45,0.55,0.34,0.37,0.41,0.45,0.48,University City,-75.2041789877977,39.9510945771067,"c(-75.2041789877977, 39.9510945771067)"
4041 LUDLOW ST,0.04,0.06,0.1,0.15,0.21,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.32,0.35,University City,-75.2036376622206,39.9567242890016,"c(-75.2036376622206, 39.9567242890016)"
20 S 40TH ST,0.04,0.06,0.1,0.15,0.21,0.15,0.21,0.29,0.39,0.49,0.23,0.25,0.28,0.32,0.35,University City,-75.2023552460172,39.9566607496441,"c(-75.2023552460172, 39.9566607496441)"
