address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
3106 G ST,0.16,0.24,0.33,0.43,0.55,0.11,0.16,0.22,0.31,0.4,0.3,0.33,0.37,0.41,0.44,Upper Kensington,-75.1159286703854,39.9953999842514,"c(-75.1159286703854, 39.9953999842514)"
658 E WISHART ST,0.05,0.08,0.12,0.18,0.26,0.08,0.11,0.16,0.23,0.31,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.1179158028447,39.9964648596327,"c(-75.1179158028447, 39.9964648596327)"
256 E MAYFIELD ST,0.06,0.1,0.15,0.21,0.3,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.1262976569022,39.9952912411636,"c(-75.1262976569022, 39.9952912411636)"
3402 A ST,0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.18,0.25,0.34,0.3,0.33,0.37,0.4,0.44,Upper Kensington,-75.1268246564462,40.0016851615029,"c(-75.1268246564462, 40.0016851615029)"
154 E ALLEGHENY AVE,0.07,0.1,0.15,0.22,0.31,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.1276858110805,39.998078642067,"c(-75.1276858110805, 39.998078642067)"
3239 HARTVILLE ST,0.13,0.19,0.27,0.37,0.48,0.12,0.17,0.24,0.32,0.42,0.24,0.27,0.3,0.33,0.37,Upper Kensington,-75.1194759024992,39.9982986756694,"c(-75.1194759024992, 39.9982986756694)"
3117 REACH ST,0.05,0.08,0.12,0.18,0.26,0.06,0.09,0.13,0.19,0.26,0.3,0.33,0.37,0.4,0.44,Upper Kensington,-75.1160715057853,39.9956140352358,"c(-75.1160715057853, 39.9956140352358)"
3056 A ST,0.04,0.06,0.1,0.15,0.21,0.08,0.12,0.17,0.23,0.31,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.1279050561607,39.9964663403619,"c(-75.1279050561607, 39.9964663403619)"
130 E TIOGA ST,0.08,0.12,0.17,0.25,0.34,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.1268512705577,40.002784084384,"c(-75.1268512705577, 40.002784084384)"
3335 N HANCOCK ST,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.18,0.24,0.33,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.1315015012755,40.0012252052168,"c(-75.1315015012755, 40.0012252052168)"
207 E WISHART ST,0.07,0.1,0.15,0.22,0.31,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.1271584634724,39.99786228453,"c(-75.1271584634724, 39.99786228453)"
3519 N WATER ST,0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.1267272669208,40.0033557594886,"c(-75.1267272669208, 40.0033557594886)"
162 W WISHART ST,0.05,0.07,0.11,0.16,0.23,0.08,0.11,0.16,0.23,0.31,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.1312787046667,39.9981434782944,"c(-75.1312787046667, 39.9981434782944)"
2928 ROSEHILL ST,0.08,0.12,0.18,0.25,0.35,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.1249553528822,39.9939085736578,"c(-75.1249553528822, 39.9939085736578)"
218 E CAMBRIA ST,0.07,0.1,0.15,0.22,0.31,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.1276404852969,39.9935225559698,"c(-75.1276404852969, 39.9935225559698)"
3132 G ST,0.05,0.08,0.12,0.18,0.26,0.08,0.11,0.16,0.23,0.31,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.1158234612635,39.9959005615894,"c(-75.1158234612635, 39.9959005615894)"
3054 A ST,0.04,0.06,0.1,0.15,0.21,0.08,0.12,0.17,0.23,0.31,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.1279143063612,39.9964257198701,"c(-75.1279143063612, 39.9964257198701)"
2937 E ST,0.04,0.07,0.1,0.16,0.23,0.08,0.11,0.16,0.23,0.31,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.1198000351565,39.9938292081198,"c(-75.1198000351565, 39.9938292081198)"
3208 HOPE ST,0.05,0.08,0.12,0.18,0.25,0.07,0.1,0.14,0.2,0.28,0.3,0.33,0.37,0.4,0.44,Upper Kensington,-75.1298546552358,39.9989788070689,"c(-75.1298546552358, 39.9989788070689)"
3255 HOPE ST,0.17,0.25,0.34,0.45,0.56,0.05,0.07,0.1,0.15,0.21,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.1293971911199,39.9998354555025,"c(-75.1293971911199, 39.9998354555025)"
3324 B ST,0.06,0.09,0.14,0.2,0.28,0.07,0.1,0.14,0.2,0.28,0.34,0.37,0.41,0.44,0.48,Upper Kensington,-75.1251906212147,40.0003792036736,"c(-75.1251906212147, 40.0003792036736)"
3026 A ST,0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.17,0.23,0.31,0.3,0.33,0.37,0.4,0.44,Upper Kensington,-75.1280397578052,39.9958550995908,"c(-75.1280397578052, 39.9958550995908)"
628 E CORNWALL ST,0.09,0.13,0.19,0.27,0.37,0.06,0.09,0.13,0.18,0.25,0.33,0.37,0.41,0.44,0.48,Upper Kensington,-75.1180685120498,39.9990332380771,"c(-75.1180685120498, 39.9990332380771)"
177 W TIOGA ST,0.07,0.11,0.16,0.23,0.32,0.07,0.1,0.15,0.21,0.29,0.23,0.25,0.28,0.31,0.35,Upper Kensington,-75.1310811954746,40.0037232512659,"c(-75.1310811954746, 40.0037232512659)"
3313 PALETHORP ST,0.08,0.11,0.17,0.24,0.34,0.07,0.1,0.14,0.2,0.27,0.33,0.37,0.41,0.44,0.48,Upper Kensington,-75.132117972913,40.0008856112977,"c(-75.132117972913, 40.0008856112977)"
301 E INDIANA AVE,0.05,0.08,0.12,0.18,0.25,0.16,0.23,0.31,0.41,0.51,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.1259067930497,39.9950942675742,"c(-75.1259067930497, 39.9950942675742)"
717 E CLEARFIELD ST,0.08,0.12,0.17,0.25,0.34,0.06,0.09,0.13,0.18,0.26,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.1170599274372,39.9954803037272,"c(-75.1170599274372, 39.9954803037272)"
611 E WISHART ST,0.08,0.12,0.18,0.25,0.35,0.06,0.09,0.13,0.18,0.26,0.33,0.37,0.41,0.44,0.48,Upper Kensington,-75.1190548246735,39.9968371775026,"c(-75.1190548246735, 39.9968371775026)"
737 E CORNWALL ST,0.08,0.12,0.18,0.25,0.35,0.06,0.09,0.13,0.18,0.25,0.34,0.37,0.41,0.44,0.48,Upper Kensington,-75.1158456101944,39.9992004914772,"c(-75.1158456101944, 39.9992004914772)"
654 E THAYER ST,0.06,0.09,0.13,0.19,0.27,0.08,0.11,0.16,0.22,0.3,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.117321309218,39.9996572996783,"c(-75.117321309218, 39.9996572996783)"
3130 REACH ST,0.08,0.12,0.18,0.26,0.35,0.06,0.09,0.13,0.18,0.26,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.1162972262456,39.9959232227135,"c(-75.1162972262456, 39.9959232227135)"
3403 TAMPA ST,0.09,0.13,0.19,0.27,0.37,0.06,0.09,0.13,0.18,0.25,0.34,0.37,0.41,0.44,0.48,Upper Kensington,-75.1175601334585,40.000321021543,"c(-75.1175601334585, 40.000321021543)"
610 E INDIANA AVE,0.07,0.1,0.15,0.22,0.31,0.06,0.09,0.13,0.18,0.26,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.1196503180239,39.9939948715649,"c(-75.1196503180239, 39.9939948715649)"
3105 F ST,0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.1174737228012,39.9957241602942,"c(-75.1174737228012, 39.9957241602942)"
664 E ONTARIO ST,0.08,0.12,0.18,0.25,0.35,0.11,0.16,0.23,0.31,0.4,0.34,0.37,0.41,0.44,0.48,Upper Kensington,-75.1168885139308,39.9999535617536,"c(-75.1168885139308, 39.9999535617536)"
3223 HURLEY ST,0.08,0.11,0.17,0.24,0.34,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.12147970685,39.9982408576525,"c(-75.12147970685, 39.9982408576525)"
451 E ELKHART ST,0.05,0.08,0.12,0.18,0.26,0.07,0.11,0.15,0.22,0.3,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.1221173232602,39.9956978611914,"c(-75.1221173232602, 39.9956978611914)"
287 E TUSCULUM ST,0.07,0.1,0.15,0.22,0.31,0.06,0.09,0.13,0.19,0.26,0.34,0.37,0.41,0.44,0.48,Upper Kensington,-75.126887954405,39.9926493842176,"c(-75.126887954405, 39.9926493842176)"
319 E INDIANA AVE,0.08,0.12,0.18,0.25,0.35,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.1254554149613,39.9950386216975,"c(-75.1254554149613, 39.9950386216975)"
3423 HARTVILLE ST,0.08,0.12,0.17,0.25,0.34,0.05,0.07,0.1,0.15,0.21,0.34,0.37,0.41,0.44,0.48,Upper Kensington,-75.1189026154202,40.0009082932637,"c(-75.1189026154202, 40.0009082932637)"
3534 N LEE ST,0.07,0.1,0.15,0.22,0.3,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Upper Kensington,-75.1276655542742,40.0038114141063,"c(-75.1276655542742, 40.0038114141063)"
3342 N HOWARD ST,0.05,0.07,0.11,0.16,0.23,0.08,0.12,0.17,0.24,0.32,0.3,0.33,0.37,0.4,0.44,Upper Kensington,-75.1299709045315,40.001178310303,"c(-75.1299709045315, 40.001178310303)"
3136 HARTVILLE ST,0.08,0.12,0.17,0.25,0.34,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.120106756862,39.9965775616402,"c(-75.120106756862, 39.9965775616402)"
211 W LIPPINCOTT ST,0.05,0.07,0.11,0.16,0.23,0.08,0.11,0.16,0.22,0.31,0.2,0.22,0.25,0.28,0.31,Upper Kensington,-75.133825190447,39.9983485186569,"c(-75.133825190447, 39.9983485186569)"
426 E CLEARFIELD ST,0.08,0.12,0.17,0.25,0.34,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Upper Kensington,-75.1227398506661,39.9958600483836,"c(-75.1227398506661, 39.9958600483836)"
