"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","799 CINNAMINSON ST",0.04,0.05,0.08,0.13,0.18,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Upper Roxborough","-75.2201558847987","40.0490551095514",c(-75.2201558847987, 40.0490551095514)
"2","7002 HENRY AVE",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Upper Roxborough","-75.2181667483856","40.0472019492646",c(-75.2181667483856, 40.0472019492646)
"3","14 RIVER RD",0.01,0.02,0.03,0.05,0.08,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Upper Roxborough","-75.2594369248196","40.0507325030969",c(-75.2594369248196, 40.0507325030969)
"4","8600 BELFRY DR",0.01,0.02,0.03,0.04,0.07,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Upper Roxborough","-75.2448987073425","40.0609219188536",c(-75.2448987073425, 40.0609219188536)
"5","788 CINNAMINSON ST",0.02,0.04,0.06,0.09,0.13,0.21,0.29,0.38,0.48,0.58,0.21,0.29,0.38,0.48,0.58,"Upper Roxborough","-75.2201141223008","40.048565731768",c(-75.2201141223008, 40.048565731768)
"6","7806 RIDGE AVE",0.02,0.04,0.06,0.09,0.13,0.22,0.3,0.4,0.5,0.61,0.22,0.3,0.4,0.5,0.61,"Upper Roxborough","-75.2365493433602","40.0532668365425",c(-75.2365493433602, 40.0532668365425)
"7","636 CRESTVIEW RD",0.04,0.06,0.09,0.14,0.2,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"Upper Roxborough","-75.2344127582243","40.0585856354098",c(-75.2344127582243, 40.0585856354098)
"8","680 SUMMIT AVE",0.02,0.04,0.05,0.08,0.13,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Upper Roxborough","-75.2333672622062","40.0582640702814",c(-75.2333672622062, 40.0582640702814)
"9","519 WIGARD AVE",0.02,0.03,0.04,0.07,0.1,0.24,0.33,0.43,0.53,0.63,0.24,0.33,0.43,0.53,0.63,"Upper Roxborough","-75.2345851957274","40.04887316993",c(-75.2345851957274, 40.04887316993)
"10","7245 HILL RD",0.03,0.04,0.06,0.09,0.14,0.26,0.35,0.45,0.56,0.66,0.26,0.35,0.45,0.56,0.66,"Upper Roxborough","-75.2249923093697","40.048466903215",c(-75.2249923093697, 40.048466903215)
"11","800 CRESTVIEW RD",0.02,0.04,0.05,0.08,0.13,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Upper Roxborough","-75.2326508168838","40.0594062945798",c(-75.2326508168838, 40.0594062945798)
"12","7362 VALLEY AVE",0.02,0.03,0.04,0.07,0.1,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Upper Roxborough","-75.231276902577","40.0479720430151",c(-75.231276902577, 40.0479720430151)
