address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
4915 CHANCELLOR ST,0.05,0.08,0.12,0.17,0.25,0.07,0.11,0.16,0.22,0.3,0.34,0.37,0.41,0.44,0.48,Walnut Hill,-75.2203056919359,39.9558277467804,"c(-75.2203056919359, 39.9558277467804)"
5024 IRVING ST,0.03,0.05,0.08,0.12,0.18,0.15,0.21,0.28,0.38,0.48,0.2,0.22,0.25,0.28,0.31,Walnut Hill,-75.2227411793022,39.9546836137425,"c(-75.2227411793022, 39.9546836137425)"
4934 CHESTNUT ST,0.05,0.08,0.11,0.17,0.24,0.1,0.14,0.2,0.27,0.36,0.23,0.25,0.28,0.32,0.35,Walnut Hill,-75.2204652107058,39.9576212545461,"c(-75.2204652107058, 39.9576212545461)"
5100 WALNUT ST,0.03,0.04,0.07,0.1,0.15,0.31,0.4,0.5,0.61,0.7,0.43,0.47,0.5,0.54,0.58,Walnut Hill,-75.2238326219581,39.9564307520461,"c(-75.2238326219581, 39.9564307520461)"
5135 LOCUST ST,0.05,0.08,0.12,0.18,0.26,0.12,0.17,0.23,0.32,0.41,0.23,0.25,0.28,0.32,0.35,Walnut Hill,-75.2250724333393,39.955926887405,"c(-75.2250724333393, 39.955926887405)"
4630 SANSOM ST,0.05,0.08,0.13,0.18,0.26,0.09,0.13,0.19,0.26,0.35,0.23,0.25,0.28,0.32,0.35,Walnut Hill,-75.2149479903876,39.9562206960483,"c(-75.2149479903876, 39.9562206960483)"
4931 SANSOM ST,0.03,0.05,0.08,0.12,0.18,0.12,0.17,0.24,0.33,0.42,0.2,0.22,0.25,0.28,0.31,Walnut Hill,-75.2203686973547,39.957306205795,"c(-75.2203686973547, 39.957306205795)"
5149 WALNUT ST,0.03,0.05,0.08,0.12,0.17,0.24,0.32,0.42,0.52,0.62,0.2,0.22,0.25,0.28,0.31,Walnut Hill,-75.224888702775,39.9571374467105,"c(-75.224888702775, 39.9571374467105)"
4611 SPRUCE ST,0.05,0.08,0.12,0.18,0.26,0.1,0.14,0.2,0.28,0.37,0.23,0.25,0.28,0.32,0.35,Walnut Hill,-75.2145700375856,39.9534764472027,"c(-75.2145700375856, 39.9534764472027)"
112 S 49TH ST,0.05,0.08,0.12,0.18,0.26,0.1,0.14,0.2,0.27,0.36,0.23,0.25,0.28,0.31,0.35,Walnut Hill,-75.2196444858176,39.9573261667769,"c(-75.2196444858176, 39.9573261667769)"
5046 CHESTNUT ST,0.03,0.05,0.08,0.12,0.17,0.22,0.3,0.39,0.5,0.6,0.46,0.49,0.53,0.57,0.61,Walnut Hill,-75.2230055724022,39.9579563223615,"c(-75.2230055724022, 39.9579563223615)"
4923 WALNUT ST,0.03,0.05,0.08,0.12,0.18,0.12,0.18,0.25,0.33,0.43,0.2,0.22,0.25,0.28,0.31,Walnut Hill,-75.2204270024866,39.9565947755874,"c(-75.2204270024866, 39.9565947755874)"
4629 SPRUCE ST,0.05,0.07,0.11,0.16,0.23,0.12,0.18,0.25,0.33,0.43,0.34,0.37,0.41,0.45,0.48,Walnut Hill,-75.2154310599797,39.9535812220741,"c(-75.2154310599797, 39.9535812220741)"
260 S 46TH ST,0.04,0.06,0.09,0.13,0.2,0.18,0.26,0.34,0.44,0.55,0.3,0.33,0.37,0.41,0.44,Walnut Hill,-75.2142989829499,39.9538804027725,"c(-75.2142989829499, 39.9538804027725)"
4921 LOCUST ST,0.04,0.06,0.09,0.13,0.19,0.12,0.18,0.24,0.33,0.43,0.2,0.22,0.25,0.28,0.31,Walnut Hill,-75.2205253886779,39.9553552514259,"c(-75.2205253886779, 39.9553552514259)"
5129 LUDLOW ST,0.03,0.05,0.08,0.12,0.17,0.25,0.33,0.43,0.54,0.64,0.33,0.36,0.4,0.43,0.47,Walnut Hill,-75.2238972894562,39.9594368588651,"c(-75.2238972894562, 39.9594368588651)"
5041 LOCUST ST,0.05,0.08,0.12,0.18,0.26,0.12,0.17,0.23,0.32,0.41,0.23,0.25,0.28,0.32,0.35,Walnut Hill,-75.2232922256668,39.9557006707954,"c(-75.2232922256668, 39.9557006707954)"
5129 LOCUST ST,0.04,0.06,0.08,0.13,0.19,0.22,0.3,0.39,0.49,0.6,0.46,0.49,0.53,0.57,0.61,Walnut Hill,-75.2248544463788,39.9559004673562,"c(-75.2248544463788, 39.9559004673562)"
4903 WALNUT ST,0.04,0.06,0.09,0.13,0.19,0.12,0.18,0.24,0.33,0.43,0.2,0.22,0.25,0.28,0.31,Walnut Hill,-75.2197250655679,39.9564860670434,"c(-75.2197250655679, 39.9564860670434)"
5120 LOCUST ST,0.05,0.08,0.13,0.19,0.26,0.11,0.16,0.23,0.31,0.41,0.22,0.25,0.28,0.31,0.35,Walnut Hill,-75.2246573746066,39.9554711303747,"c(-75.2246573746066, 39.9554711303747)"
129 S 51ST ST,0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.23,0.32,0.41,0.23,0.25,0.28,0.32,0.35,Walnut Hill,-75.2231616793488,39.9573043454866,"c(-75.2231616793488, 39.9573043454866)"
4938 CHESTNUT ST,0.05,0.08,0.11,0.17,0.24,0.1,0.14,0.2,0.27,0.37,0.23,0.25,0.28,0.32,0.35,Walnut Hill,-75.2205846877794,39.9576366055017,"c(-75.2205846877794, 39.9576366055017)"
5043 SPRUCE ST,0.05,0.08,0.12,0.17,0.25,0.11,0.16,0.23,0.31,0.41,0.23,0.25,0.28,0.32,0.35,Walnut Hill,-75.223627443549,39.9545462751834,"c(-75.223627443549, 39.9545462751834)"
5126 LUDLOW ST,0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.31,0.35,Walnut Hill,-75.2239079476208,39.9591547386623,"c(-75.2239079476208, 39.9591547386623)"
14 S 46TH ST,0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.19,0.26,0.35,0.22,0.25,0.28,0.31,0.35,Walnut Hill,-75.2133510518319,39.9581106272793,"c(-75.2133510518319, 39.9581106272793)"
5028 SANSOM ST,0.03,0.05,0.07,0.11,0.17,0.15,0.21,0.28,0.38,0.48,0.2,0.22,0.25,0.28,0.31,Walnut Hill,-75.2223928548301,39.9571694992187,"c(-75.2223928548301, 39.9571694992187)"
257 FARRAGUT ST,0.05,0.07,0.11,0.16,0.23,0.13,0.18,0.25,0.34,0.44,0.34,0.37,0.41,0.44,0.48,Walnut Hill,-75.2147408016964,39.9537634013794,"c(-75.2147408016964, 39.9537634013794)"
5114 CHANCELLOR ST,0.05,0.08,0.12,0.18,0.26,0.12,0.17,0.24,0.32,0.42,0.22,0.25,0.28,0.31,0.35,Walnut Hill,-75.2242801668374,39.9560544272739,"c(-75.2242801668374, 39.9560544272739)"
5115 CHESTNUT ST,0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.32,0.35,Walnut Hill,-75.2237478270869,39.9585127303518,"c(-75.2237478270869, 39.9585127303518)"
5136 RANSTEAD ST,0.05,0.08,0.12,0.18,0.25,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Walnut Hill,-75.2242601292178,39.9587647972715,"c(-75.2242601292178, 39.9587647972715)"
35 S 52ND ST,0.05,0.08,0.12,0.17,0.25,0.18,0.26,0.34,0.44,0.55,0.23,0.25,0.28,0.31,0.35,Walnut Hill,-75.2248465633892,39.9588403373297,"c(-75.2248465633892, 39.9588403373297)"
4917 WALNUT ST,0.03,0.05,0.08,0.12,0.18,0.13,0.19,0.26,0.35,0.45,0.46,0.49,0.53,0.57,0.61,Walnut Hill,-75.2202131489345,39.956568040528,"c(-75.2202131489345, 39.956568040528)"
5126-36 SANSOM ST,0.02,0.03,0.04,0.07,0.1,0.19,0.27,0.36,0.46,0.56,0.29,0.33,0.36,0.4,0.43,Walnut Hill,-75.2243366527054,39.9573766190811,"c(-75.2243366527054, 39.9573766190811)"
5039 SPRUCE ST,0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.19,0.26,0.35,0.34,0.37,0.41,0.44,0.48,Walnut Hill,-75.2234845737326,39.954533478204,"c(-75.2234845737326, 39.954533478204)"
5034 WALNUT ST,0.05,0.08,0.11,0.17,0.24,0.11,0.16,0.23,0.31,0.41,0.34,0.37,0.41,0.44,0.48,Walnut Hill,-75.2227819673126,39.9563713847652,"c(-75.2227819673126, 39.9563713847652)"
5136 IRVING ST,0.05,0.08,0.13,0.18,0.26,0.1,0.14,0.2,0.27,0.36,0.34,0.37,0.41,0.44,0.48,Walnut Hill,-75.225060277607,39.954943435384,"c(-75.225060277607, 39.954943435384)"
5015 WALNUT ST,0.05,0.07,0.11,0.16,0.23,0.12,0.17,0.23,0.32,0.41,0.23,0.25,0.28,0.32,0.35,Walnut Hill,-75.2220384936886,39.9567988365618,"c(-75.2220384936886, 39.9567988365618)"
219 FARRAGUT ST,0.05,0.08,0.12,0.17,0.25,0.12,0.18,0.24,0.33,0.43,0.34,0.37,0.41,0.45,0.48,Walnut Hill,-75.2144640207534,39.9550685095501,"c(-75.2144640207534, 39.9550685095501)"
34 S FALLON ST,0.05,0.08,0.12,0.18,0.26,0.1,0.15,0.21,0.28,0.37,0.23,0.25,0.28,0.31,0.35,Walnut Hill,-75.2181458387435,39.9581164079737,"c(-75.2181458387435, 39.9581164079737)"
