address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
250 S 13TH ST,0.08,0.12,0.17,0.25,0.35,0.27,0.36,0.47,0.57,0.67,0.25,0.28,0.32,0.35,0.39,Washington Square West,-75.1627404860534,39.9470277416326,"c(-75.1627404860534, 39.9470277416326)"
1008-20 SPRUCE ST,0.03,0.04,0.07,0.1,0.15,0.17,0.23,0.31,0.41,0.52,0.34,0.37,0.41,0.44,0.48,Washington Square West,-75.1586303058346,39.9458913362396,"c(-75.1586303058346, 39.9458913362396)"
265 S 9TH ST,0.04,0.06,0.09,0.13,0.2,0.23,0.31,0.41,0.51,0.62,0.34,0.37,0.41,0.44,0.48,Washington Square West,-75.1560091288157,39.9462334522365,"c(-75.1560091288157, 39.9462334522365)"
412 S 10TH ST,0.02,0.04,0.05,0.08,0.13,0.23,0.32,0.41,0.52,0.62,0.2,0.22,0.25,0.28,0.31,Washington Square West,-75.1585289749145,39.9442559932445,"c(-75.1585289749145, 39.9442559932445)"
1101 LOCUST ST,0.04,0.06,0.1,0.15,0.21,0.25,0.34,0.44,0.54,0.64,0.5,0.54,0.57,0.61,0.65,Washington Square West,-75.1596360838269,39.947854108311,"c(-75.1596360838269, 39.947854108311)"
414 S 10TH ST,0.02,0.03,0.05,0.07,0.11,0.25,0.34,0.44,0.54,0.64,0.2,0.22,0.25,0.28,0.31,Washington Square West,-75.1585393168444,39.9442077782624,"c(-75.1585393168444, 39.9442077782624)"
1324 LOCUST ST,0.12,0.18,0.26,0.36,0.47,0.4,0.5,0.61,0.7,0.78,0.56,0.59,0.63,0.66,0.7,Washington Square West,-75.1636782045458,39.94779718819,"c(-75.1636782045458, 39.94779718819)"
1029-33 SPRUCE ST,0.04,0.06,0.09,0.13,0.19,0.19,0.27,0.36,0.46,0.56,0.23,0.25,0.28,0.32,0.35,Washington Square West,-75.1590412791984,39.9466044790766,"c(-75.1590412791984, 39.9466044790766)"
1334 RODMAN ST,0.03,0.05,0.08,0.12,0.18,0.22,0.31,0.4,0.51,0.61,0.2,0.22,0.25,0.28,0.31,Washington Square West,-75.164704644362,39.9438859228098,"c(-75.164704644362, 39.9438859228098)"
249 S 10TH ST,0,0.01,0.01,0.01,0.02,0.28,0.37,0.47,0.58,0.67,0.27,0.3,0.34,0.37,0.41,Washington Square West,-75.1574765645275,39.9468872200223,"c(-75.1574765645275, 39.9468872200223)"
408 QUINCE ST,0.03,0.04,0.06,0.1,0.14,0.29,0.38,0.48,0.59,0.68,0.2,0.22,0.25,0.28,0.31,Washington Square West,-75.1607250221549,39.944687144689,"c(-75.1607250221549, 39.944687144689)"
1212 WAVERLY WALK,0.03,0.05,0.07,0.11,0.16,0.39,0.5,0.6,0.7,0.78,0.33,0.36,0.4,0.43,0.47,Washington Square West,-75.1619445299917,39.9447500007577,"c(-75.1619445299917, 39.9447500007577)"
514 S DARIEN ST,0.02,0.04,0.05,0.08,0.13,0.3,0.39,0.5,0.6,0.7,0.33,0.36,0.4,0.44,0.47,Washington Square West,-75.1563200014497,39.9430026155991,"c(-75.1563200014497, 39.9430026155991)"
241 S HUTCHINSON ST,0.03,0.05,0.07,0.11,0.16,0.35,0.45,0.56,0.66,0.74,0.33,0.36,0.4,0.44,0.47,Washington Square West,-75.1568998579413,39.9466438603252,"c(-75.1568998579413, 39.9466438603252)"
1103 SOUTH ST,0.04,0.06,0.09,0.14,0.2,0.28,0.37,0.48,0.58,0.68,0.36,0.4,0.44,0.47,0.51,Washington Square West,-75.1605383604029,39.9432102493831,"c(-75.1605383604029, 39.9432102493831)"
1107 SOUTH ST,0.04,0.06,0.09,0.13,0.2,0.28,0.37,0.47,0.58,0.67,0.5,0.54,0.57,0.61,0.65,Washington Square West,-75.1608124132023,39.9432446595739,"c(-75.1608124132023, 39.9432446595739)"
1211 RODMAN ST,0.03,0.04,0.07,0.11,0.16,0.33,0.43,0.53,0.63,0.72,0.33,0.36,0.4,0.43,0.47,Washington Square West,-75.162118808912,39.9438873240282,"c(-75.162118808912, 39.9438873240282)"
1308 SPRUCE ST,0.05,0.07,0.11,0.16,0.23,0.3,0.4,0.5,0.61,0.7,0.34,0.37,0.41,0.45,0.49,Washington Square West,-75.163074214725,39.9465247102499,"c(-75.163074214725, 39.9465247102499)"
501 S 9TH ST,0.02,0.03,0.05,0.07,0.11,0.23,0.31,0.4,0.51,0.61,0.2,0.22,0.25,0.28,0.31,Washington Square West,-75.1567283675656,39.9433779997774,"c(-75.1567283675656, 39.9433779997774)"
1215 WAVERLY WALK,0.05,0.07,0.11,0.16,0.23,0.29,0.38,0.48,0.59,0.68,0.5,0.54,0.57,0.61,0.65,Washington Square West,-75.1621429035832,39.9449208394237,"c(-75.1621429035832, 39.9449208394237)"
105 S 12TH ST,0.03,0.05,0.08,0.12,0.18,0.2,0.28,0.37,0.47,0.57,0.34,0.37,0.41,0.45,0.48,Washington Square West,-75.1601267930535,39.9499839033001,"c(-75.1601267930535, 39.9499839033001)"
218 S JESSUP ST,0.02,0.04,0.06,0.09,0.14,0.36,0.47,0.57,0.67,0.75,0.46,0.5,0.53,0.57,0.61,Washington Square West,-75.1598989506769,39.9470806054371,"c(-75.1598989506769, 39.9470806054371)"
1110 PINE ST,0.05,0.07,0.11,0.16,0.23,0.28,0.37,0.48,0.58,0.68,0.23,0.25,0.28,0.32,0.35,Washington Square West,-75.1602892976359,39.9447625629872,"c(-75.1602892976359, 39.9447625629872)"
801 LOMBARD ST,0.02,0.04,0.06,0.08,0.13,0.25,0.34,0.44,0.54,0.64,0.3,0.34,0.37,0.41,0.44,Washington Square West,-75.1553590489409,39.9435612936598,"c(-75.1553590489409, 39.9435612936598)"
302 S JUNIPER ST,0.04,0.06,0.1,0.14,0.21,0.17,0.23,0.31,0.41,0.51,0.34,0.37,0.41,0.44,0.48,Washington Square West,-75.163890411213,39.9464051954653,"c(-75.163890411213, 39.9464051954653)"
1001-13 CHESTNUT ST,0.04,0.06,0.09,0.14,0.2,0.17,0.23,0.31,0.41,0.51,0.34,0.37,0.41,0.44,0.48,Washington Square West,-75.1573228048904,39.9503562268987,"c(-75.1573228048904, 39.9503562268987)"
1133 LOMBARD ST,0.04,0.06,0.09,0.13,0.19,0.24,0.33,0.42,0.53,0.63,0.5,0.53,0.57,0.61,0.64,Washington Square West,-75.161192244803,39.9442997682808,"c(-75.161192244803, 39.9442997682808)"
1326-42 SPRUCE ST,0.04,0.06,0.09,0.14,0.2,0.24,0.32,0.42,0.52,0.62,0.36,0.4,0.44,0.47,0.51,Washington Square West,-75.1640264436453,39.9466674937583,"c(-75.1640264436453, 39.9466674937583)"
1022 PINE ST,0.03,0.05,0.07,0.11,0.16,0.2,0.28,0.37,0.47,0.58,0.34,0.37,0.41,0.44,0.48,Washington Square West,-75.1591022458035,39.9446511277354,"c(-75.1591022458035, 39.9446511277354)"
1001 LOMBARD ST,0.02,0.04,0.05,0.08,0.13,0.35,0.45,0.56,0.66,0.75,0.46,0.5,0.53,0.57,0.61,Washington Square West,-75.158508212689,39.9439526109029,"c(-75.158508212689, 39.9439526109029)"
304 QUINCE ST,0.05,0.07,0.11,0.17,0.24,0.28,0.37,0.47,0.58,0.68,0.5,0.54,0.57,0.61,0.65,Washington Square West,-75.1604107239232,39.9461589982331,"c(-75.1604107239232, 39.9461589982331)"
1201 LOMBARD ST,0.03,0.04,0.07,0.1,0.15,0.23,0.31,0.41,0.51,0.62,0.3,0.34,0.37,0.41,0.44,Washington Square West,-75.1616445583911,39.9443265377281,"c(-75.1616445583911, 39.9443265377281)"
338 S 12TH ST,0.03,0.05,0.08,0.11,0.17,0.28,0.37,0.47,0.58,0.67,0.46,0.5,0.53,0.57,0.61,Washington Square West,-75.1614552683211,39.94537175908,"c(-75.1614552683211, 39.94537175908)"
420 S JESSUP ST,0.04,0.07,0.1,0.15,0.22,0.34,0.44,0.54,0.64,0.73,0.5,0.54,0.57,0.61,0.65,Washington Square West,-75.1604666230229,39.9442628760914,"c(-75.1604666230229, 39.9442628760914)"
210 S SARTAIN ST,0.03,0.05,0.08,0.12,0.17,0.38,0.48,0.59,0.68,0.77,0.46,0.5,0.54,0.57,0.61,Washington Square West,-75.160553364832,39.9473005592856,"c(-75.160553364832, 39.9473005592856)"
1109 SPRUCE ST,0.04,0.06,0.09,0.13,0.19,0.24,0.33,0.43,0.53,0.63,0.23,0.25,0.28,0.32,0.35,Washington Square West,-75.1598083993231,39.946576623635,"c(-75.1598083993231, 39.946576623635)"
1304 SPRUCE ST,0.04,0.06,0.1,0.15,0.21,0.19,0.26,0.34,0.44,0.55,0.34,0.37,0.41,0.44,0.48,Washington Square West,-75.1630072964512,39.9465155468925,"c(-75.1630072964512, 39.9465155468925)"
304 S 10TH ST,0.03,0.04,0.07,0.1,0.15,0.21,0.28,0.37,0.48,0.58,0.34,0.37,0.41,0.45,0.48,Washington Square West,-75.1583474366424,39.9455394310502,"c(-75.1583474366424, 39.9455394310502)"
1233 PINE ST,0.05,0.07,0.11,0.16,0.24,0.28,0.37,0.47,0.58,0.67,0.34,0.37,0.41,0.45,0.48,Washington Square West,-75.1625233597719,39.9453794677609,"c(-75.1625233597719, 39.9453794677609)"
521 S JUNIPER ST,0.05,0.08,0.11,0.17,0.24,0.2,0.28,0.37,0.47,0.57,0.34,0.37,0.41,0.45,0.48,Washington Square West,-75.1641718176317,39.9438566249915,"c(-75.1641718176317, 39.9438566249915)"
1031 LOMBARD ST,0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.41,0.51,0.62,0.3,0.33,0.37,0.41,0.44,Washington Square West,-75.1593886152788,39.9440633684187,"c(-75.1593886152788, 39.9440633684187)"
1027 LOMBARD ST,0.02,0.03,0.05,0.08,0.12,0.23,0.32,0.41,0.52,0.62,0.3,0.33,0.37,0.41,0.44,Washington Square West,-75.15928061815,39.9440468264277,"c(-75.15928061815, 39.9440468264277)"
