"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","29 W TULPEHOCKEN ST",0,0,0.01,0.01,0.02,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"West Central Germantown","-75.1812299656319","40.0414835573061",c(-75.1812299656319, 40.0414835573061)
"2","124 W RITTENHOUSE ST",0.04,0.07,0.1,0.15,0.22,0.1,0.15,0.21,0.28,0.38,0.1,0.15,0.21,0.28,0.38,"West Central Germantown","-75.1780196456702","40.0357174352532",c(-75.1780196456702, 40.0357174352532)
"3","442 HARVEY ST",0.06,0.09,0.13,0.19,0.27,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"West Central Germantown","-75.1834136791596","40.0332366208125",c(-75.1834136791596, 40.0332366208125)
"4","401 W STAFFORD ST",0.03,0.05,0.07,0.11,0.16,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"West Central Germantown","-75.1825454225634","40.029766201695",c(-75.1825454225634, 40.029766201695)
"5","30 W WASHINGTON LN",0.04,0.06,0.09,0.13,0.19,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"West Central Germantown","-75.1813531266613","40.0424650613612",c(-75.1813531266613, 40.0424650613612)
"6","6339 GREENE ST",0.02,0.03,0.05,0.08,0.12,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"West Central Germantown","-75.1857021329474","40.0402610038378",c(-75.1857021329474, 40.0402610038378)
"7","117 W HAINES ST",0.03,0.04,0.06,0.1,0.15,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"West Central Germantown","-75.179083710504","40.0367721123767",c(-75.179083710504, 40.0367721123767)
"8","5928 PULASKI AVE",0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"West Central Germantown","-75.1833384458507","40.0326854670594",c(-75.1833384458507, 40.0326854670594)
"9","275 W HAINES ST",0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"West Central Germantown","-75.1812890726654","40.0346660379845",c(-75.1812890726654, 40.0346660379845)
"10","150 W PRICE ST",0.04,0.07,0.1,0.16,0.23,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"West Central Germantown","-75.1788142424777","40.0338254990363",c(-75.1788142424777, 40.0338254990363)
"11","232-42 W WALNUT LN",0.01,0.02,0.03,0.05,0.08,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"West Central Germantown","-75.182460096006","40.0361549490561",c(-75.182460096006, 40.0361549490561)
"12","125 W WALNUT LN",0.03,0.05,0.07,0.11,0.16,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"West Central Germantown","-75.1809927515083","40.0385359976979",c(-75.1809927515083, 40.0385359976979)
"13","5818 MORRIS ST",0.03,0.05,0.07,0.11,0.16,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"West Central Germantown","-75.1836758649463","40.0303510325262",c(-75.1836758649463, 40.0303510325262)
"14","6327 SHERMAN ST",0.05,0.08,0.13,0.18,0.26,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"West Central Germantown","-75.1878263133373","40.0379203693957",c(-75.1878263133373, 40.0379203693957)
"15","6112 GERMANTOWN AVE",0.04,0.06,0.09,0.14,0.2,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"West Central Germantown","-75.179255173574","40.0406618386092",c(-75.179255173574, 40.0406618386092)
