address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1833 N 2ND ST,0.03,0.05,0.08,0.12,0.18,0.14,0.2,0.28,0.37,0.47,0.3,0.33,0.37,0.4,0.44,West Kensington,-75.1373686240042,39.9785617657376,"c(-75.1373686240042, 39.9785617657376)"
1918 N ORIANNA ST,0.04,0.06,0.09,0.13,0.19,0.11,0.15,0.22,0.3,0.39,0.46,0.49,0.53,0.57,0.61,West Kensington,-75.1405433906417,39.9800565693815,"c(-75.1405433906417, 39.9800565693815)"
2234 N HOWARD ST,0.04,0.06,0.1,0.14,0.21,0.11,0.16,0.22,0.3,0.39,0.2,0.22,0.25,0.28,0.31,West Kensington,-75.1335894280098,39.9842319951821,"c(-75.1335894280098, 39.9842319951821)"
2340 N FRONT ST,0.07,0.1,0.15,0.22,0.31,0.11,0.16,0.23,0.31,0.4,0.34,0.37,0.41,0.44,0.48,West Kensington,-75.1322463823315,39.9858022438296,"c(-75.1322463823315, 39.9858022438296)"
1812 MASCHER ST,0.05,0.08,0.12,0.17,0.25,0.13,0.18,0.25,0.34,0.44,0.22,0.25,0.28,0.31,0.35,West Kensington,-75.1359383197935,39.9777579308831,"c(-75.1359383197935, 39.9777579308831)"
120 DIAMOND ST,0.08,0.12,0.17,0.25,0.34,0.28,0.37,0.48,0.58,0.68,0.23,0.25,0.28,0.32,0.35,West Kensington,-75.134105340145,39.9815606064188,"c(-75.134105340145, 39.9815606064188)"
2427 N REESE ST,0.05,0.08,0.12,0.17,0.25,0.07,0.1,0.15,0.21,0.29,0.2,0.22,0.25,0.28,0.31,West Kensington,-75.1415283404316,39.9883318288904,"c(-75.1415283404316, 39.9883318288904)"
213 W SERGEANT ST,0.04,0.07,0.1,0.16,0.23,0.09,0.13,0.18,0.25,0.34,0.46,0.49,0.53,0.57,0.61,West Kensington,-75.1360355781728,39.9893842480576,"c(-75.1360355781728, 39.9893842480576)"
2004 N LEITHGOW ST,0.05,0.07,0.11,0.16,0.23,0.09,0.14,0.19,0.27,0.36,0.22,0.25,0.28,0.31,0.35,West Kensington,-75.1412118424828,39.9814815343867,"c(-75.1412118424828, 39.9814815343867)"
2615 N 2ND ST,0.07,0.11,0.16,0.23,0.33,0.06,0.09,0.13,0.19,0.26,0.34,0.37,0.41,0.44,0.48,West Kensington,-75.1349316455867,39.9901423038908,"c(-75.1349316455867, 39.9901423038908)"
1831 MUTTER ST,0.03,0.05,0.08,0.12,0.18,0.17,0.23,0.32,0.41,0.52,0.3,0.33,0.37,0.4,0.44,West Kensington,-75.136026215966,39.9781100277373,"c(-75.136026215966, 39.9781100277373)"
1846 N 4TH ST,0.04,0.05,0.08,0.13,0.18,0.12,0.17,0.23,0.32,0.41,0.46,0.49,0.53,0.57,0.61,West Kensington,-75.1413263223235,39.9791198269478,"c(-75.1413263223235, 39.9791198269478)"
2006 N BODINE ST,0.05,0.08,0.12,0.18,0.26,0.1,0.14,0.2,0.28,0.37,0.23,0.25,0.28,0.31,0.35,West Kensington,-75.13919740733,39.9812514304138,"c(-75.13919740733, 39.9812514304138)"
2142 N 4TH ST,0.04,0.06,0.08,0.13,0.19,0.16,0.22,0.3,0.4,0.5,0.46,0.49,0.53,0.57,0.61,West Kensington,-75.1402981979669,39.9837175514132,"c(-75.1402981979669, 39.9837175514132)"
165 W PALMER ST,0.05,0.07,0.11,0.16,0.24,0.14,0.19,0.27,0.36,0.46,0.22,0.25,0.28,0.31,0.35,West Kensington,-75.1366267388004,39.9767525205916,"c(-75.1366267388004, 39.9767525205916)"
2521 A ST,0.05,0.08,0.12,0.17,0.25,0.06,0.09,0.14,0.2,0.27,0.3,0.33,0.37,0.4,0.44,West Kensington,-75.1292193108224,39.9886153241445,"c(-75.1292193108224, 39.9886153241445)"
2639 MASCHER ST,0.07,0.11,0.16,0.24,0.33,0.06,0.09,0.13,0.19,0.26,0.34,0.37,0.41,0.44,0.48,West Kensington,-75.1328732075098,39.9903837405028,"c(-75.1328732075098, 39.9903837405028)"
2423 MUTTER ST,0.04,0.07,0.1,0.16,0.23,0.06,0.09,0.14,0.2,0.27,0.2,0.22,0.25,0.28,0.31,West Kensington,-75.1340548599898,39.9872668617784,"c(-75.1340548599898, 39.9872668617784)"
