address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
6920 SCOTFORTH RD,0,0,0.01,0.01,0.02,0.13,0.18,0.25,0.34,0.44,0.27,0.3,0.33,0.37,0.4,West Mount Airy,-75.2054047028788,40.0401031049822,"c(-75.2054047028788, 40.0401031049822)"
7012 GREENE ST,0.02,0.03,0.05,0.07,0.11,0.16,0.22,0.3,0.39,0.5,0.2,0.22,0.25,0.28,0.31,West Mount Airy,-75.1977704987282,40.047190563262,"c(-75.1977704987282, 40.047190563262)"
6900 WISSAHICKON AVE,0,0,0,0.01,0.01,0.15,0.21,0.29,0.39,0.49,0.24,0.27,0.3,0.34,0.37,West Mount Airy,-75.2010037638917,40.0413561649991,"c(-75.2010037638917, 40.0413561649991)"
346 W MOUNT AIRY AVE,0.02,0.04,0.05,0.08,0.13,0.19,0.26,0.35,0.45,0.56,0.3,0.33,0.37,0.41,0.44,West Mount Airy,-75.1964437822931,40.0545961975165,"c(-75.1964437822931, 40.0545961975165)"
7121 LINCOLN DR,0.02,0.04,0.06,0.08,0.13,0.18,0.25,0.33,0.43,0.53,0.3,0.33,0.37,0.41,0.44,West Mount Airy,-75.1943110177926,40.0550649681909,"c(-75.1943110177926, 40.0550649681909)"
116 W HORTTER ST,0.02,0.03,0.05,0.08,0.12,0.25,0.34,0.44,0.54,0.64,0.46,0.5,0.53,0.57,0.61,West Mount Airy,-75.1858668306988,40.0488288718279,"c(-75.1858668306988, 40.0488288718279)"
7154 BRYAN ST,0.02,0.03,0.04,0.06,0.1,0.17,0.24,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,West Mount Airy,-75.1919411985639,40.0581868732163,"c(-75.1919411985639, 40.0581868732163)"
409 W MOUNT AIRY AVE,0.02,0.03,0.05,0.08,0.12,0.16,0.23,0.31,0.41,0.51,0.2,0.22,0.25,0.28,0.31,West Mount Airy,-75.1979084355418,40.0538484115442,"c(-75.1979084355418, 40.0538484115442)"
617 W HORTTER ST,0.02,0.03,0.05,0.07,0.11,0.16,0.22,0.3,0.4,0.5,0.3,0.34,0.37,0.41,0.44,West Mount Airy,-75.1955701424013,40.0391059638606,"c(-75.1955701424013, 40.0391059638606)"
728 S MOUNT PLEASANT RD,0.02,0.03,0.05,0.08,0.11,0.16,0.23,0.31,0.4,0.51,0.36,0.4,0.44,0.47,0.51,West Mount Airy,-75.1995643869583,40.0469627165875,"c(-75.1995643869583, 40.0469627165875)"
6828 QUINCY ST,0.04,0.06,0.1,0.15,0.21,0.19,0.26,0.35,0.45,0.56,0.5,0.54,0.57,0.61,0.65,West Mount Airy,-75.1906957960907,40.0507072302485,"c(-75.1906957960907, 40.0507072302485)"
225 NIPPON ST,0.02,0.04,0.06,0.09,0.13,0.22,0.3,0.4,0.5,0.61,0.46,0.5,0.53,0.57,0.61,West Mount Airy,-75.1959207724567,40.056493556086,"c(-75.1959207724567, 40.056493556086)"
403 W MOUNT AIRY AVE,0.02,0.03,0.05,0.08,0.12,0.16,0.23,0.31,0.41,0.51,0.3,0.33,0.37,0.41,0.44,West Mount Airy,-75.1977852078749,40.0539635604183,"c(-75.1977852078749, 40.0539635604183)"
7302 CRESHEIM RD,0.03,0.05,0.08,0.12,0.18,0.2,0.27,0.36,0.46,0.57,0.36,0.4,0.43,0.47,0.51,West Mount Airy,-75.1975018485524,40.0579069504243,"c(-75.1975018485524, 40.0579069504243)"
