"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","2030 E TULPEHOCKEN ST",0.02,0.03,0.05,0.08,0.12,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"West Oak Lane","-75.1557438398903","40.0644183969915",c(-75.1557438398903, 40.0644183969915)
"2","7840 FORREST AVE",0.03,0.05,0.08,0.12,0.18,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"West Oak Lane","-75.1659468787569","40.0704624795147",c(-75.1659468787569, 40.0704624795147)
"3","6617 N BOUVIER ST",0.04,0.06,0.09,0.13,0.19,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"West Oak Lane","-75.1467993816863","40.054770124724",c(-75.1467993816863, 40.054770124724)
"4","6801 N 17TH ST",0.05,0.08,0.12,0.18,0.26,0.21,0.28,0.37,0.48,0.58,0.21,0.28,0.37,0.48,0.58,"West Oak Lane","-75.1454561012833","40.0575066727149",c(-75.1454561012833, 40.0575066727149)
"5","1809 72ND AVE",0.04,0.05,0.08,0.13,0.19,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"West Oak Lane","-75.1462119306496","40.0638560826322",c(-75.1462119306496, 40.0638560826322)
"6","6720 N BOUVIER ST",0.03,0.05,0.08,0.12,0.18,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"West Oak Lane","-75.1468872373724","40.0564090169978",c(-75.1468872373724, 40.0564090169978)
"7","2414 79TH AVE",0.02,0.03,0.05,0.08,0.12,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"West Oak Lane","-75.15844829449","40.0720397122259",c(-75.15844829449, 40.0720397122259)
"8","7964 BAYARD ST",0.04,0.05,0.08,0.13,0.19,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"West Oak Lane","-75.1646590447567","40.0748853125931",c(-75.1646590447567, 40.0748853125931)
"9","2003 67TH AVE",0.06,0.09,0.13,0.19,0.27,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"West Oak Lane","-75.1513360164312","40.0564679831771",c(-75.1513360164312, 40.0564679831771)
"10","2001 67TH AVE",0.06,0.09,0.13,0.19,0.27,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"West Oak Lane","-75.1512193068445","40.056440155399",c(-75.1512193068445, 40.056440155399)
