"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","4861 MERION AVE",0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"West Parkside","-75.2180937590642","39.9740357778402",c(-75.2180937590642, 39.9740357778402)
"2","5122 PARKSIDE AVE",0.05,0.08,0.13,0.19,0.27,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"West Parkside","-75.2223235209249","39.9807625171153",c(-75.2223235209249, 39.9807625171153)
"3","5151 W COLUMBIA AVE",0.05,0.08,0.13,0.19,0.27,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"West Parkside","-75.2234559183286","39.9802408756139",c(-75.2234559183286, 39.9802408756139)
"4","4856 MERION AVE",0.04,0.05,0.08,0.13,0.19,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"West Parkside","-75.219207531719","39.9742805068442",c(-75.219207531719, 39.9742805068442)
"5","5117 VIOLA ST",0.04,0.06,0.09,0.13,0.19,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"West Parkside","-75.2223290841327","39.9804418977578",c(-75.2223290841327, 39.9804418977578)
"6","4801 MERION AVE",0.03,0.05,0.08,0.12,0.18,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"West Parkside","-75.2168721917767","39.9733105660806",c(-75.2168721917767, 39.9733105660806)
"7","4812 MERION AVE",0.03,0.05,0.08,0.12,0.18,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"West Parkside","-75.2179317860184","39.9735037747796",c(-75.2179317860184, 39.9735037747796)
"8","1321 N 49TH ST",0.05,0.08,0.12,0.18,0.25,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"West Parkside","-75.2193069077007","39.9741229521743",c(-75.2193069077007, 39.9741229521743)
"9","5045 LANCASTER AVE",0.03,0.05,0.08,0.12,0.18,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"West Parkside","-75.2235077544256","39.9759815475267",c(-75.2235077544256, 39.9759815475267)
"10","5106 PARKSIDE AVE",0.06,0.09,0.13,0.19,0.27,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"West Parkside","-75.2218873180595","39.9806318967331",c(-75.2218873180595, 39.9806318967331)
"11","4714 MERION AVE",0.05,0.07,0.11,0.17,0.24,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"West Parkside","-75.2170615567185","39.9730469076536",c(-75.2170615567185, 39.9730469076536)
"12","5176 PARKSIDE AVE",0.03,0.05,0.08,0.12,0.18,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"West Parkside","-75.2238986600361","39.9813210478302",c(-75.2238986600361, 39.9813210478302)
"13","5165 W COLUMBIA AVE",0.05,0.08,0.12,0.18,0.26,0.07,0.11,0.16,0.22,0.3,0.07,0.11,0.16,0.22,0.3,"West Parkside","-75.2237829986269","39.980360541166",c(-75.2237829986269, 39.980360541166)
"14","4847 MERION AVE",0.09,0.13,0.19,0.28,0.38,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"West Parkside","-75.2178110229691","39.9738770711038",c(-75.2178110229691, 39.9738770711038)
"15","5041 LANCASTER AVE",0.03,0.05,0.08,0.12,0.18,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"West Parkside","-75.2234137318761","39.9759378864951",c(-75.2234137318761, 39.9759378864951)
"16","1337 N 49TH ST",0.05,0.08,0.12,0.18,0.26,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"West Parkside","-75.2194021542995","39.9744548463395",c(-75.2194021542995, 39.9744548463395)
"17","4860 PARKSIDE AVE",0.05,0.08,0.11,0.17,0.24,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"West Parkside","-75.2164720005305","39.9785667130104",c(-75.2164720005305, 39.9785667130104)
"18","4912 PARKSIDE AVE",0.04,0.07,0.1,0.15,0.22,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"West Parkside","-75.217375371912","39.9789291652806",c(-75.217375371912, 39.9789291652806)
