address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2134 S GARNET ST,0.02,0.04,0.05,0.08,0.13,0.18,0.25,0.34,0.43,0.54,0.3,0.33,0.37,0.4,0.44,West Passyunk,-75.178537130752,39.9246971116078,"c(-75.178537130752, 39.9246971116078)"
1849 HOFFMAN ST,0.02,0.03,0.05,0.08,0.12,0.21,0.29,0.38,0.49,0.59,0.46,0.49,0.53,0.57,0.61,West Passyunk,-75.1769450944505,39.9275001819765,"c(-75.1769450944505, 39.9275001819765)"
1843 MCCLELLAN ST,0.02,0.03,0.04,0.07,0.1,0.25,0.34,0.44,0.54,0.64,0.33,0.36,0.4,0.43,0.47,West Passyunk,-75.1765385455988,39.9287036971596,"c(-75.1765385455988, 39.9287036971596)"
2316 S BONSALL ST,0.03,0.05,0.08,0.12,0.17,0.15,0.21,0.28,0.38,0.48,0.34,0.37,0.41,0.44,0.48,West Passyunk,-75.1857574979299,39.9234614958866,"c(-75.1857574979299, 39.9234614958866)"
2014 EMILY ST,0.02,0.04,0.06,0.09,0.14,0.15,0.21,0.29,0.38,0.49,0.3,0.33,0.37,0.4,0.44,West Passyunk,-75.1795581688335,39.9263626364155,"c(-75.1795581688335, 39.9263626364155)"
2210 S 20TH ST,0.02,0.04,0.06,0.09,0.13,0.18,0.25,0.33,0.43,0.54,0.3,0.33,0.37,0.4,0.44,West Passyunk,-75.17980096678,39.9240810994404,"c(-75.17980096678, 39.9240810994404)"
2037 S NORWOOD ST,0.04,0.06,0.09,0.13,0.19,0.12,0.17,0.24,0.33,0.42,0.23,0.25,0.28,0.31,0.35,West Passyunk,-75.1814680376978,39.9263431879971,"c(-75.1814680376978, 39.9263431879971)"
2028 S OPAL ST,0.04,0.06,0.09,0.13,0.2,0.13,0.19,0.26,0.34,0.44,0.34,0.37,0.41,0.44,0.48,West Passyunk,-75.178683016568,39.9261412945242,"c(-75.178683016568, 39.9261412945242)"
2015 EMILY ST,0.02,0.04,0.06,0.09,0.14,0.15,0.21,0.29,0.38,0.49,0.2,0.22,0.25,0.28,0.31,West Passyunk,-75.179506426173,39.9266010088018,"c(-75.179506426173, 39.9266010088018)"
2032 SIGEL ST,0.03,0.05,0.08,0.12,0.18,0.1,0.14,0.2,0.28,0.37,0.22,0.25,0.28,0.31,0.35,West Passyunk,-75.1795540030754,39.9284767244845,"c(-75.1795540030754, 39.9284767244845)"
2003 S BONSALL ST,0.02,0.03,0.05,0.08,0.12,0.15,0.21,0.29,0.38,0.48,0.2,0.22,0.25,0.28,0.31,West Passyunk,-75.1845580615963,39.9274027454756,"c(-75.1845580615963, 39.9274027454756)"
2017 S HEMBERGER ST,0.02,0.03,0.05,0.08,0.12,0.24,0.33,0.43,0.53,0.63,0.46,0.49,0.53,0.57,0.61,West Passyunk,-75.183512789353,39.926991618679,"c(-75.183512789353, 39.926991618679)"
2055 SNYDER AVE,0.04,0.06,0.09,0.13,0.19,0.15,0.21,0.29,0.38,0.49,0.23,0.25,0.28,0.32,0.35,West Passyunk,-75.1807397115347,39.9259779036901,"c(-75.1807397115347, 39.9259779036901)"
1932 MCCLELLAN ST,0.02,0.03,0.05,0.08,0.12,0.17,0.24,0.33,0.42,0.53,0.3,0.33,0.37,0.4,0.44,West Passyunk,-75.1779075387967,39.9286446179225,"c(-75.1779075387967, 39.9286446179225)"
1819 MCCLELLAN ST,0.02,0.03,0.05,0.07,0.11,0.23,0.32,0.41,0.52,0.62,0.32,0.36,0.4,0.43,0.47,West Passyunk,-75.175945203977,39.9286294312091,"c(-75.175945203977, 39.9286294312091)"
2033 S NORWOOD ST,0.04,0.06,0.09,0.13,0.2,0.12,0.17,0.24,0.33,0.42,0.34,0.37,0.41,0.44,0.48,West Passyunk,-75.181450182754,39.9264228095922,"c(-75.181450182754, 39.9264228095922)"
2248 CANTRELL ST,0.02,0.04,0.06,0.09,0.14,0.19,0.26,0.35,0.45,0.55,0.3,0.33,0.37,0.4,0.44,West Passyunk,-75.1842008259091,39.9256502656492,"c(-75.1842008259091, 39.9256502656492)"
1827 HOFFMAN ST,0.02,0.03,0.05,0.08,0.12,0.28,0.37,0.48,0.58,0.68,0.33,0.36,0.4,0.43,0.47,West Passyunk,-75.1764018418594,39.9274279746074,"c(-75.1764018418594, 39.9274279746074)"
1948 S 22ND ST,0.03,0.05,0.08,0.12,0.17,0.12,0.17,0.24,0.32,0.42,0.22,0.25,0.28,0.31,0.35,West Passyunk,-75.1826608606595,39.9274357177045,"c(-75.1826608606595, 39.9274357177045)"
2057 SIGEL ST,0.04,0.06,0.09,0.13,0.19,0.13,0.18,0.25,0.34,0.44,0.23,0.25,0.28,0.31,0.35,West Passyunk,-75.1800489051325,39.9287761702251,"c(-75.1800489051325, 39.9287761702251)"
2311 S BONSALL ST,0.03,0.05,0.08,0.12,0.18,0.26,0.35,0.45,0.55,0.65,0.23,0.25,0.28,0.32,0.35,West Passyunk,-75.1854349669501,39.9234832421631,"c(-75.1854349669501, 39.9234832421631)"
2001 DORRANCE ST,0.04,0.06,0.09,0.13,0.19,0.14,0.2,0.28,0.37,0.47,0.23,0.25,0.28,0.32,0.35,West Passyunk,-75.1767280903613,39.9264456965782,"c(-75.1767280903613, 39.9264456965782)"
2033 SIGEL ST,0.02,0.04,0.06,0.09,0.13,0.26,0.35,0.45,0.56,0.66,0.46,0.49,0.53,0.57,0.61,West Passyunk,-75.179457673808,39.9286992613948,"c(-75.179457673808, 39.9286992613948)"
2227 S BEECHWOOD ST,0.03,0.05,0.08,0.12,0.18,0.24,0.32,0.42,0.52,0.63,0.5,0.53,0.57,0.61,0.64,West Passyunk,-75.18244593931,39.9241244695501,"c(-75.18244593931, 39.9241244695501)"
2131 S GARNET ST,0.03,0.05,0.08,0.12,0.18,0.14,0.2,0.28,0.37,0.48,0.34,0.37,0.41,0.44,0.48,West Passyunk,-75.1782440803707,39.9247260267867,"c(-75.1782440803707, 39.9247260267867)"
2040 SIGEL ST,0.02,0.04,0.06,0.09,0.13,0.15,0.22,0.3,0.39,0.49,0.3,0.33,0.37,0.4,0.44,West Passyunk,-75.1797536906694,39.9285032309726,"c(-75.1797536906694, 39.9285032309726)"
2011 EMILY ST,0.03,0.04,0.06,0.09,0.14,0.27,0.35,0.46,0.56,0.66,0.46,0.49,0.53,0.57,0.61,West Passyunk,-75.1794097259756,39.9265889849445,"c(-75.1794097259756, 39.9265889849445)"
2230 S NORWOOD ST,0.03,0.05,0.08,0.12,0.18,0.14,0.2,0.28,0.37,0.47,0.22,0.25,0.28,0.31,0.35,West Passyunk,-75.1822858615182,39.9240231082469,"c(-75.1822858615182, 39.9240231082469)"
2236 S WOODSTOCK ST,0.04,0.06,0.09,0.14,0.2,0.24,0.33,0.43,0.53,0.63,0.34,0.37,0.41,0.44,0.48,West Passyunk,-75.1804968653283,39.9236387012776,"c(-75.1804968653283, 39.9236387012776)"
1930 HOFFMAN ST,0.03,0.05,0.08,0.12,0.17,0.13,0.18,0.25,0.34,0.44,0.23,0.25,0.28,0.31,0.35,West Passyunk,-75.1781765809506,39.9274485744586,"c(-75.1781765809506, 39.9274485744586)"
2035 S HEMBERGER ST,0.02,0.04,0.05,0.08,0.13,0.2,0.28,0.37,0.47,0.58,0.46,0.49,0.53,0.57,0.61,West Passyunk,-75.1835864543206,39.9266433922368,"c(-75.1835864543206, 39.9266433922368)"
2105 S 21ST ST,0.03,0.04,0.06,0.09,0.14,0.18,0.25,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,West Passyunk,-75.1809394234649,39.9256139067716,"c(-75.1809394234649, 39.9256139067716)"
1835 DUDLEY ST,0.03,0.05,0.08,0.12,0.18,0.13,0.19,0.26,0.35,0.45,0.23,0.25,0.28,0.31,0.35,West Passyunk,-75.1766784039626,39.9270906690865,"c(-75.1766784039626, 39.9270906690865)"
2040 S CLEVELAND ST,0.04,0.06,0.08,0.13,0.19,0.13,0.19,0.26,0.35,0.45,0.34,0.37,0.41,0.44,0.48,West Passyunk,-75.1767155332119,39.9256527550172,"c(-75.1767155332119, 39.9256527550172)"
2306 S 23RD ST,0.02,0.04,0.05,0.08,0.13,0.19,0.26,0.35,0.45,0.55,0.2,0.22,0.25,0.28,0.31,West Passyunk,-75.1852056675847,39.9235771120686,"c(-75.1852056675847, 39.9235771120686)"
2128 S 20TH ST,0.04,0.06,0.09,0.13,0.2,0.14,0.2,0.28,0.37,0.47,0.34,0.37,0.41,0.44,0.48,West Passyunk,-75.1796289543833,39.9249257087659,"c(-75.1796289543833, 39.9249257087659)"
2007 S NORWOOD ST,0.03,0.04,0.06,0.09,0.14,0.19,0.26,0.35,0.45,0.55,0.46,0.49,0.53,0.57,0.61,West Passyunk,-75.1813411286887,39.9269237538254,"c(-75.1813411286887, 39.9269237538254)"
2350 MIFFLIN ST,0.03,0.04,0.06,0.1,0.14,0.12,0.18,0.25,0.33,0.43,0.23,0.25,0.28,0.32,0.35,West Passyunk,-75.1854309384347,39.9287699146313,"c(-75.1854309384347, 39.9287699146313)"
1941 S 23RD ST,0.02,0.03,0.05,0.07,0.11,0.15,0.21,0.29,0.38,0.49,0.2,0.22,0.25,0.28,0.31,West Passyunk,-75.1838638839161,39.9277983049201,"c(-75.1838638839161, 39.9277983049201)"
2047 S BONSALL ST,0.04,0.06,0.09,0.13,0.19,0.21,0.29,0.38,0.48,0.59,0.23,0.25,0.28,0.31,0.35,West Passyunk,-75.1847638594394,39.9264412102409,"c(-75.1847638594394, 39.9264412102409)"
2050 S NORWOOD ST,0.04,0.06,0.09,0.14,0.2,0.12,0.17,0.24,0.33,0.42,0.23,0.25,0.28,0.31,0.35,West Passyunk,-75.1818134038713,39.9261038948891,"c(-75.1818134038713, 39.9261038948891)"
1927 S NORWOOD ST,0.04,0.06,0.09,0.13,0.19,0.12,0.17,0.24,0.32,0.42,0.34,0.37,0.41,0.44,0.48,West Passyunk,-75.181165352361,39.9277405080621,"c(-75.181165352361, 39.9277405080621)"
2232 S BEECHWOOD ST,0.04,0.06,0.09,0.13,0.19,0.14,0.2,0.28,0.37,0.47,0.34,0.37,0.41,0.44,0.48,West Passyunk,-75.1827757321001,39.9240462458002,"c(-75.1827757321001, 39.9240462458002)"
2031 S 22ND ST,0.02,0.04,0.06,0.09,0.13,0.15,0.21,0.28,0.38,0.48,0.3,0.33,0.37,0.4,0.44,West Passyunk,-75.1824232127638,39.9265308661059,"c(-75.1824232127638, 39.9265308661059)"
2237 MCCLELLAN ST,0.02,0.03,0.05,0.08,0.12,0.15,0.22,0.29,0.39,0.49,0.2,0.22,0.25,0.28,0.31,West Passyunk,-75.1830786809158,39.9295619343159,"c(-75.1830786809158, 39.9295619343159)"
