address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1111 BRANDYWINE ST,0.03,0.05,0.07,0.11,0.17,0.14,0.2,0.28,0.37,0.47,0.23,0.25,0.28,0.32,0.35,West Poplar,-75.156630445144,39.9624971563849,"c(-75.156630445144, 39.9624971563849)"
1123 LEMON ST,0.04,0.06,0.08,0.13,0.19,0.17,0.24,0.33,0.42,0.53,0.33,0.36,0.4,0.43,0.47,West Poplar,-75.156650813141,39.9641193594258,"c(-75.156650813141, 39.9641193594258)"
1122 NORTH ST,0.05,0.07,0.11,0.16,0.23,0.11,0.16,0.22,0.3,0.39,0.22,0.25,0.28,0.31,0.35,West Poplar,-75.1563603425664,39.9647586974762,"c(-75.1563603425664, 39.9647586974762)"
1222-30 RIDGE AVE,0.01,0.02,0.03,0.04,0.07,0.25,0.33,0.43,0.54,0.64,0.43,0.46,0.5,0.54,0.58,West Poplar,-75.1585207624081,39.9625518085147,"c(-75.1585207624081, 39.9625518085147)"
1217-35 SPRING GARDEN ST,0.01,0.02,0.03,0.04,0.06,0.24,0.32,0.42,0.53,0.63,0.44,0.48,0.52,0.55,0.59,West Poplar,-75.1585323746578,39.9622547575037,"c(-75.1585323746578, 39.9622547575037)"
1111 MOUNT VERNON ST,0.05,0.07,0.11,0.16,0.23,0.16,0.23,0.31,0.4,0.51,0.5,0.54,0.57,0.61,0.65,West Poplar,-75.156278763631,39.9637110026563,"c(-75.156278763631, 39.9637110026563)"
1030 BRANDYWINE ST,0.03,0.05,0.08,0.12,0.18,0.12,0.17,0.23,0.31,0.41,0.23,0.25,0.28,0.32,0.35,West Poplar,-75.1555907393528,39.9621429693622,"c(-75.1555907393528, 39.9621429693622)"
679 N 11TH ST,0.05,0.07,0.11,0.16,0.23,0.12,0.17,0.24,0.33,0.43,0.5,0.53,0.57,0.61,0.65,West Poplar,-75.1550912669749,39.9653653782994,"c(-75.1550912669749, 39.9653653782994)"
928 WALLACE ST,0.06,0.09,0.13,0.19,0.27,0.13,0.19,0.26,0.35,0.45,0.5,0.54,0.57,0.61,0.65,West Poplar,-75.1537722826461,39.9635570710079,"c(-75.1537722826461, 39.9635570710079)"
1004 BRANDYWINE ST,0.02,0.03,0.05,0.08,0.12,0.19,0.26,0.34,0.44,0.55,0.3,0.33,0.37,0.41,0.44,West Poplar,-75.1548571509072,39.962063027765,"c(-75.1548571509072, 39.962063027765)"
628 N 13TH ST,0.06,0.09,0.14,0.21,0.29,0.16,0.23,0.31,0.4,0.51,0.5,0.54,0.58,0.61,0.65,West Poplar,-75.1589415184615,39.964594579112,"c(-75.1589415184615, 39.964594579112)"
1011 BRANDYWINE ST,0.03,0.04,0.06,0.09,0.14,0.25,0.34,0.43,0.54,0.64,0.46,0.49,0.53,0.57,0.61,West Poplar,-75.1550766073746,39.9623095167976,"c(-75.1550766073746, 39.9623095167976)"
800 N 13TH ST,0.03,0.05,0.08,0.12,0.18,0.15,0.21,0.29,0.39,0.49,0.33,0.36,0.4,0.43,0.47,West Poplar,-75.1582737356586,39.9677551522648,"c(-75.1582737356586, 39.9677551522648)"
1000 MOUNT VERNON ST,0.06,0.09,0.13,0.19,0.27,0.44,0.54,0.64,0.73,0.81,0.5,0.53,0.57,0.61,0.64,West Poplar,-75.1543338687932,39.9631230774716,"c(-75.1543338687932, 39.9631230774716)"
1309 MOUNT VERNON ST,0.05,0.08,0.13,0.18,0.26,0.15,0.22,0.29,0.39,0.49,0.36,0.4,0.44,0.47,0.51,West Poplar,-75.1594155268823,39.9639761896226,"c(-75.1594155268823, 39.9639761896226)"
1126 MOUNT VERNON ST,0.03,0.05,0.07,0.11,0.17,0.13,0.18,0.25,0.34,0.44,0.2,0.22,0.25,0.28,0.31,West Poplar,-75.1567889155739,39.9633390969644,"c(-75.1567889155739, 39.9633390969644)"
1134 MOUNT VERNON ST,0.05,0.08,0.12,0.18,0.26,0.13,0.19,0.26,0.35,0.45,0.5,0.54,0.57,0.61,0.65,West Poplar,-75.1570140887653,39.963365416826,"c(-75.1570140887653, 39.963365416826)"
1117 WALLACE ST,0.05,0.07,0.11,0.16,0.23,0.1,0.15,0.21,0.29,0.38,0.34,0.37,0.41,0.44,0.48,West Poplar,-75.1563097486855,39.9645815939134,"c(-75.1563097486855, 39.9645815939134)"
1217 GREEN ST,0.05,0.08,0.12,0.18,0.26,0.14,0.2,0.28,0.37,0.47,0.36,0.4,0.43,0.47,0.51,West Poplar,-75.1580290265424,39.9632082564521,"c(-75.1580290265424, 39.9632082564521)"
931 SPRING GARDEN ST,0.04,0.06,0.09,0.13,0.2,0.26,0.35,0.45,0.55,0.65,0.34,0.37,0.41,0.45,0.48,West Poplar,-75.1540751423012,39.9618911271271,"c(-75.1540751423012, 39.9618911271271)"
